Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,0.019276,0.019358,0.018975,0.019192,84985.64,1546343999999,1627.58947353,3425,44212.64,847.53881072,0
1546344000000,0.019194,0.019271,0.018603,0.018832,142044.77,1546387199999,2692.90674722,4862,70814.64,1343.01175855,0
1546387200000,0.018848,0.018944,0.017872,0.018059,206500.04,1546430399999,3778.00308469,6173,101294.17,1850.39063802,0
1546430400000,0.018095,0.018867,0.017796,0.018549,232493.09,1546473599999,4280.28598406,6874,110515.36,2035.42469954,0
1546473600000,0.018549,0.018569,0.018131,0.018349,216873.04,1546516799999,3976.47459473,4998,88032.13,1615.48168011,0
1546516800000,0.01835,0.018415,0.017782,0.018012,155471.77,1546559999999,2801.91906149,4722,64954.51,1173.22419691,0
1546560000000,0.018022,0.018073,0.017403000000000002,0.017552,195998.76,1546603199999,3463.31506066,5501,99132.68,1754.99178611,0
1546603200000,0.017564,0.017975,0.017427,0.017602,275858.84,1546646399999,4864.46089738,5762,151523.69,2665.91532829,0
1546646400000,0.01757,0.017613,0.017107,0.017266,182970.92,1546689599999,3155.74659378,4888,99040.83,1707.14994743,0
1546689600000,0.017249,0.017474,0.017156,0.017332,111863.94,1546732799999,1937.17829169,4009,61517.86,1065.27551522,0
1546732800000,0.017357,0.017783,0.017269,0.017696,110894.4,1546775999999,1942.65710751,3900,58591.16,1026.00419899,0
1546776000000,0.017662999999999998,0.018536,0.017662,0.018288,212649.98,1546819199999,3847.21500865,5270,92129.71,1668.12887572,0
1546819200000,0.018248,0.018306,0.017950999999999998,0.018085,144754.52,1546862399999,2626.91543971,4154,82527.17,1497.46537957,0
1546862400000,0.018104,0.018396,0.018001,0.018296,85332.13,1546905599999,1550.70046264,3290,35191.45,640.06418748,0
1546905600000,0.018296,0.01868,0.018186,0.018482,136080.42,1546948799999,2510.3047622,3549,74633.27,1376.69506336,0
1546948800000,0.018491,0.018784,0.018383,0.018571,119901.52,1546991999999,2225.12022685,3311,54181.7,1006.35053656,0
1546992000000,0.018591,0.018718,0.018339,0.018565,97292.29,1547035199999,1799.65159998,2708,47366.94,876.17606019,0
1547035200000,0.018616,0.019643,0.018511,0.019325,212487.74,1547078399999,4082.67497727,4721,90800.16,1735.76225067,0
1547078400000,0.019336,0.020305,0.01903,0.019317,794306.08,1547121599999,15625.54898449,13285,549793.15,10826.81107329,0
1547121600000,0.019344,0.019488,0.018487,0.018998,282811.54,1547164799999,5368.81015602,10052,144089.3,2738.28177914,0
1547164800000,0.01896,0.019367,0.018712,0.019239,184844.39,1547207999999,3501.96508427,5605,76834.79,1456.53711725,0
1547208000000,0.01924,0.019299,0.01887,0.01896,212162.72,1547251199999,4046.29223246,5464,96344.02,1840.26739793,0
1547251200000,0.018952,0.019303,0.018934,0.019078,87781.55,1547294399999,1677.01486202,2951,40639.27,776.69903223,0
1547294400000,0.019085,0.0195,0.018932,0.019247,177515.97,1547337599999,3405.11235151,4827,111384.86,2137.63058337,0
1547337600000,0.019279,0.019444,0.019202,0.019347,56638.31,1547380799999,1094.19397472,2097,32986.3,637.7089826,0
1547380800000,0.019349,0.019615,0.018919,0.019364,237363.53,1547423999999,4577.4273736999985,6708,127818.3,2467.03295748,0
1547424000000,0.019379,0.019702,0.019189,0.019524,89018.3,1547467199999,1731.50655408,3241,38531.72,749.92713415,0
1547467200000,0.019524,0.019575,0.018772,0.019119,218687.88,1547510399999,4186.50802325,5252,100090.05,1918.20191214,0
1547510400000,0.019118,0.0192,0.0188,0.01913,153567.71,1547553599999,2912.31788571,2968,68722.03,1305.98623337,0
1547553600000,0.019106,0.02,0.018626,0.019693,270340.7,1547596799999,5215.47829052,5798,141637.96,2739.97942918,0
1547596800000,0.019707,0.019974,0.019509,0.019634,145104.83,1547639999999,2860.60504904,3117,88093.82,1734.7547283,0
1547640000000,0.01964,0.020025,0.019221,0.019783,251064.42,1547683199999,4944.54358777,4772,116981.88,2304.85809556,0
1547683200000,0.019783,0.020245,0.01973,0.019999,205707.61,1547726399999,4100.50509654,3961,110469.43,2206.58596903,0
1547726400000,0.020037,0.020516,0.019853,0.020317,162144.12,1547769599999,3277.82315215,3610,75667.96,1531.35551415,0
1547769600000,0.020352,0.020473,0.020005,0.020251,98103.97,1547812799999,1989.21886072,2073,42033.64,852.65242955,0
