Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1592524800000,184.44,185.72,184.44,185.72,4.13959,1592567999999,765.7918607,12,0.055,10.1442,0
1592568000000,186.32,187.76,184.93,184.93,47.45616,1592611199999,8871.4324271,56,46.00582,8602.3899292,0
1592611200000,185.04,185.53,182.59,185.53,8.20166,1592654399999,1518.7655771,18,6.413880000000002,1188.1135938,0
1592654400000,184.94,186.31,182.0,185.33,62.8176,1592697599999,11593.0058811,98,36.60546,6788.862680300002,0
1592697600000,186.14,186.28,185.09,185.09,30.54755,1592740799999,5672.796330100001,18,0.0,0.0,0
1592740800000,185.4,186.54,184.04,184.1,23.84821,1592783999999,4431.3870885,90,15.47652,2876.3243354,0
1592784000000,184.71,190.91,184.61,190.91,21.38155,1592827199999,4035.0664994,66,18.49832,3493.1891243,0
1592827200000,190.77,198.47,190.66,194.5,53.12792,1592870399999,10394.6733488,84,39.70498,7774.5914025,0
1592870400000,195.41,196.0,193.64,196.0,54.72279,1592913599999,10648.395406799998,100,47.26853,9197.512049,0
1592913600000,195.12,195.82,193.72,194.15,36.17069,1592956799999,7049.096839,42,24.2852,4732.3972128,0
1592956800000,196.31,199.0,190.01,191.4,46.11537,1592999999999,8908.4029802,53,14.05975,2753.9454806,0
1593000000000,191.83,192.34,186.48,189.6,128.85279,1593043199999,24414.4593261,173,90.95721,17237.9291659,0
1593043200000,189.38,189.6,185.15,187.06,25.10133,1593086399999,4718.5719853,51,19.1818,3612.1033753,0
1593086400000,187.49,189.96,187.25,187.71,17.97861,1593129599999,3388.2712038000004,64,16.64537,3137.6696067,0
1593129600000,187.15,188.38,184.08,185.48,25.87106,1593172799999,4814.626872800001,82,17.38372,3243.703194,0
1593172800000,186.2,188.55,185.48,188.55,16.19407,1593215999999,3031.2583067,40,10.00718,1878.6738696,0
1593216000000,186.31,187.93,185.32,186.47,2.7262,1593259199999,507.3039203,10,0.8576,160.35770209999995,0
1593259200000,186.93,187.82,177.5,179.39,65.16568000000001,1593302399999,11939.0243337,105,51.56659000000001,9485.6608859,0
1593302400000,178.44,182.38,178.42,182.38,4.254580000000002,1593345599999,762.2235324,16,4.254580000000002,762.2235324,0
1593345600000,182.25,186.76,180.7,183.71,52.44826,1593388799999,9740.489749,47,50.28743,9349.8793054,0
1593388800000,183.71,183.71,181.12,182.88,13.1299,1593431999999,2393.5914639,60,10.70682,1952.437769,0
1593432000000,183.64,188.2,180.59,187.01,91.45657,1593475199999,16838.7908972,173,76.88248,14178.0805602,0
1593475200000,185.01,185.33,183.99,185.13,8.39326,1593518399999,1546.0423786,30,2.6872,496.0640996,0
1593518400000,183.99,183.99,181.57,182.56,133.56638999999998,1593561599999,24352.4308488,289,87.29782,15890.4136605,0
1593561600000,181.5,185.0,181.0,183.56,35.63301,1593604799999,6521.536803100002,61,21.28874,3901.7083419,0
1593604800000,183.55,187.59,183.4,185.7,20.30882,1593647999999,3761.675582,79,19.05424,3528.7395032,0
1593648000000,185.64,186.41,182.0,182.37,35.18241,1593691199999,6461.7084133,163,19.3076,3546.7666251,0
1593691200000,182.1,184.31,179.27,182.19,80.06724,1593734399999,14488.6654683,151,35.86709000000001,6493.4497704999985,0
1593734400000,181.07,182.7,181.07,182.58,10.72576,1593777599999,1949.1127215,44,9.0355,1641.4854015,0
1593777600000,182.47,182.98,180.35,180.54,41.28075,1593820799999,7503.8685122,115,37.87386,6886.5150818,0
1593820800000,180.53,181.49,180.53,181.06,4.89387,1593863999999,886.2862877999999,22,4.68397,848.2733978,0
1593864000000,180.82,184.74,180.55,183.51,36.33459000000001,1593907199999,6645.282484,115,30.530990000000006,5581.8927156,0
1593907200000,183.64,184.37,179.6,180.68,31.740070000000006,1593950399999,5757.9116478,115,24.38616,4420.5747203,0
1593950400000,180.3,182.37,179.44,181.37,62.67649,1593993599999,11347.3176052,145,39.89763,7214.1775996000015,0
1593993600000,182.68,189.0,182.21,189.0,89.35365999999998,1594036799999,16646.1273291,82,31.488940000000003,5871.3605349,0
1594036800000,190.0,194.13,188.66,194.02,18.11587,1594079999999,3468.3893709,42,12.37236,2370.3170119,0
1594080000000,195.62,195.62,189.94,191.76,126.48872,1594123199999,24323.1509307,99,75.12078000000002,14353.6329602,0
1594123200000,190.54,192.73,190.41,191.97,51.61447,1594166399999,9892.2137869,87,34.75108,6666.3396997,0
1594166400000,191.16,195.09,191.16,195.09,27.47675,1594209599999,5329.6077085,82,21.20034,4118.3076716,0
1594209600000,195.87,198.77,194.61,197.18,95.01329,1594252799999,18713.8638398,177,72.53604,14316.2896424,0
1594252800000,197.19,197.23,185.99,196.5,105.44646000000002,1594295999999,20664.8765234,106,52.06114,10218.3790568,0
1594296000000,195.82,196.86,190.1,192.79,119.78217,1594339199999,23154.1584875,111,88.2273,17089.4176454,0
1594339200000,192.84,192.84,189.66,190.93,43.95721,1594382399999,8388.6822916,116,26.162370000000006,4996.5225709,0
1594382400000,191.0,193.0,190.46,193.0,83.10396999999998,1594425599999,15893.2032179,179,51.91223,9931.8099644,0
1594425600000,192.0,192.75,189.64,191.5,157.9379,1594468799999,30302.4263684,142,96.39005,18471.6761701,0
1594468800000,191.0,192.0,190.09,190.97,47.67302,1594511999999,9102.019344,107,37.89138,7231.9722846,0
1594512000000,191.67,192.2,190.62,191.4,18.75216,1594555199999,3588.2859724,36,2.8537,547.3316332,0
1594555200000,191.97,193.86,188.29,192.26,40.38076,1594598399999,7686.117658399998,109,18.98885,3615.9740162,0
1594598400000,193.19,195.49,192.17,195.49,101.69583,1594641599999,19780.2655423,60,31.519890000000004,6109.0878233,0
1594641600000,195.74,195.74,190.74,190.74,139.38818,1594684799999,26969.4318657,111,96.402,18709.3548222,0
1594684800000,192.43,194.04,190.63,194.04,80.33459,1594727999999,15437.0267705,80,52.56278,10115.4118924,0
1594728000000,193.09,195.03,191.42,193.06,110.59014,1594771199999,21404.163823500006,89,72.98993,14143.2533009,0
1594771200000,192.12,192.12,190.02,190.71,63.54569,1594814399999,12181.9655168,66,50.43171,9667.4223824,0
1594814400000,190.89,191.9,189.36,191.26,118.90862,1594857599999,22647.0353127,102,58.48636,11158.9812029,0
1594857600000,191.1,191.26,184.8,186.32,93.78566,1594900799999,17449.6037551,119,48.12235,8972.316715,0
1594900800000,186.77,187.56,185.5,186.49,76.01015,1594943999999,14186.3976244,74,43.07342,8059.5732544,0
1594944000000,186.5,188.05,184.98,187.69,61.04746,1594987199999,11384.0238997,68,26.09796,4891.1342344,0
1594987200000,187.63,188.35,186.84,186.95,18.78455,1595030399999,3519.7279597,23,15.35382,2877.7573969,0
1595030400000,186.5,188.35,186.5,187.64,11.4367,1595073599999,2142.4716464000007,28,5.42486,1015.1781377,0
1595073600000,188.4,189.58,187.45,189.43,125.76015,1595116799999,23719.6502146,44,41.9139,7920.5548328999985,0
1595116800000,188.5,188.5,187.39,187.88,18.802670000000006,1595159999999,3532.5265616,36,8.46424,1591.4205133,0
1595160000000,187.36,192.45,187.0,192.45,111.94328,1595203199999,21138.818995200007,99,92.11242,17400.458345500007,0
1595203200000,191.2,192.42,188.98,188.98,44.70083,1595246399999,8550.5741177,66,37.26476,7127.8931466,0
1595246400000,188.88,189.94,186.5,187.96,81.47018,1595289599999,15325.4937926,97,30.13023,5670.700616800002,0
1595289600000,188.13,193.03,188.02,192.91,55.29655,1595332799999,10568.056316700002,29,24.44873,4664.463304,0
1595332800000,193.18,194.29,191.94,193.25,103.60885,1595375999999,20006.5850998,82,79.92775,15440.8028662,0
1595376000000,193.25,194.01,192.54,193.61,35.49631,1595419199999,6860.903979899998,59,27.77556,5369.9130069,0
