Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,131.28,135.62,129.96,134.15,12336.10883,1546343999999,1638402.0823542,4508,6713.1599099999985,889588.5709576,0
1546344000000,133.97,141.16,131.4,140.45,19124.338030000006,1546387199999,2603593.2540693,8248,11120.91704,1521537.4726278,0
1546387200000,140.33,150.08,138.87,148.97,19379.22941,1546430399999,2806802.8256448,9163,9531.54464,1381234.2976161002,0
1546430400000,149.13,156.61,147.51,153.34,20765.68144,1546473599999,3157473.3089166,10607,10933.66884,1659465.3020636996,0
1546473600000,153.34,154.82,146.01,147.83,17399.92155,1546516799999,2631021.9861296,8609,6440.30786,973019.6736303,0
1546516800000,147.83,150.23,144.63,147.05,15551.588,1546559999999,2289309.9174901,8747,6377.1926,938312.0253043,0
1546560000000,147.1,155.87,145.2,150.75,17033.47991,1546603199999,2584325.6621782,8078,9217.63434,1398620.4024639,0
1546603200000,150.76,155.3,146.21,153.52,25638.52939,1546646399999,3849909.3220617,11599,10884.00823,1637477.2172689,0
1546646400000,153.63,160.8,153.54,157.55,23691.45236,1546689599999,3745782.4311973,9559,10926.11198,1725867.7574641998,0
1546689600000,157.79,158.73,153.0,154.44,18706.86504,1546732799999,2922708.3421477,9678,7624.83247,1192691.88939,0
1546732800000,154.32,155.2,148.75,153.53,14771.78407,1546775999999,2248253.3099595,9460,8261.575659999999,1260180.2888448,0
1546776000000,153.56,159.46,151.41,156.11,21353.46585,1546819199999,3327162.9073106004,10495,10122.34841,1577113.4768422,0
1546819200000,155.88,157.5,149.9,153.05,12536.34448,1546862399999,1929952.0456625,7307,5152.0673,793381.9072175,0
1546862400000,153.0,154.0,148.9,150.88,9070.10253,1546905599999,1377876.5645904,5775,4005.9821,608803.7299359001,0
1546905600000,150.8,151.97,146.7,151.31,12801.93812,1546948799999,1905166.1000495,6561,5796.13833,863853.125417,0
1546948800000,151.28,153.45,148.63,149.27,15682.88246,1546991999999,2365867.0941735,8557,6724.5848700000015,1013824.5796509,0
1546992000000,149.27,153.0,148.4,151.15,9487.53328,1547035199999,1435612.0143026004,5911,4911.40608,743124.5403181,0
1547035200000,150.92,151.51,148.84,149.63,11975.88255,1547078399999,1796173.5447796,6937,6108.19472,916359.7117704,0
1547078400000,149.64,151.0,129.08,132.89,43154.23819,1547121599999,5929077.3633939,15406,18212.1275,2481485.6157188,0
1547121600000,132.86,133.36,122.52,126.57,38741.7024,1547164799999,4935139.3091278,16594,19131.09168,2434980.2942194,0
1547164800000,126.45,128.93,121.98,124.36,26715.3847,1547207999999,3373547.4384892,12112,15851.25245,2005573.4916261,0
1547208000000,124.24,128.1,122.6,126.0,29399.274660000006,1547251199999,3693302.5228187004,12295,15428.0931,1939195.5324681,0
1547251200000,125.92,127.31,124.47,125.72,17036.1143,1547294399999,2146147.7646254,8311,11800.45247,1486185.3413591,0
1547294400000,125.64,127.26,123.6,124.68,12830.15101,1547337599999,1607687.6777615,7425,7501.626459999998,939729.6828106,0
1547337600000,124.56,124.87,123.62,124.0,7701.715770000002,1547380799999,957220.3941333,5022,4131.5645399999985,513448.9086076,0
1547380800000,124.0,125.39,113.12,115.32,38834.82871,1547423999999,4580137.0572568,11650,18446.62005,2174517.0759561,0
1547424000000,115.46,118.48,115.25,116.39,15488.04539,1547467199999,1812487.3058419,6327,8706.196259999999,1018890.2353593,0
1547467200000,116.51,131.82,116.21,128.46,34852.91786,1547510399999,4412306.2377203,12302,17707.018330000006,2237999.1073401,0
1547510400000,128.46,129.99,125.36,126.58,19278.57538,1547553599999,2459023.6838694,7737,7194.297,919062.1809263,0
1547553600000,126.56,130.57,117.0,119.9,56247.62889,1547596799999,6935736.2114116,16540,27707.77672,3412073.3032681,0
1547596800000,119.9,123.82,119.38,122.47,19343.74948,1547639999999,2339643.8569174,8445,9735.64497,1177199.4153437,0
1547640000000,122.52,127.6,119.56,122.13,41687.45173,1547683199999,5110231.9796351,13918,20508.50877,2513583.9672436,0
1547683200000,122.18,122.52,117.45,120.63,27839.98438,1547726399999,3351357.4459238,8561,13988.46199,1683567.8618362,0
1547726400000,120.81,123.7,119.02,122.65,29906.5931,1547769599999,3629466.306522,10465,14868.9274,1804224.2630359,0
1547769600000,122.37,122.78,120.34,121.0,9915.92998,1547812799999,1205113.2890757,5293,5549.38511,674446.0316505,0
1547812800000,120.92,121.59,118.2,119.5,15268.24875,1547855999999,1826660.9142849,6427,7009.235040000001,838806.7424016,0
1547856000000,119.51,126.45,119.51,124.41,25577.79379,1547899199999,3151179.5504381,7383,11900.48983,1463850.3385596,0
1547899200000,124.34,124.79,122.44,123.06,15475.07577,1547942399999,1915844.2404286,4955,6871.46913,850957.4027548,0
1547942400000,123.05,123.79,117.96,119.3,20577.73212,1547985599999,2506506.9046309,5688,9804.04881,1194061.1960924,0
1547985600000,119.33,119.44,115.35,117.54,31951.02252,1548028799999,3743668.5108611,8738,14972.35637,1754939.5600058,0
1548028800000,117.55,117.89,113.77,117.5,10489.05368,1548071999999,1219308.4770584998,3095,4867.42778,566045.491255,0
1548072000000,117.52,118.22,114.15,115.75,9609.58288,1548115199999,1120975.4304683998,2329,4540.59041,529745.8677604999,0
1548115200000,115.72,117.38,111.19,114.9,17197.08142,1548158399999,1978534.088681,3346,8598.13664,989126.512023,0
1548158400000,114.81,119.64,114.24,118.02,17170.1716,1548201599999,2011757.7155015,3070,8137.94693,953471.6945245,0
1548201600000,118.02,118.75,117.05,117.84,9336.05645,1548244799999,1101771.5184636002,2479,3495.5559299999995,412073.7707178,0
1548244800000,117.84,120.35,114.93,116.51,12823.44898,1548287999999,1501046.353444,3034,6545.68758,766103.6003479002,0
1548288000000,116.51,116.64,113.74,115.96,16867.19726,1548331199999,1947706.9787042,3619,9530.6581,1100627.6521958,0
1548331200000,115.96,117.2,115.13,116.4,8198.60519,1548374399999,953304.0653858,1986,4234.69256,492576.1080766,0
1548374400000,116.54,117.08,114.17,115.31,13540.54728,1548417599999,1566513.3965374,3550,6096.8763899999985,705166.6817674,0
1548417600000,115.26,116.47,114.32,115.04,6482.49356,1548460799999,747586.4949381,1304,3009.33137,347061.0148728,0
1548460800000,115.1,117.78,114.93,116.01,8091.74705,1548503999999,941296.6968251,1654,5029.79745,584527.788058,0
1548504000000,116.0,116.2,114.92,114.92,3719.74052,1548547199999,429945.4743571,1113,1415.39747,163620.6463278,0
1548547200000,114.92,115.5,112.69,113.72,11658.42438,1548590399999,1330214.8760018,1962,5382.23852,613939.2425739,0
1548590400000,113.87,113.91,110.66,111.43,12302.76682,1548633599999,1385370.5846381,2944,7909.709209999999,890574.7810705,0
1548633600000,111.37,112.1,102.8,103.53,26919.95144,1548676799999,2888353.4423392,4671,13359.49355,1434287.5060224,0
1548676800000,103.48,106.6,100.81,105.3,19316.96697,1548719999999,1994797.7823724,3380,10597.69178,1093835.4969683,0
1548720000000,105.42,105.76,102.2,103.46,14709.503680000002,1548763199999,1524992.6423566,3140,7179.534140000002,743717.3893544001,0
1548763200000,103.49,105.9,103.4,104.02,8788.38041,1548806399999,919182.3500598,2109,4608.50176,482321.2985085999,0
1548806400000,103.95,105.62,103.0,104.51,11207.95096,1548849599999,1170360.6382033,2381,4836.74355,504927.5127396,0
1548849600000,104.51,109.31,104.33,107.55,23200.56685,1548892799999,2495111.554674,3730,11294.90934,1213208.1334392,0
1548892800000,107.55,110.05,105.5,106.05,8418.32472,1548935999999,905654.021279,2639,2578.67574,277176.1525677,0
1548936000000,106.08,106.47,104.75,105.79,7888.2786099999985,1548979199999,833453.5504061999,2208,4911.97683,518915.0446995999,0
1548979200000,105.78,106.94,103.08,105.68,12838.25628,1549022399999,1341431.5534203,2999,7479.94582,780924.8022939,0
1549022400000,105.68,107.5,104.94,105.86,6595.576999999998,1549065599999,699872.1523528001,1622,2901.95012,308108.1296462,0
1549065600000,105.88,107.32,105.21,106.86,5180.74279,1549108799999,549225.8066859,1321,2501.21403,265096.9413709,0
1549108800000,106.86,109.98,105.9,109.34,18374.43656,1549151999999,1970828.5745505,3629,4900.9454799999985,528330.8379287,0
1549152000000,109.37,110.01,106.35,106.7,6928.9323,1549195199999,750061.0288660999,2024,4000.17289,433512.6524488,0
1549195200000,106.81,107.12,104.65,105.99,5316.53066,1549238399999,563125.2606369001,1370,2044.94901,216510.26409370004,0
1549238400000,106.14,107.88,105.46,105.59,3902.98594,1549281599999,414621.8764301,1165,2582.82853,274360.1438844,0
1549281600000,105.47,107.06,105.43,106.1,3953.96823,1549324799999,420089.0565468,1020,1970.03546,209368.0637076,0
1549324800000,106.11,106.63,105.14,106.22,2157.08871,1549367999999,228429.45382520003,1095,755.8422400000002,80062.16594810001,0
1549368000000,106.23,106.3,105.26,106.12,2080.32687,1549411199999,220064.7338003,776,832.97339,88155.0788703,0
1549411200000,106.14,106.49,100.15,101.47,10838.86454,1549454399999,1107560.63905,2489,6806.8969,694717.5180593,0
1549454400000,101.4,105.03,100.76,103.32,8726.332470000001,1549497599999,895298.2100626999,2155,4515.968,462590.23189820006,0
1549497600000,103.24,104.87,102.46,103.99,4656.615870000001,1549540799999,484370.7078471,1225,1906.16029,198307.3589281,0
1549540800000,103.64,104.15,102.66,103.27,3784.74688,1549583999999,391191.4914467,1117,2188.87752,226310.3770915,0
1549584000000,103.3,108.48,102.29,107.1,9639.39376,1549627199999,1017650.8281799,2023,4794.77261,504637.182749,0
1549627200000,107.15,121.72,106.85,118.01,30044.5976,1549670399999,3437455.2652735,5703,16547.88955,1894550.603222,0
1549670400000,118.07,118.91,116.69,118.29,5875.554,1549713599999,691707.7460886999,1607,2866.82005,337542.0582442,0
1549713600000,118.4,119.99,116.61,117.99,10416.78266,1549756799999,1230218.8987504998,2673,4575.14706,540412.6211485,0
1549756800000,118.07,118.32,115.0,116.22,8544.094070000001,1549799999999,994865.0086085,2235,3162.10652,368038.1169428,0
1549800000000,116.28,124.78,115.46,124.26,9774.47503,1549843199999,1168282.1953168,3085,5932.3606,709568.4292899,0
1549843200000,124.2,124.2,118.21,119.09,8263.4517,1549886399999,991389.846003,2100,3942.38255,472962.1592814,0
1549886400000,119.23,121.89,118.3,119.59,7769.7342,1549929599999,934323.5635522,1757,4649.0284299999985,559160.6888417,0
1549929600000,119.47,119.88,117.14,119.16,6260.07578,1549972799999,742910.8837474,1989,3599.527,426465.2515738,0
1549972800000,119.07,122.46,118.33,120.87,11698.652,1550015999999,1407043.6799921002,2862,5408.88529,650306.310086,0
1550016000000,120.87,125.12,120.58,121.8,9937.92403,1550059199999,1215614.230463,2405,5523.39962,676076.6960284001,0
1550059200000,121.51,122.04,119.56,120.72,8842.2307,1550102399999,1066284.0401241,2396,4539.74732,547597.2255818,0
1550102400000,120.74,123.25,118.78,119.62,10301.91874,1550145599999,1247919.5363828002,2548,6426.879779999998,779367.8241806,0
1550145600000,119.57,121.49,119.16,119.44,4844.37281,1550188799999,582838.2383394,1327,2354.70753,283445.5352975,0
1550188800000,119.26,122.3,119.23,120.71,5147.303660000001,1550231999999,622460.1101896,1433,2055.17773,248331.8950803,0
1550232000000,120.84,123.13,118.5,120.48,8458.30828,1550275199999,1019699.7880938,1763,3932.15153,473579.0076770001,0
1550275200000,120.47,122.0,120.47,121.6,4194.006820000001,1550318399999,508536.3903342,1205,2641.80441,320364.1704949,0
1550318400000,121.72,123.52,121.24,121.37,4588.17185,1550361599999,560926.6116554,1212,2108.99067,258121.137781,0
1550361600000,121.4,129.32,121.25,125.48,14019.63989,1550404799999,1752857.0454978,2918,7142.37095,893879.2021584999,0
1550404800000,125.49,134.09,123.02,132.22,19900.13747,1550447999999,2549640.6705685,4631,11391.57485,1455850.4302247,0
1550448000000,132.31,139.37,131.04,139.15,23141.95962,1550491199999,3137119.3851543,4939,11841.29206,1603687.0160923,0
1550491200000,139.16,147.65,138.63,144.57,31432.308,1550534399999,4507541.8345632,8425,17584.48499,2522667.7385252,0
1550534400000,144.64,149.37,144.09,145.36,12564.02013,1550577599999,1831397.2467794,5209,7852.302990000001,1144546.3629761,0
1550577600000,145.46,147.8,140.7,142.87,17160.0863,1550620799999,2494957.4238631,5557,8511.50086,1238020.2674283998,0
1550620800000,142.69,146.34,139.42,145.33,10171.97717,1550663999999,1447353.3879603,4744,4916.33445,701596.1887662,0
1550664000000,145.47,148.2,144.22,147.44,10296.46744,1550707199999,1501706.9796671,3575,5522.318170000001,805403.0484906,0
1550707200000,147.25,148.4,141.76,143.16,13694.358580000002,1550750399999,1991848.2071089,3451,6623.9631100000015,962435.8099089,0
1550750400000,143.38,144.48,141.93,144.13,7068.28385,1550793599999,1011794.122767,2277,4351.29705,622987.8746134,0
1550793600000,144.26,146.41,142.29,145.7,7127.19698,1550836799999,1031168.293553,2353,3679.04013,531990.3094371,0
1550836800000,145.88,147.52,145.42,146.44,8613.625390000001,1550879999999,1262421.8399791,2570,4323.48898,633870.1583673999,0
1550880000000,146.58,147.77,145.02,146.97,9503.10739,1550923199999,1389351.1935555,2411,3712.05023,542847.0805962,0
1550923200000,147.04,159.5,146.15,157.73,24473.243130000006,1550966399999,3774025.6134775,6614,10402.16305,1606227.4806453998,0
1550966400000,157.52,165.79,157.52,162.82,22772.32267,1551009599999,3699573.2873545,5872,9295.78737,1508771.2357118,0
1551009600000,162.9,163.13,129.96,131.73,62060.11235,1551052799999,8721536.8807358,16335,30466.06377,4278118.662166,0
1551052800000,131.78,139.1,131.3,136.33,21215.25935,1551095999999,2886996.473619,6025,12597.6489,1717701.7385222,0
1551096000000,136.23,140.9,134.97,137.53,17161.54826,1551139199999,2361790.0377292004,4747,8252.30977,1134250.0021583,0
1551139200000,137.51,138.03,133.38,135.45,10853.53633,1551182399999,1477561.8602184,2984,5789.70187,787472.6416341,0
1551182400000,135.44,136.58,133.42,135.91,7058.9935799999985,1551225599999,953527.339264,2203,3347.0621,452132.9811382,0
1551225600000,135.98,138.38,134.27,138.02,7936.79548,1551268799999,1085220.7334193,2683,5038.5992700000015,688408.1139271,0
1551268800000,138.0,139.54,125.29,134.5,27394.90561,1551311999999,3657104.6608003,7058,16822.1824,2249342.4657756,0
1551312000000,134.29,137.22,133.57,136.5,11940.23953,1551355199999,1620835.2728616004,2973,5552.703610000001,753180.2214062,0
1551355200000,136.51,138.64,131.3,134.57,24637.6912,1551398399999,3340108.2816215,6340,13007.82392,1762821.0771033,0
1551398400000,134.59,135.95,134.05,135.03,4205.8129899999985,1551441599999,568668.4317001,1441,1796.45478,242891.9774561,0
1551441600000,135.01,137.6,134.38,134.7,4832.31923,1551484799999,656008.2860955,1761,2087.06768,283050.4416879,0
1551484800000,134.64,135.44,129.75,133.37,6760.437840000001,1551527999999,896598.641595,2107,3028.81558,401388.1200852,0
1551528000000,133.54,133.54,130.1,132.06,3650.17741,1551571199999,481391.3545102,1837,1288.85756,169838.9501961,0
1551571200000,132.14,134.32,132.14,132.82,1648.32504,1551614399999,219824.4925734,974,906.59832,120950.8360945,0
1551614400000,133.03,133.12,127.39,129.94,4051.30727,1551657599999,527994.5366982,1606,1972.04775,257407.5123425,0
1551657600000,129.8,130.35,122.62,124.55,12714.93805,1551700799999,1607328.5146098996,3780,6523.0472,824789.4157223002,0
1551700800000,124.47,126.93,123.67,125.18,3087.591360000001,1551743999999,386574.3641376,1167,1825.8061,228643.9050292,0
1551744000000,125.43,128.41,124.8,127.59,4554.160370000001,1551787199999,574777.5176202,1711,3059.27132,385842.0341311,0
1551787200000,127.66,137.59,127.61,136.25,14328.64316,1551830399999,1914049.7385656,3234,6838.61101,912766.4189541,0
1551830400000,136.44,139.94,133.05,138.3,16485.18364,1551873599999,2246968.6871468,4234,6015.40085,821690.2533378,0
1551873600000,138.3,138.3,135.2,137.0,5189.46354,1551916799999,709427.1940659998,1642,2118.84095,289389.810335,0
1551916800000,137.09,139.53,134.94,136.18,6155.36215,1551959999999,846969.3319198001,1672,2941.54311,404359.9846474,0
