Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1594598400000,10.0,10.2,9.96,10.2,14913.65,1594641599999,150245.6781,97,12934.31,130304.0505,0
1594641600000,10.24,10.24,9.44,9.68,15918.55,1594684799999,157838.881,196,5673.59,55972.6279,0
1594684800000,9.6,9.75,9.38,9.69,4563.98,1594727999999,43634.9597,107,2264.46,21730.6829,0
1594728000000,9.75,9.88,9.54,9.73,7864.82,1594771199999,76679.5508,96,3329.47,32533.1739,0
1594771200000,9.8,9.8,9.52,9.63,3767.31,1594814399999,36335.7379,53,2499.5,24128.585,0
1594814400000,9.64,9.68,9.37,9.56,14724.39,1594857599999,140025.00199999998,132,3458.31,32977.6385,0
1594857600000,9.56,9.62,8.65,8.8,29603.8,1594900799999,264103.3794,197,11428.14,101897.1937,0
1594900800000,8.83,9.08,8.83,9.04,18832.97,1594943999999,166755.8502,114,10946.66,96934.5946,0
1594944000000,8.98,9.05,8.84,8.84,12596.24,1594987199999,112242.5245,74,3160.38,28219.2808,0
1594987200000,8.97,9.08,8.89,8.91,4958.34,1595030399999,44533.8486,53,1426.49,12847.3812,0
1595030400000,8.9,9.15,8.87,9.1,5761.83,1595073599999,51983.7694,64,2594.26,23395.6632,0
1595073600000,9.15,9.29,9.04,9.16,8362.48,1595116799999,76349.969,62,4335.83,39641.8476,0
1595116800000,9.18,9.21,8.96,9.02,3801.22,1595159999999,34439.4362,46,2317.55,21029.3743,0
1595160000000,8.99,9.57,8.99,9.54,5332.24,1595203199999,49226.8568,101,3542.85,32764.4969,0
1595203200000,9.52,9.57,9.33,9.37,10768.32,1595246399999,101651.4531,82,4238.49,40163.9259,0
1595246400000,9.4,9.48,9.06,9.2,5110.79,1595289599999,47962.3928,99,2819.79,26505.4994,0
1595289600000,9.24,9.95,9.24,9.89,18490.03,1595332799999,180372.8966,179,11483.71,112257.9885,0
1595332800000,9.92,10.32,9.88,10.19,22461.74,1595375999999,225672.2181,188,14891.05,149805.7363,0
1595376000000,10.15,10.15,9.74,9.99,11268.31,1595419199999,112163.227,84,5464.87,54420.8377,0
1595419200000,10.0,12.95,9.85,12.28,217660.88,1595462399999,2613223.0545,717,125738.11,1500408.0169,0
1595462400000,12.27,12.5,11.83,12.31,56694.69,1595505599999,696528.4573,382,28124.36,347040.7864,0
1595505600000,12.33,13.97,11.99,13.41,145300.16,1595548799999,1899474.2676,1093,78780.73,1029239.3108,0
1595548800000,13.42,13.57,12.68,13.41,43111.67,1595591999999,568554.4929,439,20430.01,270622.9442,0
