Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1602763200000,10.0,430.0,10.0,62.5418,1083589.84,1602806399999,71986882.81039,170124,530923.14,35391589.383895,0
1602806400000,62.5902,75.8725,51.1375,54.57,860866.57,1602849599999,55209446.807813,116870,412517.86,26670445.373664007,0
1602849600000,54.5027,56.832,38.8302,44.348,836010.19,1602892799999,39400577.43892101,123388,394230.5,18556649.771858,0
1602892800000,44.3512,50.6273,42.2952,45.0,421302.45,1602935999999,19398684.097973,69064,205264.44,9467098.57448,0
1602936000000,45.0,46.9183,40.3325,42.24,251648.33,1602979199999,10889413.34583,38835,125188.38,5407867.335105998,0
1602979200000,42.2364,42.3136,35.1325,35.395,304332.07,1603022399999,11670738.240799,40021,156720.19,5995268.851951,0
1603022400000,35.399,36.5,31.7722,32.4049,289297.09,1603065599999,10041739.833512,36354,152472.78,5303893.45625,0
1603065600000,32.3569,34.15,29.9321,31.8524,515689.89,1603108799999,16192186.650887,52153,248289.21,7805497.444621,0
1603108800000,31.7826,35.0,31.2,33.9755,298408.57,1603151999999,9799616.775716,31236,150177.96,4929107.525692,0
1603152000000,33.9203,34.0,31.3,31.4287,229393.51,1603195199999,7476560.608825,26140,104161.3,3395609.211991,0
1603195200000,31.4007,32.5944,30.1783,31.175,80774.88,1603238399999,2524696.835701,9164,42036.89,1316451.985646,0
1603238400000,31.1293,31.8875,29.6329,30.2945,212141.24,1603281599999,6511929.563634,23502,114150.34,3504512.859943,0
1603281600000,30.2739,30.2993,26.5013,26.5028,243202.82,1603324799999,6905135.047056,25668,112766.81,3204453.984747,0
1603324800000,26.5197,26.8362,25.2486,26.312,314986.9,1603367999999,8143584.438678,36438,175861.81,4544931.255682,0
1603368000000,26.3206,26.5,22.6,23.739,388092.94,1603411199999,9365381.917125,36989,200028.14,4832178.728465,0
1603411200000,23.707,24.6,23.0949,23.2931,236299.29,1603454399999,5640384.370656,26978,130090.37,3105250.001739,0
1603454400000,23.2496,25.7,20.6023,23.8771,595950.7,1603497599999,13535865.394982,51498,308000.08,7027108.409496001,0
1603497600000,23.8806,24.4513,22.257,23.0787,373990.77,1603540799999,8765993.83628,38923,190221.8,4459745.759759,0
1603540800000,23.0647,26.7346,22.9207,25.8076,398692.83,1603583999999,9969069.073167,34965,212299.76,5310248.856942,0
1603584000000,25.7672,37.9453,25.3386,29.6929,847301.75,1603627199999,26804781.912337,91526,431739.73,13589321.716281,0
1603627200000,29.693,39.7777,29.6812,38.6663,652976.73,1603670399999,22561558.733995,74020,334965.61,11575482.301556,0
1603670400000,38.7826,40.8939,37.1902,39.2377,489450.88,1603713599999,19015643.471726,60737,235414.46,9158264.603979,0
1603713600000,39.2679,39.445,31.9795,33.7887,571797.98,1603756799999,20125989.722089,67865,293506.2,10321039.239195,0
1603756800000,33.854,37.9,32.6056,34.1077,374305.14,1603799999999,13067027.829601,47473,190977.07,6672087.765343,0
1603800000000,34.0417,36.0,33.7336,35.1693,197351.27,1603843199999,6874345.538744,26941,102015.24,3555284.888774,0
