Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1601251200000,0.3,3.0,0.3,1.1616,1003873.26,1601294399999,1320236.496273,8359,369152.07,500345.70803,0
1601294400000,1.1501,1.1777,0.9312,0.9394,220825.25,1601337599999,233781.664045,1653,88855.67,94518.930984,0
1601337600000,0.9627,0.9712,0.6757,0.7619,431613.14,1601380799999,336404.241068,2054,170892.02,133047.733522,0
1601380800000,0.7372,0.7626,0.5717,0.645,260508.6,1601423999999,171646.083774,1122,108437.32,71489.944075,0
1601424000000,0.6553,0.6817,0.5841,0.6381,199103.34,1601467199999,126052.048947,780,75758.89,48912.263916,0
1601467200000,0.6345,0.6525,0.5921,0.6255,90574.91,1601510399999,56426.201653,378,34045.18,21287.131449,0
1601510400000,0.6255,0.6804,0.616,0.6446,98610.05,1601553599999,64026.063038,315,39214.84,25627.579603,0
1601553600000,0.6409,0.6475,0.552,0.5577,77722.47,1601596799999,46488.418523,393,28240.21,17235.78022,0
1601596800000,0.5595,0.5833,0.4173,0.4469,101887.85,1601639999999,49983.970647,514,28850.15,14513.117004,0
1601640000000,0.442,0.4997,0.4277,0.4687,107935.84,1601683199999,48385.052525,320,28727.8,12991.935588,0
1601683200000,0.4665,0.4978,0.4298,0.4806,134359.59,1601726399999,62223.323765,585,76968.07,35810.795386,0
1601726400000,0.4735,0.49,0.408,0.413,345947.89,1601769599999,156959.585125,780,180736.95,81679.72707899999,0
1601769600000,0.4083,0.5488,0.3673,0.3941,155508.89,1601812799999,61771.78100900001,654,39630.83,16256.083915,0
1601812800000,0.3876,0.4027,0.3443,0.3568,320021.68,1601855999999,116775.187463,606,135175.93,50070.277179,0
1601856000000,0.3568,0.361,0.3037,0.312,111637.63,1601899199999,37875.960153,292,65225.94,22595.961719,0
1601899200000,0.3101,0.41,0.3066,0.3833,251017.48,1601942399999,92942.459935,582,130163.48,48088.553753,0
1601942400000,0.3788,0.4074,0.3231,0.3347,167281.03,1601985599999,63252.894965,540,24969.7,9037.633109,0
1601985600000,0.3322,0.341,0.2874,0.298,108660.31,1602028799999,33343.509975,420,39143.44,11991.598863,0
1602028800000,0.2984,0.3011,0.2527,0.261,86113.19,1602071999999,23311.2496,310,40111.92,10913.335292,0
1602072000000,0.2641,0.2752,0.2554,0.2628,106645.69,1602115199999,27994.869192,229,21651.86,5772.559378,0
1602115200000,0.2621,0.27,0.2471,0.2544,78449.45,1602158399999,20175.524424,202,23720.61,6176.059947,0
1602158400000,0.253,0.2969,0.2499,0.2831,130615.24,1602201599999,36536.083648,390,77422.96,21707.893037,0
1602201600000,0.2812,0.306,0.2642,0.2923,398677.28,1602244799999,114802.247703,475,78075.39,22331.704166,0
1602244800000,0.2939,0.306,0.2836,0.292,85183.21,1602287999999,24847.336,192,38675.69,11295.442344,0
1602288000000,0.2911,0.3066,0.2791,0.2811,93232.23,1602331199999,27490.212676,342,34785.82,10346.5737,0
1602331200000,0.2815,0.287,0.2587,0.26,34960.09,1602374399999,9637.838453,134,14609.02,4039.132463,0
1602374400000,0.264,0.2715,0.2474,0.2661,318968.2,1602417599999,79954.943497,292,273486.61,68400.61218200001,0
1602417600000,0.2641,0.2805,0.2585,0.28,68942.56,1602460799999,18368.466115,238,33866.16,9059.440709,0
1602460800000,0.276,0.2778,0.2556,0.2595,80488.93,1602503999999,21526.006724000006,279,30210.34,8094.944884,0
1602504000000,0.2602,0.274,0.2546,0.2577,80210.68,1602547199999,21286.846417,165,25971.52,6990.89015,0
1602547200000,0.2596,0.266,0.256,0.2657,58381.37,1602590399999,15275.21004,204,29494.22,7742.154863,0
1602590400000,0.2638,0.29,0.263,0.2754,92960.61,1602633599999,25562.756458,288,51091.61,14078.596282,0
1602633600000,0.2738,0.297,0.2674,0.2692,104067.29,1602676799999,29235.234545,356,51372.48,14430.973303,0
1602676800000,0.27,0.2796,0.26,0.2715,23726.21,1602719999999,6357.256109,113,11094.05,2982.320644000001,0
1602720000000,0.2733,0.2733,0.2571,0.2603,31745.93,1602763199999,8467.365796,115,9488.64,2546.274129,0
1602763200000,0.2602,0.2698,0.2584,0.2627,109051.26,1602806399999,28735.525725,106,51795.26,13606.122874,0
1602806400000,0.2609,0.2659,0.25,0.2583,43682.34,1602849599999,11228.305426,137,24051.1,6172.760958,0
1602849600000,0.2572,0.2605,0.2482,0.2523,40540.37,1602892799999,10328.647353,269,11356.22,2884.938649,0
1602892800000,0.252,0.26,0.2431,0.2551,38175.26,1602935999999,9442.77934,202,12387.27,3082.862329,0
1602936000000,0.255,0.2565,0.2328,0.2528,39415.52,1602979199999,9917.784554,123,11053.57,2806.306172,0
1602979200000,0.2538,0.2674,0.2536,0.2571,58149.66,1603022399999,14981.36987,129,26372.03,6810.849368000001,0
1603022400000,0.2571,0.261,0.2511,0.261,36082.61,1603065599999,9261.529644,115,15748.54,4052.771799,0
1603065600000,0.2566,0.2566,0.2482,0.2504,27019.35,1603108799999,6811.510732,106,11406.25,2886.782487,0
1603108800000,0.2503,0.2695,0.2497,0.2609,47417.47,1603151999999,12247.823051,163,29038.91,7544.035564,0
1603152000000,0.2605,0.2605,0.248,0.2485,27818.02,1603195199999,7062.551903000001,91,3955.68,1012.908416,0
1603195200000,0.2492,0.2583,0.2347,0.2375,21868.77,1603238399999,5376.308352,98,9484.79,2376.818945,0
1603238400000,0.2375,0.2489,0.234,0.2401,28789.37,1603281599999,6920.729467,115,7509.87,1808.695909,0
1603281600000,0.2396,0.2527,0.2352,0.2419,85315.49,1603324799999,21063.237998,193,34355.12,8600.076729,0
1603324800000,0.2408,0.2478,0.2229,0.2468,63429.07,1603367999999,15213.307689,139,32049.06,7747.419853,0
1603368000000,0.2443,0.2478,0.2328,0.2369,17936.89,1603411199999,4309.707449,78,3557.77,866.5210720000001,0
1603411200000,0.2345,0.2357,0.23,0.2331,15827.3,1603454399999,3664.038039,57,4379.56,1014.695814,0
1603454400000,0.2322,0.233,0.2179,0.2228,33564.64,1603497599999,7497.2837340000015,79,3671.8,818.277075,0
1603497600000,0.2208,0.2358,0.21,0.228,51507.59,1603540799999,11564.94588,161,20303.94,4637.596196,0
1603540800000,0.2285,0.2312,0.2226,0.2278,16771.83,1603583999999,3813.750351,69,7517.38,1722.784766,0
1603584000000,0.226,0.2312,0.2079,0.2111,76092.45,1603627199999,16457.145829,165,47251.71,10195.966744,0
1603627200000,0.212,0.2141,0.206,0.2089,101910.59,1603670399999,21224.217606,169,87614.46,18220.141237,0
1603670400000,0.2104,0.2212,0.2082,0.2094,46510.01,1603713599999,9908.465395,96,9599.85,2064.151757,0
