Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1604620800000,0.85,6.0005,0.2101,0.8444,282540.69,1604663999999,360241.885922,3575,85814.12,140922.302205,0
1604664000000,0.855,1.0917,0.779,0.8478,118203.21,1604707199999,102503.37897,929,54375.32,47777.308184,0
1604707200000,0.8478,0.89,0.7801,0.8140000000000001,51450.41,1604750399999,41749.820064,537,21089.1,17202.315795,0
1604750400000,0.8174,0.85,0.6782,0.6786,23760.77,1604793599999,18600.333883000007,267,11331.74,9093.736248,0
1604793600000,0.6784,0.7706,0.645,0.6911,37825.45,1604836799999,26679.549607,300,19985.15,14149.846449,0
1604836800000,0.6911,0.7345,0.6629,0.6769,17146.98,1604879999999,11959.98592,174,9910.39,6909.152951000001,0
1604880000000,0.6831,0.6933,0.6123,0.6699,35357.7,1604923199999,22957.346582,356,15618.23,10160.889103,0
1604923200000,0.6667,0.6667,0.5678,0.5801,54545.57,1604966399999,33464.11857,418,14671.85,9001.98088,0
1604966400000,0.5802,0.848,0.5713,0.6902,101022.12,1605009599999,73346.615544,885,59541.09,43072.951385,0
1605009600000,0.695,0.705,0.591,0.6,50418.67,1605052799999,31659.559218,295,19877.15,12672.628173,0
1605052800000,0.5920000000000001,0.639,0.5703,0.5868,53772.91,1605095999999,32091.539264,390,15779.93,9498.611644,0
1605096000000,0.59,0.5996,0.5007,0.5087,47296.54,1605139199999,25774.888092,305,15214.21,8207.598896,0
1605139200000,0.5004,0.5089,0.4352,0.4404,90462.92,1605182399999,43014.865761,319,22889.9,10800.574115,0
1605182400000,0.4441,0.4613,0.4001,0.406,61874.77,1605225599999,26479.731615,297,23186.87,9869.168984,0
1605225600000,0.4072,0.4596,0.401,0.4248,50792.66,1605268799999,21774.491213,289,21809.07,9379.291803,0
1605268800000,0.4223,0.4478,0.4184,0.4283,33596.42,1605311999999,14518.484684,162,15602.51,6808.964873999998,0
1605312000000,0.4262,0.4283,0.3818,0.3839,57397.12,1605355199999,23150.804857,211,25374.75,10313.236991,0
1605355200000,0.3849,0.4236,0.3849,0.41,52642.46,1605398399999,21207.152066,139,31975.43,12987.467585,0
1605398400000,0.4119,0.5496,0.4119,0.4723,152122.55,1605441599999,73951.585041,578,90070.71,43797.222665,0
1605441600000,0.4723,0.4873,0.4078,0.4405,106795.11,1605484799999,47532.010377,368,57069.02,25320.585826,0
1605484800000,0.4402,0.599,0.4343,0.5707,292218.2,1605527999999,152448.093003,997,146916.5,76574.587765,0
1605528000000,0.5651,0.78,0.5345,0.6884,430950.33,1605571199999,278336.02059000003,1790,210000.84,137826.93472000002,0
1605571200000,0.6940000000000001,0.78,0.6123,0.6753,268765.56,1605614399999,185113.667962,1259,138397.75,95906.437857,0
1605614400000,0.677,0.716,0.55,0.6253,181360.68,1605657599999,112895.643074,764,91332.54,56827.15975399999,0
1605657600000,0.6167,0.6167,0.505,0.5137,127799.78,1605700799999,69362.470587,668,41493.04,22566.40209,0
1605700800000,0.518,0.5464,0.482,0.5244,104404.85,1605743999999,53717.430977,453,34015.44,17537.253741,0
1605744000000,0.5222,0.6077,0.5108,0.5258,74010.39,1605787199999,40465.506654,372,33608.25,18454.867406,0
1605787200000,0.525,0.5345,0.48,0.4994,143862.9,1605830399999,73294.775507,457,33506.74,17037.334791999998,0
1605830400000,0.4851,0.6,0.4838,0.5154,122255.68,1605873599999,64171.769293,457,72353.5,38920.074643,0
1605873600000,0.5056,0.5395,0.4866,0.5222,160066.18,1605916799999,81996.212345,412,44729.17,23097.467588,0
1605916800000,0.5127,0.595,0.5037,0.5068,130016.27,1605959999999,70347.605458,557,68129.67,37299.773409,0
1605960000000,0.51,0.5399,0.4994,0.5166,107008.52,1606003199999,54971.904867,443,58964.7,30421.072562,0
1606003200000,0.5274,0.5357,0.443,0.4436,195244.46,1606046399999,98197.378237,616,28997.55,14609.322496,0
1606046400000,0.45,0.5041,0.4475,0.4721,76373.57,1606089599999,36521.298912,327,25430.45,12242.230409,0
1606089600000,0.4778,0.5272,0.4705,0.5045,84520.49,1606132799999,42749.992136,291,35939.18,18076.700714,0
1606132800000,0.5054,0.52,0.4832,0.4907,58281.91,1606175999999,29113.515659,217,19077.17,9577.945832,0
1606176000000,0.4907,0.5145,0.4605,0.4728,119035.28,1606219199999,58007.833822,374,40857.75,20059.157448,0
1606219200000,0.4698,0.5088,0.4615,0.4973,56854.16,1606262399999,27268.744691000004,218,22394.1,10888.66056,0
1606262400000,0.5029,0.5061,0.463,0.4808,39888.63,1606305599999,19035.319876,238,17421.22,8350.933156000001,0
1606305600000,0.481,0.5076,0.4721,0.4765,71236.15,1606348799999,35029.877823,268,42364.39,20989.62128,0
1606348800000,0.4766,0.501,0.3952,0.4065,113562.16,1606391999999,49835.899591,314,31233.22,14183.744891,0
1606392000000,0.408,0.4315,0.39,0.4044,34604.7,1606435199999,14015.622678,176,15608.28,6336.380133,0
