Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1603238400000,0.4,1.5899,0.4,0.7829999999999999,1440601.97,1603281599999,1209933.091409,5846,552416.27,459907.521857,0
1603281600000,0.787,0.8058,0.711,0.7772,337114.07,1603324799999,252120.326723,1242,165253.78,123735.972249,0
1603324800000,0.7829999999999999,0.8255,0.7297,0.7887,131489.59,1603367999999,101275.307628,595,55462.38,42812.439571,0
1603368000000,0.7829999999999999,0.8266,0.7361,0.7808,115745.34,1603411199999,88993.561405,492,51100.44,39896.000557,0
1603411200000,0.7806,0.9621,0.7789,0.945,374441.46,1603454399999,331059.59990900004,1460,263763.07,233766.546881,0
1603454400000,0.9392,1.2259,0.9002,1.192,620896.65,1603497599999,653180.532879,3942,318668.18,336999.558031,0
1603497600000,1.1840000000000002,1.1840000000000002,0.9797,1.0489,239755.5,1603540799999,255549.237639,1627,111505.25,118830.179619,0
1603540800000,1.0546,1.0856,0.9364,0.9451,156614.83,1603583999999,156430.330718,860,66380.59,66386.809578,0
1603584000000,0.9451,0.9601,0.8432,0.9223,258171.17,1603627199999,230663.460653,1047,117708.53,105300.593228,0
1603627200000,0.9276,0.9848,0.8697,0.9041,84388.52,1603670399999,78415.193688,556,43576.62,40718.540931,0
1603670400000,0.9045,0.9161,0.8119,0.8407,77290.62,1603713599999,66538.153234,490,27586.48,23809.639745,0
1603713600000,0.8311,0.8407,0.7556,0.8236,97715.45,1603756799999,78113.14820499999,468,39642.02,31901.442944,0
1603756800000,0.8235,0.835,0.7598,0.7732,68237.38,1603799999999,52925.049328,360,23790.56,18558.867045,0
1603800000000,0.7772,0.835,0.7694,0.7828,32489.81,1603843199999,26300.998972,221,18863.63,15322.294115,0
1603843200000,0.7772,0.802,0.7408,0.7482,35255.99,1603886399999,26932.168388,172,14865.79,11457.802836,0
1603886400000,0.7435,0.7482,0.6685,0.68,92891.78,1603929599999,64581.502356,410,35524.33,24530.306604,0
