Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,0.006111,0.006171,0.005733,0.005876,41197.22,1546343999999,243.36398266,1142,15756.41,93.18461563,0
1546344000000,0.005936,0.005936,0.005629,0.0058,22119.04,1546387199999,127.7361637,623,9262.05,53.38657673,0
1546387200000,0.005777,0.005777,0.005072,0.005108,14638.19,1546430399999,79.03202003,651,3430.71,18.35984305,0
1546430400000,0.005108,0.005256,0.005062,0.005104999999999999,20063.54,1546473599999,103.37363928,420,11068.44,57.15061328,0
1546473600000,0.005104999999999999,0.00521,0.004939,0.005203,13953.67,1546516799999,70.76878341,461,4358.84,22.19456372,0
1546516800000,0.005164,0.005261,0.005019,0.005029,12588.73,1546559999999,64.71667486,373,6242.48,32.21360383,0
1546560000000,0.00508,0.005113,0.004913,0.005052,15510.0,1546603199999,78.32262575,378,9201.15,46.47397974,0
1546603200000,0.005061,0.005072,0.004898,0.00494,4389.77,1546646399999,21.89529706,255,2447.46,12.22604022,0
1546646400000,0.0049380000000000005,0.004978,0.004773,0.004932,47259.61,1546689599999,228.91368556,571,40462.33,195.99339818,0
1546689600000,0.004913,0.005074,0.004913,0.00495,12778.77,1546732799999,64.04829635,361,6892.07,34.60960589,0
1546732800000,0.004981,0.00507,0.004958,0.005038,4741.52,1546775999999,23.74289921,150,2149.26,10.80535587,0
1546776000000,0.005007999999999999,0.005145,0.004943,0.0049770000000000005,21462.12,1546819199999,107.5983674,587,10150.65,51.03267805,0
1546819200000,0.004979,0.005044,0.00489,0.00499,14237.23,1546862399999,70.91516329999997,422,3806.03,18.96776323,0
1546862400000,0.004992,0.00511,0.004982,0.005103,13734.28,1546905599999,69.24620209,329,9281.94,46.84560775,0
1546905600000,0.005069,0.005209,0.005068,0.005093,8196.27,1546948799999,42.13600509,358,2568.09,13.21119192,0
1546948800000,0.005149,0.005217,0.005056000000000001,0.005204,7071.73,1546991999999,36.31732475,280,2612.44,13.46774124,0
1546992000000,0.005215,0.005252000000000001,0.005129,0.005184,5539.48,1547035199999,28.81358489,197,2440.81,12.73882355,0
1547035200000,0.005184,0.005318,0.005132,0.00528,15428.03,1547078399999,80.74631117,319,5963.73,31.36153149,0
1547078400000,0.00526,0.00557,0.005159,0.005189,24438.53,1547121599999,128.13886425,617,7031.13,37.14733583,0
1547121600000,0.005189,0.005299,0.00505,0.005236,30994.41,1547164799999,160.82689249,762,16875.94,87.82636367,0
1547164800000,0.005258,0.00548,0.0051,0.005477,22470.48,1547207999999,118.72600881,650,8239.27,43.53669207,0
1547208000000,0.005455,0.005479,0.005267,0.005267,26129.6,1547251199999,140.23638766,414,20632.28,110.81949581,0
1547251200000,0.005287,0.005316,0.0052060000000000006,0.0053,3553.54,1547294399999,18.74470147,165,2678.52,14.15371631,0
1547294400000,0.005236,0.00554,0.005202,0.005351,17249.28,1547337599999,92.18461035,536,8956.7,48.2394348,0
1547337600000,0.005345,0.00543,0.005303,0.0054,7371.24,1547380799999,39.54223641,305,2944.71,15.85159386,0
1547380800000,0.005404,0.005483,0.005315,0.005427,11573.66,1547423999999,62.59735201,321,6073.19,33.07624395,0
1547424000000,0.0054280000000000005,0.005489,0.005392,0.005436,3835.91,1547467199999,20.83329685,171,1784.94,9.72778362,0
1547467200000,0.005416,0.005458,0.005121,0.005202,9732.33,1547510399999,50.98178631,464,3571.49,18.66611907,0
1547510400000,0.0051600000000000005,0.005288,0.005124,0.005148,8659.81,1547553599999,45.09705594,390,3885.31,20.29977248,0
1547553600000,0.005145,0.005289,0.004957,0.005285,24870.09,1547596799999,126.60797534,731,10096.64,51.71886764,0
1547596800000,0.005244,0.005416,0.005244,0.005361,9639.53,1547639999999,51.61866016,259,4983.27,26.76203131,0
1547640000000,0.005361,0.005606,0.00526,0.005606,29496.36,1547683199999,159.50463395,545,21609.81,116.54466878,0
1547683200000,0.005609,0.005726,0.005524,0.005584,15653.46,1547726399999,88.22625084,366,7497.58,42.31737622,0
1547726400000,0.005555,0.005706,0.005555,0.005642,5105.93,1547769599999,28.74779385,219,2715.61,15.31300075,0
1547769600000,0.005688,0.005902,0.005621,0.005655,12805.66,1547812799999,73.55155514,350,8031.43,46.29532957,0
1547812800000,0.00563,0.00565,0.005433,0.005499,13835.35,1547855999999,76.36370523,504,5094.4,28.11685993,0
1547856000000,0.005471,0.00557,0.00544,0.00548,5975.61,1547899199999,32.84053977,218,2211.35,12.16727597,0
1547899200000,0.00548,0.0059,0.005455,0.005652,36529.36,1547942399999,206.05376213,982,13763.0,77.91010748,0
1547942400000,0.005606,0.005649,0.005561,0.005569,6178.21,1547985599999,34.72121682,208,4276.96,24.06524476,0
1547985600000,0.005566,0.005582,0.005425999999999999,0.005539,12621.56,1548028799999,69.56499073,525,3703.59,20.45784627,0
1548028800000,0.005515,0.00562,0.00546,0.005527000000000001,8495.83,1548071999999,46.95060192,281,4993.3,27.6330399,0
1548072000000,0.005582,0.0056240000000000005,0.005499,0.005557,6982.78,1548115199999,38.8038888,222,2703.82,15.06923953,0
1548115200000,0.005576,0.005576,0.005446,0.005554,8330.05,1548158399999,45.77978437,339,2209.14,12.14193304,0
1548158400000,0.005556,0.00562,0.00547,0.005599,8978.3,1548201599999,49.86032282,394,5749.71,31.93447538,0
1548201600000,0.005595,0.005621,0.005474000000000001,0.005616,6366.78,1548244799999,35.389377,260,3250.38,18.14257789,0
1548244800000,0.005581,0.005729,0.005512,0.005668,19503.56,1548287999999,109.82221461,581,10122.86,56.97097984,0
1548288000000,0.005668,0.0056700000000000006,0.005561,0.005599,7485.73,1548331199999,42.00855831,239,3204.7,17.95923619,0
1548331200000,0.005602,0.005775,0.005575,0.005775,7544.37,1548374399999,42.77611542,359,4374.21,24.84554274,0
1548374400000,0.005748,0.005812,0.005658,0.005711,14105.92,1548417599999,80.94667247,550,6972.18,40.1727754,0
1548417600000,0.005714,0.00615,0.005674,0.006046,21346.7,1548460799999,126.82193156,802,14413.83,85.44340701,0
1548460800000,0.006099,0.006121,0.005861,0.006065,21610.97,1548503999999,130.89414456,345,5493.8,33.02263177,0
1548504000000,0.006053,0.006139,0.005809,0.005895,23941.94,1548547199999,142.90219194,623,7757.28,46.41063678,0
1548547200000,0.005895,0.005976,0.0058460000000000005,0.0058460000000000005,4825.67,1548590399999,28.51075825,187,2265.15,13.37102556,0
1548590400000,0.0058460000000000005,0.006086,0.005764,0.006086,19062.27,1548633599999,113.07411623,643,9508.13,56.4070733,0
1548633600000,0.006079,0.006368,0.006055,0.0061530000000000005,17500.14,1548676799999,108.49401968,748,8171.7,50.9284262,0
1548676800000,0.006122,0.006195,0.005961,0.005978,25788.81,1548719999999,156.63638398,561,10395.61,63.21425903,0
1548720000000,0.005989,0.006087,0.005752,0.005837,16059.39,1548763199999,94.18407941,546,5099.61,29.97353168,0
1548763200000,0.005819,0.005921,0.005758,0.00587,8027.17,1548806399999,46.94558807,258,3924.69,23.02214773,0
1548806400000,0.00587,0.005927,0.005765999999999999,0.005886,11646.14,1548849599999,68.02296933,282,5419.39,31.66689567,0
1548849600000,0.005894,0.006006,0.005775,0.005964,16039.35,1548892799999,94.73554644,546,6533.63,38.79130153,0
1548892800000,0.005949,0.005979,0.0057740000000000005,0.005832,6993.93,1548935999999,41.23131028,264,2379.01,14.10928008,0
1548936000000,0.005841,0.005889,0.00579,0.005853,4272.4,1548979199999,24.95853389,133,2438.24,14.26686403,0
1548979200000,0.005853,0.005923,0.0058,0.005899000000000001,13757.66,1549022399999,80.90845676,241,5148.43,30.25058798,0
1549022400000,0.005909,0.006131,0.005834000000000001,0.00603,14502.05,1549065599999,87.42920491,401,9748.35,58.82006043,0
1549065600000,0.00603,0.00609,0.005966,0.006019,2600.0,1549108799999,15.66110358,141,882.3,5.32899859,0
1549108800000,0.006019,0.006054,0.005911,0.005944,6119.75,1549151999999,36.73621134,226,776.4,4.65423775,0
1549152000000,0.005940999999999999,0.00601,0.005908,0.00601,13077.91,1549195199999,77.65572724,157,9501.5,56.37427148,0
1549195200000,0.005999,0.006046,0.005908,0.005984000000000001,7152.14,1549238399999,42.86667194,256,3575.08,21.54996357,0
1549238400000,0.005988,0.0061,0.005933,0.006033,12921.67,1549281599999,77.82788202,358,8256.8,49.76706656,0
1549281600000,0.006006,0.006111,0.005957,0.006016,5349.41,1549324799999,32.28763053,236,2832.48,17.12831576,0
1549324800000,0.006014,0.006035,0.005957,0.005958,1818.99,1549367999999,10.90489987,74,663.71,3.9861356,0
1549368000000,0.005957,0.006099,0.005708,0.005742000000000001,22484.54,1549411199999,132.59736373,847,8893.81,52.74848691,0
1549411200000,0.005764,0.005911,0.005743,0.00583,18164.05,1549454399999,105.72518357,292,11793.51,68.79516205,0
1549454400000,0.005833,0.005833,0.005572,0.005668,13665.24,1549497599999,77.75711125,508,4097.05,23.50931021,0
1549497600000,0.005651,0.005763,0.005615,0.0057090000000000005,15737.53,1549540799999,89.24079675,249,12414.98,70.43461362,0
1549540800000,0.0057,0.005963,0.005664,0.005727,28025.84,1549583999999,162.8127577,840,12668.39,73.72692257,0
1549584000000,0.005727,0.005744,0.005529999999999999,0.005603,8898.33,1549627199999,49.96971592,315,2703.14,15.14282789,0
1549627200000,0.005581,0.005848,0.005411,0.005494,20343.71,1549670399999,114.26334658,876,8591.83,48.1873235,0
1549670400000,0.005494,0.005662,0.005351,0.005363000000000001,4748.96,1549713599999,26.04162128,392,2406.76,13.27879559,0
1549713600000,0.005386,0.005425999999999999,0.005324000000000001,0.005415,5673.58,1549756799999,30.45451797,212,752.54,4.04725122,0
1549756800000,0.005415,0.00563,0.005377000000000001,0.005486,9809.65,1549799999999,54.23592555,432,6948.95,38.51053042,0
1549800000000,0.005538,0.005561,0.005258,0.005268999999999999,5550.05,1549843199999,30.07998143,319,450.78,2.45583319,0
1549843200000,0.005309,0.005646,0.005288,0.0054210000000000005,8710.38,1549886399999,47.59907804,420,5648.11,30.89727872,0
1549886400000,0.0054210000000000005,0.006035,0.005325,0.00572,51341.67,1549929599999,295.53518787,1512,21458.44,124.06110508,0
1549929600000,0.005698,0.006518,0.005614,0.006451999999999999,64753.68,1549972799999,395.11231999,1708,38841.26,237.65460178,0
1549972800000,0.006462999999999999,0.006784,0.006198,0.006323,123588.72,1550015999999,803.55038466,2716,51404.9,333.06032998,0
1550016000000,0.006301,0.006684999999999999,0.005935,0.005938000000000001,45982.73,1550059199999,287.35307715,1429,17765.15,111.61896999,0
1550059200000,0.005938000000000001,0.007079,0.005938000000000001,0.006566,87774.7,1550102399999,582.2760247,3127,44869.33,297.51048836,0
1550102400000,0.006566,0.007185,0.006364,0.0067280000000000005,95025.91,1550145599999,642.5432557999999,2039,54876.34,371.79355059,0
1550145600000,0.006723999999999999,0.006977,0.006301,0.006344,45134.71,1550188799999,300.74958241,1598,13809.62,92.72003303,0
1550188800000,0.006336,0.006401,0.006225,0.0063100000000000005,26094.17,1550231999999,164.54233577,566,12135.67,76.54369052,0
1550232000000,0.006288,0.006478,0.006021,0.00612,43850.78,1550275199999,269.99170530000004,1078,12302.79,76.57763113,0
1550275200000,0.006091,0.006128,0.00594,0.005987,31080.25,1550318399999,187.02787471,506,22436.27,135.00166157,0
