Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,4.91,5.14,4.89,5.11,818.83514,1546343999999,4119.2898986,395,512.28267,2583.3871945,0
1546344000000,5.13,5.34,5.12,5.27,1577.95523,1546387199999,8211.3792508,685,971.34848,5066.3053024,0
1546387200000,5.27,5.46,5.25,5.46,809.74433,1546430399999,4333.337897500001,485,529.3743900000002,2837.0792134,0
1546430400000,5.45,5.47,5.39,5.41,1531.04638,1546473599999,8318.0374364,584,771.69343,4196.165409,0
1546473600000,5.41,5.46,5.37,5.41,602.6873099999998,1546516799999,3268.7062955,283,347.50744,1885.6381404,0
1546516800000,5.43,5.43,5.29,5.42,1395.3,1546559999999,7473.519910600001,547,704.96382,3783.2476979,0
1546560000000,5.42,5.5,5.36,5.36,1068.64203,1546603199999,5803.9384542,439,670.96466,3649.9872367,0
1546603200000,5.35,5.42,5.2,5.36,839.8893199999999,1546646399999,4450.756577,551,362.00884,1924.1310372,0
1546646400000,5.33,5.62,5.33,5.58,1826.09465,1546689599999,10007.0856964,844,1434.82811,7874.619712299998,0
1546689600000,5.6,5.99,5.59,5.77,2473.05614,1546732799999,14328.4019524,1255,1457.41543,8445.3986843,0
1546732800000,5.76,6.23,5.7,6.18,3324.00018,1546775999999,19902.1628463,1222,1821.84662,10895.210091399998,0
1546776000000,6.2,6.4,6.05,6.12,5808.37394,1546819199999,36097.9674036,1907,3607.25157,22449.947248,0
1546819200000,6.11,6.28,5.99,6.12,1969.33774,1546862399999,12092.8543526,702,1140.85684,7017.3794862,0
1546862400000,6.11,6.12,5.96,6.02,1285.02885,1546905599999,7769.307339,535,688.3057200000002,4165.2946244999985,0
1546905600000,6.03,6.19,5.88,6.06,2500.5568,1546948799999,15077.2086925,836,1725.33387,10390.8444888,0
1546948800000,6.05,6.07,5.81,5.95,2934.88028,1546991999999,17368.390574200002,1008,1497.48174,8872.821511799999,0
1546992000000,5.94,6.03,5.67,5.8,2190.43054,1547035199999,12758.1712232,832,861.04785,5020.4318196,0
1547035200000,5.8,6.09,5.71,5.83,2639.23033,1547078399999,15597.5244168,906,1582.26507,9366.2577814,0
1547078400000,5.85,6.01,5.6,5.69,4198.86876,1547121599999,24483.7346151,1372,2322.76411,13594.3294384,0
1547121600000,5.7,5.74,5.47,5.63,2667.30022,1547164799999,15023.5926965,942,1313.09866,7405.056260699998,0
1547164800000,5.62,5.67,5.35,5.41,1629.48984,1547207999999,8984.483191,641,564.97813,3135.536599400001,0
1547208000000,5.4,5.58,5.22,5.27,1850.83446,1547251199999,9982.3887461,698,716.2927900000002,3884.6502917,0
1547251200000,5.27,5.48,5.27,5.38,752.19122,1547294399999,4062.9456246,336,493.7868,2670.4045383,0
1547294400000,5.37,5.43,5.3,5.4,825.78498,1547337599999,4432.5770179,380,312.87154,1682.4628151999998,0
1547337600000,5.41,5.56,5.38,5.45,1542.00766,1547380799999,8437.9600249,446,1020.61156,5592.8096898,0
1547380800000,5.44,5.5,5.32,5.4,1708.8414699999996,1547423999999,9242.7430893,741,746.1241200000002,4051.0491249,0
1547424000000,5.41,5.41,5.27,5.3,3192.72892,1547467199999,17125.511439899998,839,1920.98073,10362.7377619,0
1547467200000,5.3,5.44,5.24,5.24,3761.87083,1547510399999,20174.3296637,1032,2356.7476300000008,12701.1778143,0
1547510400000,5.24,5.42,5.24,5.35,1488.99688,1547553599999,7986.7255875,393,1128.16834,6058.1858823,0
1547553600000,5.34,5.45,5.25,5.33,2030.39065,1547596799999,10870.3208785,803,1040.39256,5583.5979157,0
1547596800000,5.29,5.31,5.01,5.24,1868.65024,1547639999999,9719.5418685,788,758.1538,3957.2385584,0
1547640000000,5.25,5.31,5.12,5.12,1511.76763,1547683199999,7861.4721788000015,472,706.07799,3679.9091017,0
1547683200000,5.16,5.23,4.91,5.03,3633.22124,1547726399999,18195.7322689,1047,584.34863,2951.5418298,0
1547726400000,5.03,5.07,4.94,4.97,2792.65764,1547769599999,13997.266723,719,1637.05835,8224.181151100001,0
1547769600000,4.99,5.03,4.72,4.82,7920.85832,1547812799999,38290.2420458,2052,1250.42544,6093.0524526,0
1547812800000,4.82,4.88,4.75,4.75,2954.0093,1547855999999,14100.9244294,821,717.6995400000002,3447.9842806,0
1547856000000,4.77,5.09,4.77,5.02,2027.96384,1547899199999,10075.950599299998,738,1180.59234,5884.4708307,0
1547899200000,5.02,5.03,4.85,4.9,3090.81498,1547942399999,15213.0044282,735,943.75888,4666.6415152,0
1547942400000,4.9,5.03,4.85,4.89,3939.73064,1547985599999,19471.9818217,783,2378.9148800000007,11771.786443100002,0
1547985600000,4.89,4.93,4.71,4.77,7556.13193,1548028799999,36126.9504728,1761,1646.50394,7907.092190199999,0
1548028800000,4.79,4.85,4.73,4.79,1056.5193800000004,1548071999999,5074.7534665,375,775.26705,3727.014673800001,0
1548072000000,4.78,4.83,4.73,4.75,969.89583,1548115199999,4621.059295100001,335,466.03308,2222.0835629000007,0
1548115200000,4.76,4.81,4.71,4.75,1989.06001,1548158399999,9452.5977719,402,486.91518,2324.140839,0
1548158400000,4.75,4.94,4.75,4.87,1598.32813,1548201599999,7758.446973999998,528,895.43975,4346.337981700001,0
1548201600000,4.87,4.97,4.83,4.96,759.04665,1548244799999,3710.5464807,264,456.57369000000006,2235.4180151,0
1548244800000,4.94,4.96,4.88,4.91,2085.8875,1548287999999,10277.0153057,488,685.4671400000002,3373.7655054,0
1548288000000,4.89,4.92,4.83,4.91,1192.79292,1548331199999,5803.5083635,288,751.7724099999998,3658.7123131,0
1548331200000,4.91,5.11,4.91,5.04,1300.4651,1548374399999,6521.417309,455,960.48795,4816.2348439,0
1548374400000,5.06,5.08,4.85,4.95,1161.9755,1548417599999,5817.8503001,443,513.2462400000002,2576.8696297,0
1548417600000,4.95,4.95,4.79,4.89,2312.85319,1548460799999,11191.688634200002,583,630.05415,3074.36617,0
1548460800000,4.9,5.05,4.89,4.9,1764.48834,1548503999999,8722.3892976,421,1136.48897,5615.7382313,0
1548504000000,4.9,4.97,4.72,4.72,2936.0577,1548547199999,14054.4835109,859,909.25431,4378.6560869999985,0
1548547200000,4.72,4.87,4.55,4.6,10650.72995,1548590399999,49775.05291590001,2009,1194.5271300000004,5619.017507000001,0
1548590400000,4.6,4.7,4.56,4.58,3874.54989,1548633599999,17907.4363861,965,1073.54626,4992.9441597,0
1548633600000,4.58,4.82,4.46,4.49,6299.149329999998,1548676799999,28758.3282649,1646,1446.29089,6668.3417929,0
1548676800000,4.49,5.12,4.38,5.04,8781.63284,1548719999999,42371.58507,2052,5600.583000000001,27319.646442,0
1548720000000,5.02,5.1,4.92,5.05,1875.61908,1548763199999,9407.7418698,472,1087.9786,5473.5497197,0
1548763200000,5.05,5.09,4.99,5.03,1169.65579,1548806399999,5884.772541699998,390,651.6809,3281.7261016,0
1548806400000,5.03,5.12,5.03,5.09,991.02177,1548849599999,5041.0597709,322,510.46006,2596.6092698,0
1548849600000,5.11,5.23,5.1,5.2,2230.69412,1548892799999,11573.073699200002,534,1082.82897,5615.5908115,0
1548892800000,5.16,5.26,5.12,5.2,1764.05279,1548935999999,9184.6954455,493,868.6601199999999,4539.1753331,0
1548936000000,5.2,5.2,4.99,5.03,1718.82183,1548979199999,8735.895614799998,440,553.38987,2831.5987851,0
1548979200000,5.05,5.1,4.76,4.88,2186.54632,1549022399999,10702.5278271,688,1031.42877,5065.8783612,0
1549022400000,4.88,5.15,4.88,5.0,2636.29459,1549065599999,13215.2302978,721,1628.82808,8155.349973800001,0
1549065600000,5.0,5.11,4.89,4.94,2757.02254,1549108799999,13737.580290600004,598,1106.94863,5528.2990983,0
1549108800000,4.96,5.09,4.84,5.06,4285.30164,1549151999999,21048.7437865,680,1742.5884399999998,8581.7067816,0
1549152000000,5.06,5.1,4.89,4.94,3059.45065,1549195199999,15277.363643,643,1849.74139,9252.7246549,0
1549195200000,4.93,5.05,4.9,4.92,3676.50441,1549238399999,18303.2096698,669,2074.54356,10320.7456596,0
1549238400000,4.93,5.05,4.83,4.87,5048.23621,1549281599999,24702.5826446,759,2445.39547,11956.6296424,0
1549281600000,4.87,4.89,4.73,4.79,3836.0709,1549324799999,18518.755212400003,660,2018.03567,9756.4382356,0
1549324800000,4.8,4.92,4.78,4.78,3506.66295,1549367999999,17038.5281321,576,1510.8559300000004,7337.2078901999985,0
1549368000000,4.78,4.83,4.3,4.37,7200.33459,1549411199999,32785.1191484,1946,2678.27149,12253.6080669,0
1549411200000,4.38,4.49,3.86,4.08,14286.59005,1549454399999,58749.7905275,2674,5524.0175,22734.9131466,0
1549454400000,4.07,4.19,3.93,4.05,6484.9641200000015,1549497599999,26336.134158,1512,3263.79302,13267.341789,0
1549497600000,4.06,4.2,3.92,4.12,5464.0767,1549540799999,22116.9088531,1026,2334.65719,9437.2581387,0
1549540800000,4.14,4.31,4.08,4.25,2260.84125,1549583999999,9450.9578753,617,1183.49675,4957.5142655,0
1549584000000,4.26,4.78,4.13,4.6,11164.16251,1549627199999,49862.04962200001,2494,5382.01461,23916.9560812,0
1549627200000,4.61,5.3,4.55,5.01,21710.86535,1549670399999,106520.7369098,4416,9071.88267,44533.6952074,0
1549670400000,5.0,5.25,4.91,5.11,9554.79874,1549713599999,48299.6504705,2267,5313.91869,26863.342846,0
1549713600000,5.11,5.23,4.85,5.02,10028.07705,1549756799999,50351.1449911,2431,6664.10558,33394.855425300004,0
1549756800000,5.02,5.05,4.67,4.72,9079.30951,1549799999999,43673.8463625,2132,4522.1238,21800.0270743,0
1549800000000,4.74,5.16,4.67,5.12,13164.79277,1549843199999,65826.50623500001,3637,4888.95222,24154.206202,0
1549843200000,5.12,5.13,4.49,4.56,10888.0122,1549886399999,51341.04924180001,2432,6981.0136200000015,32797.874537,0
1549886400000,4.56,4.72,4.41,4.5,14791.731569999998,1549929599999,67445.5218396,2797,7710.625359999999,34994.268534599985,0
1549929600000,4.51,4.78,4.41,4.77,6805.53075,1549972799999,31140.7053991,1842,3835.83832,17583.687369299998,0
1549972800000,4.78,4.86,4.64,4.74,4993.74573,1550015999999,23715.2988284,1598,2582.80722,12271.661331799998,0
1550016000000,4.75,4.9,4.66,4.7,3608.18761,1550059199999,17254.6423895,1012,1454.53373,6992.274035799999,0
1550059200000,4.68,4.78,4.49,4.68,3609.5326700000014,1550102399999,16707.7805221,1208,1940.84796,8998.234853,0
1550102400000,4.68,4.77,4.6,4.74,1812.35074,1550145599999,8497.2576513,697,875.89645,4109.8094164,0
1550145600000,4.73,4.9,4.7,4.71,2785.47902,1550188799999,13359.3504846,978,1438.28239,6903.9031102,0
1550188800000,4.71,4.75,4.46,4.57,7104.439670000002,1550231999999,32460.8260641,1546,3729.98054,17001.750292200002,0
1550232000000,4.55,4.85,4.51,4.58,5114.13545,1550275199999,23658.8065218,1391,3185.14599,14729.100185,0
1550275200000,4.59,4.83,4.56,4.83,4551.49269,1550318399999,21520.9658559,1139,1936.47104,9126.7724931,0
1550318400000,4.83,4.87,4.73,4.77,7148.201940000001,1550361599999,34285.6171172,1343,3829.22942,18385.1923874,0
1550361600000,4.76,4.94,4.75,4.8,3526.90466,1550404799999,17160.888519699998,986,2754.46535,13414.642819399998,0
1550404800000,4.81,4.85,4.69,4.76,3865.86797,1550447999999,18460.955826,947,1766.52931,8452.0298316,0
1550448000000,4.76,4.97,4.69,4.91,5695.34572,1550491199999,27130.0841821,1074,3419.73866,16288.880000600002,0
1550491200000,4.92,5.18,4.87,4.97,8658.60075,1550534399999,43307.0850441,2536,4771.1786200000015,23883.43599,0
1550534400000,5.0,5.09,4.87,5.03,7113.76792,1550577599999,35360.6098564,1666,4497.22317,22326.4795283,0
1550577600000,5.04,5.07,4.33,4.51,10315.92868,1550620799999,48010.3144183,2827,5285.20939,24523.9786528,0
1550620800000,4.51,4.67,4.28,4.57,13062.99855,1550663999999,58148.9324571,3306,5601.54295,24909.3958279,0
1550664000000,4.56,4.84,4.56,4.72,10832.05718,1550707199999,51147.2376531,3307,5301.26491,25046.8796064,0
1550707200000,4.72,5.01,4.69,4.76,6810.092229999998,1550750399999,32923.6820079,2763,4205.80728,20437.183471,0
1550750400000,4.76,4.79,4.59,4.67,3415.7835700000005,1550793599999,16010.9914445,1457,1395.93498,6543.8122141,0
1550793600000,4.68,4.74,4.47,4.58,4757.552970000002,1550836799999,21767.2363697,1708,1960.18178,9001.4512995,0
1550836800000,4.58,4.63,4.55,4.58,2417.15934,1550879999999,11114.0303868,859,1148.57874,5289.3264677,0
1550880000000,4.59,4.66,4.54,4.62,2113.99076,1550923199999,9721.790796,733,921.1173,4238.964697300001,0
1550923200000,4.62,4.88,4.6,4.79,5742.86892,1550966399999,27324.8113735,2110,3712.33376,17671.7985454,0
1550966400000,4.8,4.95,4.7,4.79,5135.33224,1551009599999,24732.2481077,1685,2940.70177,14190.7177789,0
1551009600000,4.8,4.84,4.37,4.41,15831.24052,1551052799999,71691.7519509,5453,5076.38201,23133.3176128,0
1551052800000,4.41,4.5,4.35,4.46,9648.0631,1551095999999,42861.7163381,1874,5124.98141,22765.6599524,0
1551096000000,4.47,4.79,4.44,4.69,12248.07289,1551139199999,56758.8058976,3079,6067.0083,28159.044300300004,0
1551139200000,4.69,4.75,4.67,4.73,3481.66708,1551182399999,16416.333661599998,1125,1803.22213,8503.1410108,0
1551182400000,4.74,4.82,4.68,4.75,3796.33417,1551225599999,18052.0665469,1227,2386.04744,11349.5804689,0
1551225600000,4.76,4.77,4.56,4.61,2808.15882,1551268799999,13078.5281042,1074,1113.25352,5192.930881600001,0
1551268800000,4.61,4.65,4.49,4.59,6545.5947700000015,1551311999999,29763.5572088,1869,2894.66296,13195.8217708,0
1551312000000,4.59,4.65,4.39,4.44,6245.129410000001,1551355199999,28307.9410932,1537,2995.68618,13638.0888186,0
1551355200000,4.45,4.49,4.39,4.44,3844.55028,1551398399999,17068.0952442,1409,2195.0351,9756.3301447,0
1551398400000,4.44,4.46,4.15,4.32,8292.20997,1551441599999,35583.8355254,2131,3267.20964,14032.8504494,0
1551441600000,4.32,4.33,4.15,4.16,7086.2416,1551484799999,29975.4549828,1979,2812.69871,11929.5710541,0
1551484800000,4.17,4.38,4.05,4.32,11048.33886,1551527999999,46576.0763714,3010,4962.93483,21054.7942284,0
1551528000000,4.32,4.4,4.1,4.13,8451.29766,1551571199999,36035.46219,2134,3294.89714,14085.1527807,0
1551571200000,4.14,4.27,4.1,4.24,8056.38733,1551614399999,33821.6163741,2023,3818.82178,15969.4921428,0
1551614400000,4.24,4.27,4.13,4.18,5527.513000000001,1551657599999,23235.4275668,1634,3448.7637,14518.4740426,0
1551657600000,4.17,4.27,4.03,4.12,7827.3707,1551700799999,32422.27994,2388,3319.46616,13787.1802588,0
