Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1600214400000,10.0,10.2,9.769,9.77,4670.88,1600257599999,47122.33596,120,3298.84,33374.53052,0
1600257600000,9.677,10.308,9.677,10.171,1358.08,1600300799999,13460.77562,30,1310.83,12987.68668,0
1600300800000,10.3,10.587,10.023,10.219,596.2,1600343999999,6080.63988,42,322.93,3301.34592,0
1600344000000,10.219,10.669,9.9,10.442,1832.87,1600387199999,18826.23293,30,323.12,3380.64807,0
1600387200000,10.424,10.483,10.086,10.379,230.95,1600430399999,2380.4492800000007,28,81.22,845.37395,0
1600430400000,10.42,10.421,9.766,10.095,3155.48,1600473599999,31979.5808,34,2274.96,22922.73627,0
1600473600000,10.198,10.336,10.011,10.336,155.21,1600516799999,1564.93377,17,52.16,529.07533,0
1600516800000,10.44,10.47,10.127,10.306,1966.18,1600559999999,20251.35157,81,306.87,3168.11979,0
1600560000000,10.127,10.127,9.843,10.113,1990.08,1600603199999,19872.45472,26,1926.92,19244.18024,0
1600603200000,9.96,9.96,9.057,9.4,4642.56,1600646399999,43832.15399,132,4159.18,39269.35651000001,0
1600646400000,9.4,9.72,8.258,8.377,2896.53,1600689599999,25096.99508,67,2749.17,23780.89838,0
1600689600000,8.315,8.315,6.858,7.5,1705.3,1600732799999,13046.45756,95,1091.69,8503.48555,0
1600732800000,7.188,7.825,7.188,7.6960000000000015,2457.63,1600775999999,18574.19919,100,949.86,7014.51407,0
1600776000000,7.987999999999999,8.24,7.78,8.023,3398.87,1600819199999,26514.5082,26,2072.14,16188.68226,0
1600819200000,8.041,8.314,7.695,8.207,2203.58,1600862399999,17658.429630000002,80,468.49,3757.7325200000014,0
1600862400000,8.287,8.4,7.2360000000000015,7.244,3688.38,1600905599999,29791.47065,90,2696.73,22091.42555,0
1600905600000,7.244,8.062000000000001,7.227,8.062000000000001,1096.62,1600948799999,8261.38528,35,817.09,6152.1386,0
1600948800000,7.814,8.441,7.737,8.391,1048.51,1600991999999,8634.07915,71,834.89,6907.38759,0
1600992000000,8.231,9.154,7.853,8.995,5227.05,1601035199999,43662.31606000001,129,3673.39,30760.85836,0
1601035200000,9.141,9.17,8.697000000000001,8.854,6681.86,1601078399999,59667.64278,52,2250.0,20315.92446,0
1601078400000,9.041,9.113,8.531,8.687000000000001,20317.62,1601121599999,181453.64594,81,13003.78,116943.99697,0
1601121600000,8.666,9.071,8.446,8.908999999999997,4309.57,1601164799999,38835.56566,48,3534.17,31918.47508,0
1601164800000,8.942,9.15,8.484,8.484,10212.09,1601207999999,90513.08929,337,6132.46,54179.18342,0
1601208000000,8.4,8.95,8.142000000000001,8.852,2845.45,1601251199999,24162.83942,106,1490.62,12787.31039,0
1601251200000,8.861,9.4,8.859,8.975,19861.16,1601294399999,181451.70925,150,13705.39,125879.04819000002,0
1601294400000,9.13,9.417,8.35,8.35,2385.64,1601337599999,21228.83624,67,1523.19,13931.18664,0
1601337600000,8.417,8.709,8.417,8.665,1996.45,1601380799999,17154.00744,46,425.89,3671.27795,0
1601380800000,8.54,8.603,8.337,8.572000000000001,2434.17,1601423999999,20738.25512,30,1365.44,11670.22145,0
1601424000000,8.708,8.996,8.547,8.924,1848.19,1601467199999,16207.25661,67,1036.63,9155.83764,0
1601467200000,8.775,9.114,8.73,9.022,1551.22,1601510399999,13753.5119,61,197.66,1768.3340899999996,0
1601510400000,9.017,9.922,8.955,9.741,2467.26,1601553599999,23107.90649,100,1001.77,9347.33417,0
1601553600000,9.909,10.106,8.493,8.92,15512.93,1601596799999,144871.51157,184,11500.96,108526.86449,0
1601596800000,8.961,9.333,7.742000000000001,7.907999999999999,10362.35,1601639999999,91909.14826,176,4998.89,44745.72763,0
