Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,0.00033366,0.00033525,0.00031915,0.00032312,754695.0,1546343999999,246.00079182,1224,324473.0,105.83159467,0
1546344000000,0.00032449,0.00033117,0.00031788,0.00032948,547491.0,1546387199999,177.6748108,701,313294.0,101.95586308,0
1546387200000,0.00032833,0.00033024,0.00029814,0.00030102,4340720.0,1546430399999,1335.47319742,1422,3442939.0,1059.26761142,0
1546430400000,0.00030114,0.00030672,0.00029556,0.00030018,668324.0,1546473599999,200.59440189,864,338685.0,101.80758561,0
1546473600000,0.00030032,0.00030583,0.00029354,0.0003015,365306.0,1546516799999,109.21096431,725,190485.0,57.13405255,0
1546516800000,0.00030274,0.00030329,0.00029571,0.00029763,197771.0,1546559999999,59.05232218,315,86851.0,26.04592175,0
1546560000000,0.00029951,0.0003019,0.00028382,0.00029109,532464.0,1546603199999,154.78116733,872,283622.0,82.53997899,0
1546603200000,0.00029234,0.00030208,0.0002908,0.00029717,761078.0,1546646399999,224.80015886,696,275379.0,81.43283111,0
1546646400000,0.00029485,0.00030279,0.00028493,0.00029398,1014739.0,1546689599999,297.89815515,1041,334788.0,98.45517507,0
1546689600000,0.00029259,0.00029575,0.0002865,0.00029014,612488.0,1546732799999,177.45329453,509,103285.0,30.17453401,0
1546732800000,0.00029008,0.00029888,0.00028861,0.00029372,338651.0,1546775999999,99.9204609,340,191242.0,56.59957223,0
1546776000000,0.00029372,0.00030119,0.0002918,0.00029989,717065.0,1546819199999,212.6991486,524,525291.0,155.86013466,0
1546819200000,0.00029932,0.000305,0.00029703,0.00029803,522463.0,1546862399999,156.85524949,604,205723.0,61.84059369,0
1546862400000,0.00029903,0.00030263,0.00029501,0.00029925,267062.0,1546905599999,79.87949105,418,118226.0,35.44516091,0
1546905600000,0.00029925,0.00030938,0.00029376,0.00030546,462297.0,1546948799999,139.42111624,675,296063.0,89.6726679,0
1546948800000,0.00030546,0.00030562,0.00029826,0.00029984,788759.0,1546991999999,237.64402559,549,401962.0,121.05015524,0
