Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,2.1e-05,2.122e-05,2.026e-05,2.053e-05,995533.0,1546343999999,20.60652753,133,573602.0,11.85647204,0
1546344000000,2.053e-05,2.289e-05,2e-05,2.068e-05,3195648.0,1546387199999,65.2632064,383,1472905.0,30.27023233,0
1546387200000,2.058e-05,2.0600000000000006e-05,1.907e-05,1.936e-05,1909653.0,1546430399999,37.64792346,222,813252.0,15.89390881,0
1546430400000,1.936e-05,1.994e-05,1.834e-05,1.929e-05,2652751.0,1546473599999,50.92779822,397,1046990.0,20.16088994,0
1546473600000,1.919e-05,1.998e-05,1.918e-05,1.978e-05,2785801.0,1546516799999,54.45614103,252,1439752.0,28.22353259,0
1546516800000,1.978e-05,2.078e-05,1.933e-05,2.003e-05,3811297.0,1546559999999,75.9248407,376,2262656.0,44.98986731,0
1546560000000,2.029e-05,2.039e-05,1.871e-05,1.938e-05,4780001.0,1546603199999,92.70039095,349,2953374.0,57.52802504,0
1546603200000,1.949e-05,2e-05,1.9e-05,1.905e-05,4221642.0,1546646399999,81.89927188,272,2101041.0,40.95979861,0
1546646400000,1.905e-05,1.919e-05,1.843e-05,1.884e-05,3099586.0,1546689599999,58.20914048,311,1853418.0,34.8132711,0
1546689600000,1.865e-05,1.899e-05,1.825e-05,1.863e-05,2744086.0,1546732799999,51.14526811,310,1056346.0,19.74060026,0
1546732800000,1.872e-05,1.918e-05,1.841e-05,1.876e-05,3731175.0,1546775999999,70.21445379,312,1480005.0,27.91766521,0
1546776000000,1.885e-05,1.996e-05,1.847e-05,1.965e-05,16091168.0,1546819199999,310.25449364,794,10921073.0,211.21275666,0
1546819200000,1.965e-05,1.996e-05,1.939e-05,1.96e-05,11279957.0,1546862399999,220.52347461,408,9667627.0,189.02770985,0
1546862400000,1.95e-05,1.973e-05,1.933e-05,1.958e-05,2706706.0,1546905599999,52.83273593,168,2093881.0,40.87801833,0
1546905600000,1.964e-05,1.99e-05,1.871e-05,1.961e-05,11061199.0,1546948799999,214.86073793,564,7472173.0,145.35164744,0
1546948800000,1.953e-05,2.09e-05,1.929e-05,2e-05,22247648.0,1546991999999,448.38470661,1010,12963136.0,262.50191905,0
1546992000000,2.005e-05,2.254e-05,1.984e-05,2.147e-05,48738855.0,1547035199999,1044.31264204,1671,24329454.0,516.67744408,0
1547035200000,2.157e-05,2.2e-05,2.102e-05,2.1600000000000007e-05,14942524.0,1547078399999,320.37393598,947,8690180.0,186.45520197,0
1547078400000,2.152e-05,2.229e-05,2.081e-05,2.117e-05,23341877.0,1547121599999,498.65864508,1361,11318490.0,242.18977634,0
1547121600000,2.112e-05,2.203e-05,2.099e-05,2.19e-05,14859851.0,1547164799999,318.25944447,845,8453678.0,181.29448361,0
1547164800000,2.19e-05,2.258e-05,2.142e-05,2.211e-05,20610278.0,1547207999999,453.32767286,1187,10884547.0,239.34410283,0
