Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1554249600000,1.7,1.7,1.3588,1.4208,366539.15,1554292799999,521702.506124,1871,98232.98,140121.606747,0
1554292800000,1.4195,1.5,1.2729,1.3561,979946.99,1554335999999,1399876.601134,5196,431479.92,618984.543221,0
1554336000000,1.347,1.45,1.3208,1.3899,437716.02,1554379199999,604542.879364,2353,199594.46,276231.712283,0
1554379200000,1.3842,1.3987,1.2729,1.3159,551745.14,1554422399999,728393.844648,2319,182745.71,239638.55310500003,0
1554422400000,1.3169,1.4,1.3065,1.385,230242.55,1554465599999,309702.57316100004,1186,141587.85,190586.128486,0
1554465600000,1.385,1.442,1.37,1.4249,323903.66,1554508799999,455976.91469,2093,208461.68,293250.400027,0
1554508800000,1.43,1.4667,1.371,1.389,266507.71,1554551999999,377628.453107,2166,123989.07,176406.118853,0
1554552000000,1.3895,1.4332,1.3558,1.385,232462.1,1554595199999,326355.456525,1773,89137.83,124999.896997,0
1554595200000,1.3935,1.43,1.3665,1.4136,151270.19,1554638399999,212481.282863,1202,73553.22,103276.34138,0
1554638400000,1.4143,1.422,1.3666,1.405,146828.44,1554681599999,204490.379989,1135,83080.8,115823.984512,0
1554681600000,1.4049,1.7238,1.3959,1.4956,1655456.68,1554724799999,2611794.87414,10720,787146.09,1242596.819856,0
1554724800000,1.4956,1.6596,1.4868,1.5876,1049719.04,1554767999999,1658546.745088,7124,507814.99,806290.8597220002,0
1554768000000,1.5875,1.83,1.5755,1.757,2111890.49,1554811199999,3657982.303748,11649,941495.14,1634840.064573,0
1554811200000,1.7639,1.85,1.6704,1.6745,1174471.29,1554854399999,2058344.430558,8107,524422.76,922117.937272,0
1554854400000,1.6740000000000002,1.7308,1.612,1.6756,908009.01,1554897599999,1513196.5599709996,6361,403684.51,674482.1221050001,0
1554897600000,1.6687,1.725,1.6,1.6131,590474.52,1554940799999,981166.292405,4846,258837.8,432085.846109,0
1554940800000,1.6194,1.6376,1.376,1.4428,987337.33,1554983999999,1491075.27443,6417,373239.27,565092.438723,0
1554984000000,1.4428,1.5299,1.4367,1.455,466405.24,1555027199999,688494.759611,3449,201651.8,297427.863262,0
1555027200000,1.4628,1.6345,1.3730000000000002,1.6345,619404.28,1555070399999,930120.014491,4587,312231.8,470898.93296000006,0
1555070400000,1.6345,1.66,1.565,1.63,670037.13,1555113599999,1087101.544964,4723,337835.68,548953.154179,0
1555113600000,1.63,1.6589,1.517,1.5317,385453.44,1555156799999,615592.5085850001,2934,172932.95,276924.763331,0
1555156800000,1.5317,1.587,1.5169,1.5452,278272.81,1555199999999,429209.367385,2497,96319.94,149121.621486,0
1555200000000,1.5451,1.5734,1.485,1.5169,258938.32,1555243199999,394490.35709,2379,112506.37,171231.37023,0
1555243200000,1.5233,1.6148,1.505,1.5684,242877.22,1555286399999,377183.503738,2268,123658.71,192277.324149,0
1555286400000,1.5721,1.63,1.57,1.57,217627.68,1555329599999,347136.426754,2335,101165.4,161694.112271,0
1555329600000,1.57,1.608,1.4506,1.5228,477376.32,1555372799999,725931.257792,4224,208176.45,316492.17022800003,0
1555372800000,1.5164,1.5294,1.4709,1.505,196322.4,1555415999999,295122.841088,1740,103047.54,154979.329554,0
1555416000000,1.5049,1.57,1.4554,1.5182,460798.05,1555459199999,694658.079072,3527,194324.6,293603.992731,0
1555459200000,1.5169,1.6488,1.5169,1.6295,615715.28,1555502399999,981825.367824,4438,322322.26,513959.749274,0
1555502400000,1.6393,1.6448,1.5851,1.6045,237076.18,1555545599999,381304.554063,2142,98882.62,158971.436106,0
1555545600000,1.6099,1.694,1.6039,1.6354,381744.56,1555588799999,628481.369534,3551,190723.28,314159.717382,0
1555588800000,1.6355,1.6765,1.6286,1.6482,200100.66,1555631999999,330491.739948,2039,97289.91,160873.446596,0
1555632000000,1.6482,1.67,1.6006,1.6291,164506.1,1555675199999,268058.679496,1811,79710.77,130116.424277,0
1555675200000,1.629,1.7377,1.6016,1.7377,307095.63,1555718399999,509538.661457,3416,159712.93,265711.232793,0
1555718400000,1.7377,1.7749,1.6651,1.6791,319658.37,1555761599999,550712.97714,3721,166947.67,288235.267406,0
1555761600000,1.6791,1.7362,1.6767,1.7173,211816.4,1555804799999,358903.563649,2262,70548.47,120037.941838,0
1555804800000,1.7229,1.7274,1.5691,1.594,292006.85,1555847999999,478388.504125,2955,119621.36,195431.932561,0
1555848000000,1.5929,1.69,1.5692,1.6705,238823.37,1555891199999,392572.804608,2612,112284.42,184475.929311,0
1555891200000,1.6705,1.8034,1.6596,1.7582,452626.46,1555934399999,789018.373907,4439,241278.75,421118.07354,0
1555934400000,1.7582,1.7789,1.7,1.7679,291701.1,1555977599999,509358.036795,3999,119716.79,209630.924132,0
1555977600000,1.7646,1.8329,1.7615,1.818,473899.61,1556020799999,855028.266584,4684,239804.58,433319.267484,0
1556020800000,1.8181,1.97,1.7906,1.9242,1254479.41,1556063999999,2393454.536073,11651,622502.3,1191402.785758,0
1556064000000,1.9247,1.9247,1.6773,1.7,829442.32,1556107199999,1487540.673456,6821,370168.62,662167.646784,0
1556107200000,1.7069,1.8072,1.6759,1.7794,562287.67,1556150399999,976735.654565,5272,266978.68,464865.853248,0
1556150400000,1.7801,1.85,1.721,1.7869,293610.03,1556193599999,519797.58683,3764,139696.1,247116.03091,0
1556193600000,1.79,1.8379,1.6037,1.635,751249.89,1556236799999,1285559.926824,6316,262762.93,452745.023323,0
1556236800000,1.6357,1.68,1.5011,1.607,898280.75,1556279999999,1434476.435528,6960,365633.76,584707.430242,0
1556280000000,1.607,1.62,1.4745,1.5728,571564.67,1556323199999,881390.333792,5250,186951.63,287290.369083,0
1556323200000,1.5835,1.5961,1.517,1.5354,147866.69,1556366399999,228909.754949,1889,46779.72,72583.626353,0
1556366400000,1.5319999999999998,1.6183,1.5119,1.5923,286731.56,1556409599999,451803.478135,2276,112750.64,177796.518447,0
1556409600000,1.5942,1.6775,1.58,1.6629,170270.27,1556452799999,276320.119931,1693,91396.39,148226.086403,0
1556452800000,1.6634,1.6788,1.5348,1.5539,314785.65,1556495999999,502697.08370600006,2871,133240.65,212915.613553,0
1556496000000,1.5536,1.5728,1.4758,1.4801,320832.21,1556539199999,485502.360373,2093,127026.55,192026.89756,0
1556539200000,1.4803,1.5006,1.3875,1.4,379077.76,1556582399999,547357.037783,3100,115602.29,167415.066873,0
1556582400000,1.4063,1.5148,1.3999,1.5118,209074.32,1556625599999,304313.73088600003,2148,101785.63,148762.199536,0
1556625600000,1.5099,1.55,1.4766,1.5263,214877.82,1556668799999,325669.38501,1840,94686.75,144008.594307,0
1556668800000,1.5277,1.57,1.487,1.5152,199368.69,1556711999999,301556.003313,1417,77859.72,118294.688243,0
1556712000000,1.5103,1.5177,1.47,1.5005,122573.96,1556755199999,182407.159285,1013,64883.13,96572.161885,0
1556755200000,1.4971,1.5027,1.4799,1.4942,92715.27,1556798399999,138070.524909,736,46704.71,69649.174226,0
1556798400000,1.4934,1.5199,1.4571,1.469,181207.47,1556841599999,269775.680636,1825,60091.74,89405.59290399998,0
1556841600000,1.4727,1.5093,1.42,1.47,293614.85,1556884799999,428439.294884,2992,114655.7,167780.850682,0
1556884800000,1.47,1.5146,1.46,1.4975,186033.79,1556927999999,276510.719506,2197,78171.6,116437.331251,0
1556928000000,1.4975,1.55,1.4315,1.44,194583.79,1556971199999,287554.665441,2399,71925.31,106500.717577,0
1556971200000,1.4399,1.45,1.3611,1.4499,347323.95,1557014399999,489827.668122,2594,151474.04,213740.140479,0
1557014400000,1.45,1.4798,1.4008,1.4099,82642.54,1557057599999,118541.887589,1017,34561.35,49761.950663,0
1557057600000,1.4026,1.4479,1.4001,1.4078,129504.1,1557100799999,182977.093548,1069,43101.2,61251.998762,0
1557100800000,1.4134,1.4485,1.3766,1.4278,177903.84,1557143999999,251428.601959,1448,93761.52,133186.086421,0
1557144000000,1.4228,1.4977,1.4135,1.4469999999999998,162628.42,1557187199999,237413.521491,1357,84163.87,122769.900622,0
1557187200000,1.4499,1.6512,1.4499,1.6187,568245.82,1557230399999,901010.429,5208,352952.06,560054.073348,0
1557230400000,1.6247,1.6495,1.5019,1.5381,344660.53,1557273599999,543641.5418680001,4069,141345.6,223841.472899,0
1557273600000,1.5242,1.5356,1.4556,1.5232,322767.37,1557316799999,483181.635807,2787,115027.87,172215.747975,0
1557316800000,1.5242,1.5362,1.4795,1.5032,118162.49,1557359999999,177966.516501,1076,55017.45,83009.372351,0
1557360000000,1.4929,1.5379,1.47,1.4738,78058.39,1557403199999,116799.35696,934,26808.43,40151.830348,0
1557403200000,1.4738,1.4823,1.4015,1.4269999999999998,191231.72,1557446399999,273766.575994,1427,58761.68,84182.27955800001,0
1557446400000,1.4271,1.5601,1.4228,1.4799,234225.75,1557489599999,351066.404683,1920,121871.9,183133.233799,0
1557489600000,1.4762,1.5145,1.4507,1.4711,186179.84,1557532799999,274858.29805700004,1527,86814.43,128209.657374,0
1557532800000,1.4696,1.6134,1.4639,1.5801,416503.19,1557575999999,639543.121037,3630,225428.46,346875.333958,0
1557576000000,1.5765,1.6927,1.558,1.591,553834.66,1557619199999,899729.638331,4822,313003.89,509295.573194,0
1557619200000,1.5829,1.7689,1.54,1.61,699862.24,1557662399999,1166689.610727,5904,330928.88,553305.8531020001,0
1557662400000,1.6130000000000002,1.6794,1.557,1.6099,334265.24,1557705599999,537289.5271899999,2923,167995.11,270357.124356,0
1557705600000,1.6097,1.74,1.58,1.685,314201.8,1557748799999,527455.6764550001,2769,129236.33,218306.381928,0
1557748800000,1.6802,1.755,1.6396,1.6482,544496.11,1557791999999,925635.943165,3779,249103.0,425539.789466,0
