Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1597665600000,3.3,3.3,2.0225,2.1972,7632.65,1597708799999,18612.060513,3482,2948.0,7313.984692,0
1597708800000,2.18,2.384,2.0345,2.0675,2056.35,1597751999999,4500.016376,1722,706.83,1563.541618,0
1597752000000,2.091,2.3462,1.9402,2.0062,4098.65,1597795199999,8579.638421,1892,2197.9,4621.729415,0
1597795200000,2.0009,2.09,1.7685,1.9494,2580.97,1597838399999,4958.279825,1539,1446.52,2791.971279,0
1597838400000,2.0046,2.0047,1.7976,1.8901,2674.85,1597881599999,5083.218489,1083,1422.87,2711.972224,0
1597881600000,1.8798,2.018,1.7624,1.8206,1728.41,1597924799999,3236.827177,673,1045.27,1968.243346,0
1597924800000,1.8172,11.171,1.26,2.032,9958.86,1597967999999,21049.73931,3992,5572.66,12151.842848,0
1597968000000,2.032,2.3,1.8849,1.9912,5908.7,1598011199999,11903.397325,3059,3493.41,7024.736056999999,0
1598011200000,2.0227,2.3,1.8714,1.8986,4987.93,1598054399999,9896.927674,3022,3876.52,7707.302831,0
1598054400000,1.906,2.3,1.878,1.9632,2628.46,1598097599999,5120.163927000001,1512,1419.94,2776.600649,0
1598097600000,1.9559,2.29,1.8893,2.1590000000000003,3448.32,1598140799999,7069.981923,1886,1965.74,4006.872971,0
1598140800000,2.1586,2.25,1.9394,2.0499,3170.39,1598183999999,6391.423107,1183,2201.48,4435.570364,0
1598184000000,2.0614,2.1195,1.9725,1.9896,1833.95,1598227199999,3711.926675,658,800.12,1624.403611,0
1598227200000,1.9879,2.1243,1.905,1.9518,883.42,1598270399999,1789.1152140000004,606,322.57,658.129158,0
1598270400000,1.9554,1.982,1.9266,1.9697,514.75,1598313599999,1008.012292,206,357.25,699.142949,0
1598313600000,1.9688,2.112,1.9089,1.9089,1352.32,1598356799999,2647.392884,549,967.01,1897.969977,0
1598356800000,1.9163,2.03,1.8871,1.9597,1078.88,1598399999999,2092.064158,546,664.1,1288.654353,0
1598400000000,1.9622,1.965,1.829,1.868,944.23,1598443199999,1771.079703,393,464.77,876.704942,0
1598443200000,1.8705,1.9837,1.8406,1.9707,1540.12,1598486399999,2921.8742030000008,485,754.47,1429.991673,0
1598486400000,1.9714,1.9714,1.7926,1.807,805.65,1598529599999,1505.227775,379,354.73,667.818578,0
1598529600000,1.8117,3.47,1.7473,2.2793,6987.83,1598572799999,16307.542200999998,2910,4795.47,11189.646706,0
1598572800000,2.2854,2.89,2.1758,2.4947,10786.63,1598615999999,26607.639576,3792,5555.83,13721.967282,0
1598616000000,2.4945,2.8829,2.2945,2.3751,10753.59,1598659199999,27879.387253,4750,6295.59,16450.156881,0
1598659200000,2.3751,2.4123,2.2134,2.312,3510.94,1598702399999,8061.970098999999,1526,1823.38,4165.89934,0
1598702400000,2.3021,2.4159,2.2149,2.2898,2132.96,1598745599999,4896.593656,1393,1257.76,2898.845686,0
1598745600000,2.2874,2.2875,2.0253,2.1632,2532.22,1598788799999,5486.7655479999985,1536,1432.22,3111.47445,0
1598788800000,2.1709,2.2548,2.1016,2.1782,1996.2,1598831999999,4324.888558,1097,1291.41,2801.412585,0
1598832000000,2.1716,2.9018,2.0938,2.3019,1954.77,1598875199999,4571.895788000002,1784,1203.15,2839.088835,0
1598875200000,2.3185,2.4306,2.2195,2.4007,1061.22,1598918399999,2432.050791,953,541.09,1255.74531,0
1598918400000,2.4007,2.4587,2.1689,2.2457,2433.43,1598961599999,5557.448647,1461,1335.6,3044.739457,0
1598961600000,2.246,2.2887,0.6001,2.0663,1590.43,1599004799999,3368.517254,1074,811.46,1760.1922170000007,0
1599004800000,2.0629,2.1458,1.9688,1.9972,2083.68,1599047999999,4247.125621,958,1258.95,2566.499229,0
1599048000000,2.0305,2.0593,1.8641,1.9869,527.69,1599091199999,1036.320277,305,311.74,616.991607,0
1599091200000,1.9936,1.9936,1.8267,1.8803,880.7,1599134399999,1673.912365,417,538.52,1031.0792279999996,0
