Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1601424000000,2.4,4.2,2.4,3.4336,2054501.73,1601467199999,6658044.229091002,26936,1069200.15,3483573.587468,0
1601467200000,3.4489,3.4602,2.79,2.8637,899622.36,1601510399999,2807509.407662,16142,424947.63,1325614.896954,0
1601510400000,2.8643,2.97,2.61,2.6825,658501.19,1601553599999,1798204.55474,7162,318203.96,868109.267432,0
1601553600000,2.6828,2.9648,2.422,2.6603,742965.57,1601596799999,1983717.27579,9325,397488.87,1062155.660682,0
1601596800000,2.6601,2.849,2.4666,2.5043,574310.16,1601639999999,1516335.206999,5449,301316.22,795332.3603609998,0
1601640000000,2.4713,2.5604,2.4201,2.4947,324780.59,1601683199999,809273.0453100002,3427,178245.71,444357.93531,0
1601683200000,2.495,2.62,2.3618,2.4613,350683.86,1601726399999,872847.972659,4559,182828.28,453474.32995100005,0
1601726400000,2.4617,2.484,2.3811,2.3919,117176.5,1601769599999,283932.668305,2359,53529.9,129616.124841,0
1601769600000,2.3905,2.4132,2.315,2.3233,106396.81,1601812799999,252912.215193,1989,50415.3,120003.990493,0
1601812800000,2.323,2.3232,2.0606,2.2399,234551.65,1601855999999,512536.891549,3794,114286.25,249186.04381,0
1601856000000,2.2402,2.26,2.064,2.1727,168192.62,1601899199999,366225.88517,2615,83301.78,181450.659491,0
1601899200000,2.1721,2.1721,2.0665,2.0754,161216.18,1601942399999,340829.508209,2745,95069.07,201594.333402,0
1601942400000,2.0746,2.0875,1.7287,1.8049,236992.82,1601985599999,459078.470986,4665,114085.74,219365.018107,0
1601985600000,1.7981,1.8557,1.6269,1.7936,190210.23,1602028799999,333090.011696,3532,80752.45,142213.092547,0
1602028800000,1.7939,1.83,1.5762,1.7024,139239.5,1602071999999,237930.595079,3708,71287.53,122027.589353,0
1602072000000,1.7025,2.1,1.7025,1.8182,496206.26,1602115199999,939049.02892,7880,245946.36,467412.248007,0
1602115200000,1.8183,1.8235,1.7587,1.7931,75046.17,1602158399999,134214.697764,2067,36741.24,65814.41372699999,0
1602158400000,1.7929,1.9626,1.7866,1.8662,170667.02,1602201599999,318018.167593,3385,105027.35,195270.451253,0
1602201600000,1.8664,1.9,1.76,1.8488,160557.66,1602244799999,294322.237537,3053,84421.47,155150.805225,0
1602244800000,1.8485,1.913,1.7758,1.7969,143835.31,1602287999999,265053.770789,2836,61627.4,113558.054415,0
1602288000000,1.7927,1.8612,1.7832,1.8086,128711.93,1602331199999,234812.725735,2392,63058.54,115382.46283,0
1602331200000,1.8085,1.8989,1.8082,1.8628,42030.77,1602374399999,77486.838185,2014,19729.61,36430.260421,0
1602374400000,1.863,1.87,1.7937,1.8278,50892.68,1602417599999,92455.49027,1958,24228.78,44093.834465,0
1602417600000,1.8278,1.8565,1.7583,1.7795,75755.51,1602460799999,136452.583762,2095,34725.67,62604.94091699999,0
1602460800000,1.7799,1.8379,1.7422,1.7643,83949.03,1602503999999,150498.506559,2087,46971.36,84278.937407,0
1602504000000,1.7641,1.93,1.76,1.8068,138377.66,1602547199999,255513.23085100003,3183,75681.94,140078.392848,0
1602547200000,1.807,1.8929,1.8045,1.8766,69393.76,1602590399999,128041.332903,1967,40358.9,74419.456202,0
1602590400000,1.876,2.28,1.8596,1.9822,553651.32,1602633599999,1140773.923186,8761,309040.32,637180.847049,0
1602633600000,1.9783,1.9949,1.8707,1.8831,112552.09,1602676799999,220230.403082,2687,46970.36,91904.566767,0
1602676800000,1.8829,1.9315,1.8049,1.8646,101921.07,1602719999999,189880.977285,2711,51045.73,95258.339085,0
1602720000000,1.8643,1.9343,1.8068,1.9169,64826.72,1602763199999,121849.446495,2420,32351.93,60818.636338,0
1602763200000,1.9167,1.9223,1.8003,1.8454,68270.58,1602806399999,126566.180098,2579,31410.02,58224.804698,0
1602806400000,1.8451,1.93,1.7786,1.8997,97729.28,1602849599999,181117.212664,2709,51414.72,95335.632051,0
1602849600000,1.9003,1.9299,1.5853,1.6939,479720.19,1602892799999,820949.545716,7208,198504.44,339588.673165,0
1602892800000,1.6937,1.7143,1.68,1.7143,69734.59,1602935999999,118338.094904,1947,40334.09,68544.260336,0
1602936000000,1.714,1.725,1.6698,1.7207,73732.94,1602979199999,125388.141462,2006,37717.26,64213.38681799999,0
1602979200000,1.7206,1.7729,1.71,1.7325,62406.96,1603022399999,108564.40568,1883,28973.8,50439.924787,0
1603022400000,1.7328,1.741,1.65,1.6588,96928.07,1603065599999,163292.538308,2516,44441.43,74812.956702,0
1603065600000,1.6586,1.8033,1.65,1.6727,132686.35,1603108799999,227870.496888,2845,65339.85,112638.529353,0
1603108800000,1.6735,1.6880000000000002,1.5644,1.5713,168240.29,1603151999999,273757.505448,2848,63081.83,102805.036054,0
1603152000000,1.5712,1.5855,1.4199,1.429,202096.3,1603195199999,302701.339059,3073,87626.05,131033.909664,0
1603195200000,1.4293,1.4515,1.334,1.4037,175977.58,1603238399999,243137.161877,2222,79565.48,110092.694554,0
1603238400000,1.3981,1.4399,1.3589,1.4157,93326.97,1603281599999,130135.07904,863,45752.67,63792.44564400001,0
1603281600000,1.4239,1.6964,1.4102,1.598,276939.02,1603324799999,429706.886898,2783,164997.51,255611.595515,0
1603324800000,1.5952,1.8949,1.585,1.86,327975.41,1603367999999,579147.822641,3228,179735.42,317721.250485,0
1603368000000,1.8551,1.8762,1.65,1.6665,216485.95,1603411199999,375851.992461,2553,102429.72,177801.320998,0
1603411200000,1.6515,1.6984,1.6332,1.6707,68265.83,1603454399999,113515.37115,828,33391.16,55648.6105,0
1603454400000,1.6695,1.7488,1.6583,1.6983,91245.22,1603497599999,155729.25335,941,43448.2,74363.119779,0
1603497600000,1.6977,1.7052,1.617,1.6575,72200.89,1603540799999,119665.891024,695,35182.62,58230.984193,0
1603540800000,1.6577,1.6843,1.6423,1.6633,36970.05,1603583999999,61574.246236,380,17444.16,29106.91758,0
1603584000000,1.6629,1.6777,1.6325,1.6393,55990.83,1603627199999,92477.801546,435,24196.54,40084.726391,0
1603627200000,1.6355,1.6447,1.5789,1.6209,49056.19,1603670399999,79417.912029,545,21546.76,34870.860261,0
1603670400000,1.6208,1.6256,1.5959,1.6014,23710.55,1603713599999,38237.094872,252,8589.77,13899.034553,0
1603713600000,1.6012,1.6053,1.49,1.5504,119726.4,1603756799999,183563.363757,1244,59325.15,91020.713007,0
1603756800000,1.5588,1.7171,1.5529,1.6671,96110.32,1603799999999,157071.32251,1875,51672.21,84581.749764,0
1603800000000,1.6685,1.7499,1.6341,1.6518,112318.99,1603843199999,188905.16063,2458,48608.74,81834.64195399999,0
1603843200000,1.6491,1.6681,1.5206,1.534,79946.79,1603886399999,127948.914019,2082,35414.59,56567.857408,0
1603886400000,1.5337,1.5896,1.46,1.4734,75505.84,1603929599999,113221.395776,2171,30523.08,45878.697724,0
1603929600000,1.4736,1.4781,1.4062,1.4239,67362.74,1603972799999,97355.13112,1715,36746.16,53129.186236,0
1603972800000,1.4237,1.6,1.4112,1.4327,119428.23,1604015999999,175015.363629,2669,60032.89,88057.132173,0
1604016000000,1.4321,1.4546,1.3624,1.3868,60371.36,1604059199999,84655.40345299999,1875,29710.67,41561.366151,0
1604059200000,1.3869,1.4798,1.3827,1.4693,65127.14,1604102399999,93471.834184,1873,33296.29,47749.467956,0
1604102400000,1.4692,1.5541,1.4322,1.4591,86270.08,1604145599999,127046.012448,2038,43141.36,63611.531076,0
1604145600000,1.4580000000000002,1.4641,1.4139,1.4161,38084.74,1604188799999,54655.650465,1658,13611.12,19491.906539,0
1604188800000,1.4162,1.4279,1.4021,1.4042,30612.3,1604231999999,43357.450071,1514,13633.63,19314.781945,0
1604232000000,1.404,1.5229,1.4034,1.4585,112195.61,1604275199999,161659.600137,2186,67314.23,97052.61797,0
1604275200000,1.4583,1.5017,1.429,1.4327,76040.12,1604318399999,111659.100601,2071,34457.48,50753.41502,0
1604318400000,1.4319,1.5795,1.4204,1.4614,119812.04,1604361599999,177406.08708599996,2516,56567.82,83940.360012,0
1604361600000,1.4622,1.4792,1.41,1.4369,51904.06,1604404799999,74610.30729099999,1870,22817.31,32873.118322,0
1604404800000,1.4366,1.44,1.3886,1.4165,61567.17,1604447999999,86873.537189,2051,26314.69,37147.338257,0
1604448000000,1.4167,1.4195,1.356,1.3613,54662.37,1604491199999,75524.139072,1993,24040.65,33236.478716000005,0
1604491200000,1.361,1.5389,1.345,1.4833,116035.28,1604534399999,165308.898727,2564,67216.66,95908.395924,0
1604534400000,1.4836,1.5125,1.4607,1.5029,59198.0,1604577599999,88272.617798,1854,31372.06,46816.811542,0
1604577600000,1.5029,1.5029,1.4233,1.466,103636.52,1604620799999,152821.546306,2569,48609.65,71805.211317,0
1604620800000,1.4661,1.6740000000000002,1.4613,1.5777,112207.67,1604663999999,171014.285571,2451,60131.82,91502.234369,0
1604664000000,1.5778,1.6740000000000002,1.5778,1.6659,74415.91,1604707199999,121343.573458,2254,40295.31,65639.148986,0
1604707200000,1.666,1.7,1.6276,1.6591,55789.25,1604750399999,92326.726967,1848,25667.71,42562.981551,0
1604750400000,1.6593,1.71,1.4515,1.5053,122585.41,1604793599999,193118.825302,2447,51144.98,80890.684968,0
1604793600000,1.505,1.5142,1.4784,1.5115,43373.93,1604836799999,64987.932524,1635,22686.68,33995.63037,0
1604836800000,1.5116,1.55,1.5116,1.5401,42987.05,1604879999999,65934.478917,1707,22422.35,34389.475866,0
1604880000000,1.5403,1.5498,1.4698,1.5325,78389.19,1604923199999,117963.507682,1812,42253.81,63573.00730599999,0
1604923200000,1.5357,1.67,1.4556,1.6543,141224.12,1604966399999,220879.362602,2413,82610.22,129723.639842,0
1604966400000,1.654,1.7977,1.65,1.741,139385.98,1605009599999,241749.756775,2791,75263.41,130336.226112,0
1605009600000,1.7413,1.89,1.7413,1.7887,210264.67,1605052799999,383206.892083,3511,109017.07,198672.210887,0
1605052800000,1.7888,1.8265,1.61,1.685,111336.83,1605095999999,192522.047656,2375,53450.15,92652.184657,0
1605096000000,1.6853,1.742,1.625,1.6757,62082.94,1605139199999,105301.48902,2054,28418.13,48385.996526,0
1605139200000,1.6757,1.747,1.6595,1.7132,69957.43,1605182399999,118864.196944,2158,35236.5,60036.039426,0
1605182400000,1.7135,1.725,1.6389,1.6675,62171.11,1605225599999,104820.28541,2100,31128.29,52478.585388,0
1605225600000,1.6679,1.7149,1.6674,1.704,45996.65,1605268799999,78070.473014,1675,23032.54,39084.68278500001,0
1605268800000,1.7085,1.87,1.6996,1.8164,175804.53,1605311999999,316940.186819,3270,83667.65,150368.932579,0
1605312000000,1.8171,1.85,1.6969,1.7635,63253.31,1605355199999,114568.339604,2109,22188.21,40218.896056,0
1605355200000,1.7632,1.7868,1.6968,1.741,163442.66,1605398399999,283343.886042,3007,82871.18,143459.758397,0
1605398400000,1.7453,1.8482,1.7128,1.8036,157346.41,1605441599999,279519.946143,2439,79305.98,140877.739295,0
1605441600000,1.8036,1.8361,1.69,1.7382,159787.96,1605484799999,282881.04127,3656,72836.65,128949.50483,0
1605484800000,1.7414,1.8,1.7301,1.775,79901.56,1605527999999,140742.300313,2306,40435.41,71295.108112,0
1605528000000,1.7748,1.81,1.7472,1.7938,125045.7,1605571199999,222528.735244,2483,64576.74,114963.78133800002,0
1605571200000,1.7909,1.8338,1.7531,1.7592,93315.62,1605614399999,166774.38768800002,2061,40668.91,72891.868071,0
1605614400000,1.7612,1.7861,1.7092,1.7754,186947.92,1605657599999,326917.819454,3369,95155.81,166674.80341199998,0
1605657600000,1.7754,1.81,1.6925,1.7034,105294.19,1605700799999,184398.787907,2571,51027.99,89774.14927200002,0
1605700800000,1.7026,1.711,1.644,1.7,58619.88,1605743999999,98608.965326,715,35535.39,59725.190974,0
1605744000000,1.7019,1.7049,1.64,1.6437,74906.2,1605787199999,124942.517009,599,28995.81,48538.138777,0
1605787200000,1.6464,1.6684,1.6003,1.6404,102539.89,1605830399999,168761.138208,909,53668.76,88435.939635,0
1605830400000,1.6404,1.78,1.6385,1.737,127844.9,1605873599999,217768.650822,1105,71490.08,121486.879784,0
1605873600000,1.737,1.8054,1.7175,1.7362,74090.94,1605916799999,129814.598832,770,43748.75,76857.23571000001,0
1605916800000,1.7508,1.7625,1.6882,1.7046,86010.94,1605959999999,147790.712486,997,37080.67,63897.550943,0
1605960000000,1.7027,1.8117,1.6992,1.7881,113787.48,1606003199999,198666.973789,1758,67023.66,117017.974463,0
1606003200000,1.7907,1.8101,1.62,1.6409,108803.9,1606046399999,188899.93611,1284,46302.07,80693.668047,0
1606046400000,1.646,1.79,1.646,1.7495,93741.4,1606089599999,162074.858073,1071,59850.01,103343.091811,0
1606089600000,1.7231,1.86,1.7152,1.8207,145954.0,1606132799999,263004.920697,1654,70066.3,126853.273464,0
1606132800000,1.8117,1.9145,1.755,1.8369,288510.76,1606175999999,529684.8735229999,3256,142395.04,262578.001691,0
1606176000000,1.8555,2.0981,1.8165,2.0601,293848.77,1606219199999,575777.439182,3933,163551.93,321350.29412800004,0
1606219200000,2.057,2.2,1.958,2.0884,223541.54,1606262399999,462063.118056,3482,120596.85,250116.71145,0
1606262400000,2.0884,2.177,1.9742,2.1587,100074.97,1606305599999,207115.638501,1958,49902.71,103354.598878,0
1606305600000,2.15,2.5,2.0694,2.1718,460705.19,1606348799999,1071136.968618,7698,220235.62,512151.864585,0
1606348800000,2.1549,2.4551,1.8,2.1068,677588.36,1606391999999,1438715.220842,8676,322207.32,690964.636733,0
1606392000000,2.1067,2.2147,1.9152,2.0572,201074.67,1606435199999,413904.051233,2601,98683.44,203747.303088,0
1606435200000,2.059,2.235,1.9653,2.0498,171894.6,1606478399999,359983.438236,3331,76198.67,159717.508749,0
1606478400000,2.0494,2.1314,2.0125,2.1305,122854.52,1606521599999,253390.086061,1519,65503.65,135586.390373,0
1606521600000,2.1172,2.39,2.1042,2.362,191338.73,1606564799999,434656.288038,2761,89723.21,204542.773419,0
1606564800000,2.3622,2.59,2.2908,2.4731,387349.98,1606607999999,942822.890421,5746,243390.31,593422.874325,0
1606608000000,2.469,2.99,2.4292,2.8595,642544.26,1606651199999,1784031.7797509998,10938,344149.22,955145.043782,0
1606651200000,2.8595,3.5499,2.7447,3.4549,1683459.5,1606694399999,5519010.653891,26945,966341.91,3170950.552152,0
1606694400000,3.4682,3.5406,3.21,3.3016,548910.06,1606737599999,1839581.049469,11280,277296.1,930171.001428,0
1606737600000,3.3144,3.334,3.0509,3.1015,439345.34,1606780799999,1375422.6146850002,8631,207687.82,650263.466136,0
1606780800000,3.136,3.1518,2.8553,2.9531,437096.12,1606823999999,1307159.503583,8100,190028.94,568676.8150279999,0
