Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1600646400000,0.3015,0.7709999999999999,0.3015,0.3591,42443661.5,1600689599999,19244201.255511,57627,20869960.07,9518672.265264,0
1600689600000,0.3577,0.4209,0.32299999999999995,0.3621,49713462.11,1600732799999,18318175.718193,56257,24263224.6,8922834.339387,0
1600732800000,0.3621,0.3756,0.2887,0.2977,17096177.33,1600775999999,5567071.976707,21897,8229968.06,2671866.137879,0
1600776000000,0.2978,0.3148,0.2792,0.29600000000000004,5633325.46,1600819199999,1666943.523611,6708,2681508.89,793592.721949,0
1600819200000,0.2968,0.3095,0.28,0.2843,2609374.45,1600862399999,767964.735155,2930,1190883.91,350687.501903,0
1600862400000,0.2843,0.2918,0.2581,0.2624,3840939.56,1600905599999,1055178.492302,3907,1760826.62,485091.019721,0
1600905600000,0.2621,0.28,0.2596,0.2757,1668235.4,1600948799999,450439.307526,1736,867721.87,234754.805945,0
1600948800000,0.2755,0.3099,0.2686,0.3013,3211542.72,1600991999999,904479.560162,3823,1688708.25,474757.035487,0
1600992000000,0.3024,0.3295,0.2846,0.3256,2554106.11,1601035199999,769385.9291569998,3036,1269679.89,383858.526739,0
1601035200000,0.326,0.3308,0.2915,0.2992,3989965.33,1601078399999,1240071.119677,5804,1954935.85,608344.9616439999,0
1601078400000,0.2992,0.3052,0.2922,0.2946,788060.09,1601121599999,236149.92731,846,342813.86,103014.967756,0
1601121600000,0.2945,0.3076,0.2934,0.3068,882040.11,1601164799999,264503.279443,1149,542870.19,162854.295926,0
1601164800000,0.3065,0.3079,0.2928,0.2944,998231.47,1601207999999,298102.055101,1322,458804.57,136956.83565599998,0
1601208000000,0.2951,0.3,0.2885,0.2946,851994.69,1601251199999,250760.324595,1152,390845.03,115195.811566,0
1601251200000,0.2946,0.3075,0.2933,0.2982,1944275.84,1601294399999,580802.957982,2520,1058614.39,316525.049296,0
1601294400000,0.2982,0.3403,0.2962,0.3141,3778775.27,1601337599999,1205728.966445,6233,1901536.54,604438.559841,0
1601337600000,0.3146,0.321,0.2996,0.3038,1576249.15,1601380799999,485513.02014,2478,721199.5,222078.193114,0
1601380800000,0.3039,0.3096,0.2807,0.2994,1385716.24,1601423999999,406595.112496,2089,681364.9,199999.620072,0
1601424000000,0.2995,0.3087,0.2855,0.2866,1370688.68,1601467199999,406430.129265,1876,697289.99,206671.573661,0
1601467200000,0.2854,0.299,0.28,0.2907,1132634.51,1601510399999,328460.265407,1726,552292.99,159870.071103,0
1601510400000,0.2906,0.3028,0.2874,0.2951,2242558.12,1601553599999,655647.1054939999,2466,1045623.18,306409.946432,0
1601553600000,0.2944,0.2984,0.2777,0.2827,801297.74,1601596799999,228789.72988000003,1032,387660.6,110493.605651,0
1601596800000,0.2823,0.2825,0.2592,0.2597,2210499.21,1601639999999,591752.7933520001,2391,1154555.82,309128.94160300004,0
1601640000000,0.2597,0.2763,0.2597,0.2715,1060595.29,1601683199999,286209.195258,1473,480145.79,129431.967417,0
1601683200000,0.2714,0.2737,0.2661,0.2733,597038.44,1601726399999,161024.539078,685,287650.77,77510.174897,0
1601726400000,0.2732,0.2788,0.269,0.27,608636.32,1601769599999,166710.040595,815,301225.48,82561.789089,0
1601769600000,0.2702,0.2719,0.2588,0.2605,1320740.12,1601812799999,350513.35155900003,1768,599692.74,159231.014402,0
