Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1566820800000,0.0775,0.27,0.0775,0.1151,109068248.55,1566863999999,14385725.407782998,50662,49355773.75,6524624.782535,0
1566864000000,0.1152,0.1295,0.104,0.1258,44916723.13,1566907199999,5161106.787741002,15671,22865791.96,2632685.803323,0
1566907200000,0.1255,0.1264,0.1112,0.1124,18530702.39,1566950399999,2191362.445137,7379,7405113.53,877310.087359,0
1566950400000,0.1121,0.1188,0.1119,0.1131,10925140.37,1566993599999,1254013.124068,4359,4467738.79,513734.444177,0
1566993600000,0.1131,0.1157,0.094,0.0969,21640939.98,1567036799999,2238453.266203,6906,8827333.26,917474.076561,0
1567036800000,0.0969,0.0978,0.0877,0.0909,12190503.99,1567079999999,1121048.113394,4642,4445000.97,409189.287176,0
1567080000000,0.0909,0.0947,0.0892,0.0911,6839292.95,1567123199999,628608.553347,2560,2405219.57,221680.329429,0
1567123200000,0.091,0.1044,0.0889,0.0986,15773474.81,1567166399999,1551630.338371,6373,8020878.78,790010.3127939998,0
1567166400000,0.0986,0.1026,0.0902,0.0923,11463122.9,1567209599999,1093787.786022,4354,4753156.43,452583.228415,0
1567209600000,0.0921,0.094,0.0888,0.0896,4624895.28,1567252799999,424762.731077,2261,1634283.53,150738.22872,0
1567252800000,0.0895,0.0908,0.084,0.0869,6798382.83,1567295999999,593485.510682,3069,2940904.11,256779.994295,0
1567296000000,0.0868,0.0937,0.0855,0.0909,6158926.1,1567339199999,552447.88806,2838,2617930.41,235152.590346,0
1567339200000,0.091,0.0913,0.085,0.0896,4837685.82,1567382399999,424669.410521,2935,1951849.84,171460.459578,0
1567382400000,0.0896,0.09,0.0806,0.0846,13847730.79,1567425599999,1165898.969023,3631,5930048.15,501085.72998,0
1567425600000,0.0846,0.0861,0.08199999999999999,0.084,6776230.0,1567468799999,568829.32192,2421,2428983.58,204731.616881,0
1567468800000,0.0847,0.0894,0.083,0.0839,7450519.78,1567511999999,641636.08226,2529,3529035.43,305280.77222800005,0
1567512000000,0.0841,0.09,0.0827,0.0861,6745038.35,1567555199999,583677.926291,2787,2949853.06,255629.567285,0
1567555200000,0.0856,0.0929,0.0843,0.0917,4863457.43,1567598399999,434052.693249,2270,2425592.57,217984.13733400003,0
1567598400000,0.0916,0.0993,0.08900000000000001,0.0928,17697444.38,1567641599999,1670240.164923,6546,7914363.43,748919.5756600002,0
1567641600000,0.0928,0.0999,0.0903,0.0962,9129138.74,1567684799999,866689.719135,3743,4679026.47,446298.685326,0
1567684800000,0.0964,0.1028,0.0877,0.0888,15174686.69,1567727999999,1472030.33934,5610,5976122.76,585335.344049,0
1567728000000,0.0888,0.0911,0.0829,0.0835,12865379.09,1567771199999,1109198.787419,3859,4726467.39,409467.76766,0
1567771200000,0.0835,0.0845,0.08,0.0816,7713697.4,1567814399999,635746.974947,2496,2872547.58,237711.023359,0
1567814400000,0.0815,0.0824,0.0787,0.0801,4558652.79,1567857599999,365349.946428,1594,1884013.66,151308.6221,0
1567857600000,0.0798,0.0819,0.0792,0.081,4375449.6,1567900799999,352902.185892,1555,2083569.9,168423.28050599998,0
1567900800000,0.0811,0.0852,0.0805,0.0817,4790323.67,1567943999999,394596.669556,1626,2276291.72,187881.880462,0
1567944000000,0.0817,0.0818,0.0796,0.0812,3721273.29,1567987199999,300099.95340500004,1149,1104891.73,89306.772125,0
1567987200000,0.0812,0.0823,0.0775,0.0805,4338568.88,1568030399999,346610.54208000004,1593,1834635.56,147047.315859,0
1568030400000,0.0803,0.0806,0.0784,0.0796,2326396.53,1568073599999,185147.353201,899,1051945.93,83910.83213,0
1568073600000,0.0796,0.0807,0.0784,0.08,2216263.55,1568116799999,176861.546807,761,1162296.34,92932.851799,0
1568116800000,0.08,0.0832,0.0777,0.0786,5673051.02,1568159999999,453881.06323,1655,2122579.31,171189.490847,0
1568160000000,0.0784,0.0799,0.0743,0.0767,5284764.91,1568203199999,404277.657508,1627,2099184.7,160925.73866099998,0
1568203200000,0.0764,0.0764,0.0666,0.0676,8006808.12,1568246399999,569861.902078,2307,2793853.52,198374.890311,0
1568246400000,0.0681,0.0713,0.0646,0.0658,7450528.73,1568289599999,503604.71607,1945,2733278.03,186013.353607,0
1568289600000,0.0659,0.0675,0.0649,0.0664,4186410.25,1568332799999,278550.570565,1298,1677291.72,112044.159227,0
1568332800000,0.0664,0.0672,0.0635,0.0668,3190402.53,1568375999999,207497.529907,1100,1283539.25,83585.05285800001,0
1568376000000,0.0672,0.0682,0.0625,0.0644,2664421.3,1568419199999,172796.81746199998,917,921675.54,59956.76418300001,0
1568419200000,0.0644,0.0646,0.061,0.0616,2814591.35,1568462399999,175026.812112,831,1200260.39,74612.605424,0
1568462400000,0.0616,0.0632,0.0601,0.0612,4875410.7,1568505599999,298865.784993,1276,1752341.4,107848.290249,0
1568505600000,0.0615,0.0625,0.06,0.0613,3785290.46,1568548799999,231785.286041,1039,1380094.05,84894.328289,0
1568548800000,0.0613,0.0642,0.0609,0.063,2910176.63,1568591999999,182389.036376,968,1533376.3,96327.586794,0
1568592000000,0.063,0.0636,0.061,0.0612,3058065.11,1568635199999,190069.919979,1032,1165949.95,72611.978643,0
1568635200000,0.0612,0.0613,0.0557,0.0577,9902473.9,1568678399999,573342.3307729999,2032,3769771.53,218432.415038,0
1568678400000,0.0579,0.0589,0.0567,0.0574,4389366.74,1568721599999,253553.985232,1284,1887510.52,109253.930768,0
1568721600000,0.0577,0.0589,0.057,0.0573,6872946.74,1568764799999,398273.863708,1688,2742030.63,159128.839396,0
1568764800000,0.0574,0.0623,0.0563,0.0606,11766636.45,1568807999999,702120.620691,4036,5017549.89,299935.245657,0
1568808000000,0.0607,0.0615,0.0582,0.0603,9137229.71,1568851199999,547119.67647,2517,3459963.27,207708.346745,0
1568851200000,0.0604,0.0606,0.0525,0.0546,7219315.74,1568894399999,397645.40907,2150,3006745.54,165652.59663900002,0
1568894400000,0.0545,0.0564,0.053,0.0557,4687629.38,1568937599999,256873.226395,1455,1762700.66,96137.767399,0
1568937600000,0.0556,0.0558,0.0534,0.0541,1966190.52,1568980799999,107269.004651,620,862506.51,47073.003719,0
1568980800000,0.0541,0.0694,0.0539,0.056,34585981.67,1569023999999,2153561.50171,6308,11893146.43,728827.050042,0
1569024000000,0.056,0.0618,0.0559,0.0589,11107794.21,1569067199999,663971.101878,3011,5436311.12,325733.058513,0
1569067200000,0.0589,0.0597,0.0573,0.0585,5992280.71,1569110399999,349768.057598,1791,2304040.31,134813.803073,0
1569110400000,0.0585,0.0589,0.0539,0.0548,6233929.67,1569153599999,349603.207718,1695,2270714.06,127842.288725,0
1569153600000,0.0548,0.0566,0.0511,0.0523,5376249.02,1569196799999,286700.222654,1623,2338141.83,124696.099084,0
1569196800000,0.0522,0.0527,0.0481,0.05,5253506.15,1569239999999,262341.439955,1547,2597110.06,129787.814025,0
1569240000000,0.05,0.05,0.0456,0.0473,4973014.94,1569283199999,236900.289102,1490,1866041.51,89191.72459099998,0
1569283200000,0.0472,0.0484,0.0453,0.0461,3303095.04,1569326399999,154151.699562,1033,1302475.59,61062.298083,0
1569326400000,0.0461,0.0484,0.0324,0.0356,10893457.96,1569369599999,438260.415774,2375,3908591.44,151980.37483800002,0
1569369600000,0.0357,0.038,0.0332,0.0347,4745463.65,1569412799999,166352.543173,1058,1483282.24,52222.746052,0
1569412800000,0.0345,0.0388,0.0335,0.0362,2455957.07,1569455999999,87229.536676,766,1098961.06,39020.664706,0
1569456000000,0.036000000000000004,0.0379,0.0349,0.0371,3321398.93,1569499199999,121738.259559,784,1704974.57,62310.651921,0
1569499200000,0.0372,0.0383,0.031,0.0328,8225663.7,1569542399999,279679.165527,2225,3299768.17,112134.884086,0
1569542400000,0.0328,0.0339,0.0315,0.0328,6531216.78,1569585599999,211943.490715,1070,3683708.7,119372.867656,0
1569585600000,0.0329,0.0348,0.032,0.0344,3155509.6,1569628799999,105398.414314,588,1302455.44,43489.004469,0
