Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1604923200000,1.0,1.03,0.99,0.9942,14.8052,1604966399999,14.75876322,845,4.5787,4.58765791,0
1604966400000,0.9942,1.00752,0.99129,1.00704,11.8552,1605009599999,11.84485407,158,11.1646,11.160037,0
1605009600000,1.0065,1.00869,0.99706,1.00398,1.2747,1605052799999,1.27880696,215,1.095,1.09910617,0
1605052800000,1.00397,1.00398,0.997,0.99839,0.7898,1605095999999,0.7890161,200,0.1521,0.15262204,0
1605096000000,0.99839,1.00299,0.99838,1.00142,0.5014,1605139199999,0.50104416,109,0.0407,0.04077135,0
1605139200000,1.00142,1.0029,0.99838,0.9999,0.1877,1605182399999,0.18795992,96,0.1306,0.1308917,0
1605182400000,0.9999,1.00244,0.99838,0.99953,2.1776,1605225599999,2.17418526,171,0.1007,0.10063606,0
1605225600000,0.99857,1.00075,0.99838,1.00074,0.9604,1605268799999,0.9605019,279,0.6386,0.63906381,0
1605268800000,1.00074,1.00075,0.999,1.00048,0.4505,1605311999999,0.4507967000000001,139,0.4192,0.41950949,0
1605312000000,1.00048,1.00075,0.999,0.999,0.3459,1605355199999,0.34579855,88,0.142,0.14210186,0
1605355200000,0.999,1.0006,0.999,0.999,0.1764,1605398399999,0.17630659,81,0.0526,0.05263024,0
1605398400000,0.999,1.0006,0.999,1.0006,0.9346,1605441599999,0.93370529,43,0.0252,0.02521469,0
1605441600000,1.0006,1.0006,0.997,1.0006,2.4399,1605484799999,2.43831956,142,1.2449,1.24559758,0
1605484800000,0.99824,1.0006,0.997,0.99701,1.1418,1605527999999,1.13867107,176,0.0817,0.08173838,0
1605528000000,0.99999,1.0005700000000002,0.997,0.99985,1.0672,1605571199999,1.0649867,162,0.2748,0.27494195,0
1605571200000,0.997,1.00056,0.997,0.997,2.4544,1605614399999,2.44722878,66,0.054000000000000006,0.05402069,0
1605614400000,0.99997,1.0005700000000002,0.997,0.99991,0.6368,1605657599999,0.63530159,150,0.1204,0.1204465,0
1605657600000,0.99991,1.0005700000000002,0.997,0.997,3.8797,1605700799999,3.86831462,217,0.0724,0.07241432,0
1605700800000,0.997,1.00049,0.997,0.99996,0.2914,1605743999999,0.29067020000000005,90,0.0422,0.04220423,0
1605744000000,0.99995,0.99999,0.99706,0.999,0.1435,1605787199999,0.14333873,158,0.0987,0.09866795,0
1605787200000,0.99901,1.0,0.99707,1.0,1.7566,1605830399999,1.75568526,101,1.4698,1.46972499,0
1605830400000,0.99999,1.0,0.997,0.99998,16.0863,1605873599999,16.04439102,226,2.0089,2.00887446,0
1605873600000,0.99998,0.99999,0.997,0.99994,2.7879,1605916799999,2.78341628,287,1.2624,1.26232617,0
1605916800000,0.99951,0.99994,0.99701,0.9993,2.4509,1605959999999,2.4489768,144,2.3349,2.33326595,0
1605960000000,0.99702,0.9994,0.997,0.99937,4.3932,1606003199999,4.38590209,190,2.4649,2.46338308,0
1606003200000,0.99937,0.99938,0.997,0.99844,2.2183,1606046399999,2.21275507,125,0.6376,0.63679338,0
1606046400000,0.997,0.99842,0.997,0.99814,1.2269,1606089599999,1.22378921,201,0.4347,0.43396581,0
1606089600000,0.997,0.9983,0.997,0.99822,2.0418,1606132799999,2.0358038,174,0.1026,0.1024214,0
1606132800000,0.99822,0.9983,0.997,0.9983,4.0182,1606175999999,4.01006055,111,3.1103,3.10484994,0
1606176000000,0.99845,0.99999,0.9981,0.9981,12.5896,1606219199999,12.58425316,100,11.9404,11.93628659,0
1606219200000,0.9991,0.99999,0.99701,0.99989,3.3994,1606262399999,3.39403395,83,0.7603,0.76028353,0
1606262400000,0.99701,0.99998,0.997,0.99898,1.5031,1606305599999,1.50079552,183,0.7432,0.74317127,0
1606305600000,0.99701,0.99999,0.997,0.99999,8.1049,1606348799999,8.10224057,180,7.2604,7.26025598,0
1606348800000,0.99999,0.99999,0.997,0.99998,1.7464,1606391999999,1.74314889,229,0.6814,0.68132172,0
1606392000000,0.99992,0.99998,0.99702,0.99721,0.3408,1606435199999,0.34002968,122,0.0705,0.07049573,0
1606435200000,0.99982,0.99998,0.99721,0.99721,0.2585,1606478399999,0.25813023,52,0.1289,0.12889104,0
1606478400000,0.9973,0.9973,0.99721,0.99721,0.132,1606521599999,0.13163457,35,0.0328,0.03271142,0
1606521600000,0.99721,0.99998,0.99701,0.99998,1.2963,1606564799999,1.29298256,39,0.126,0.12598439,0
1606564800000,0.99997,0.99999,0.99702,0.99982,0.6695,1606607999999,0.66915928,80,0.5561,0.55608683,0
1606608000000,0.99723,0.99982,0.99702,0.99979,0.0215,1606651199999,0.02146575,32,0.0106,0.0105978,0
1606651200000,0.99723,0.99976,0.99702,0.99702,0.2678,1606694399999,0.2676673,71,0.1948,0.19473793,0
1606694400000,0.99966,0.99999,0.99702,0.99966,2.6444,1606737599999,2.64378371,104,2.3195,2.31915403,0
1606737600000,1.0003,1.00099,0.997,1.00099,5.4699,1606780799999,5.46986311,199,4.0528,4.0561558,0
1606780800000,1.00099,1.00099,0.99984,0.99984,16.564,1606823999999,16.57946975,201,15.7606,15.77619762,0
