Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,0.002112,0.002171,0.002102,0.002151,214882.0,1546343999999,458.959754,76,91653.0,196.354276,0
1546344000000,0.00215,0.002238,0.002131,0.002238,220238.0,1546387199999,478.841152,72,104612.0,228.068943,0
1546387200000,0.002242,0.002271,0.002196,0.002271,565007.0,1546430399999,1263.324923,103,211455.0,476.325659,0
1546430400000,0.002273,0.002339,0.002247,0.002285,581582.0,1546473599999,1333.115277,217,301325.0,691.632542,0
1546473600000,0.002285,0.002301,0.002246,0.002301,318310.0,1546516799999,725.534034,72,108849.0,248.004142,0
1546516800000,0.002274,0.0022960000000000003,0.002235,0.002241,232609.0,1546559999999,528.3636290000002,42,64534.0,146.441021,0
1546560000000,0.0022440000000000003,0.002256,0.002194,0.00221,378735.0,1546603199999,848.73345,61,93335.0,207.688651,0
1546603200000,0.002205,0.002228,0.00214,0.002206,202567.0,1546646399999,441.792551,76,122698.0,267.147441,0
1546646400000,0.002224,0.002245,0.002148,0.002173,306279.0,1546689599999,668.809022,61,74399.0,164.04612,0
1546689600000,0.002179,0.0025800000000000003,0.00215,0.002306,2037214.0,1546732799999,4600.400576,546,1226002.0,2788.001646,0
1546732800000,0.0022960000000000003,0.002318,0.002236,0.002275,664084.0,1546775999999,1513.120159,266,318830.0,728.355493,0
1546776000000,0.002285,0.002454,0.00222,0.002272,2069982.0,1546819199999,4777.408428,562,634253.0,1476.686577,0
1546819200000,0.0022670000000000004,0.002381,0.0022600000000000003,0.00236,578847.0,1546862399999,1334.580044,222,190190.0,439.123424,0
1546862400000,0.002355,0.002409,0.002313,0.0023710000000000003,918213.0,1546905599999,2175.967153,399,307925.0,733.888732,0
1546905600000,0.002373,0.002373,0.002215,0.002284,266197.0,1546948799999,606.361316,161,118066.0,267.96767400000004,0
1546948800000,0.002275,0.002309,0.00216,0.002303,1512205.0,1546991999999,3381.9348549999995,419,355318.0,802.2455309999998,0
1546992000000,0.002297,0.002353,0.002225,0.00225,516246.0,1547035199999,1188.148695,146,346261.0,795.608432,0
1547035200000,0.00225,0.002354,0.002218,0.0023190000000000003,716952.0,1547078399999,1646.183503,160,446874.0,1028.943201,0
1547078400000,0.00229,0.002367,0.002177,0.002182,1241174.0,1547121599999,2775.068967,298,397616.0,889.5578800000002,0
1547121600000,0.0021920000000000004,0.0022,0.002124,0.00213,472321.0,1547164799999,1020.788351,138,63978.0,138.85978799999998,0
1547164800000,0.002122,0.002171,0.00205,0.002072,908210.0,1547207999999,1900.543354,117,346474.0,724.565809,0
1547208000000,0.002084,0.002108,0.002046,0.002102,360920.0,1547251199999,747.908383,142,114232.0,237.592327,0
1547251200000,0.002127,0.00213,0.002061,0.002082,229128.0,1547294399999,478.13089,40,47458.0,98.498004,0
1547294400000,0.002088,0.002205,0.00207,0.002125,563939.0,1547337599999,1209.314592,197,399140.0,853.767199,0
1547337600000,0.002141,0.002298,0.002135,0.002232,1199726.0,1547380799999,2625.760149,122,162541.0,359.270631,0
1547380800000,0.002238,0.002304,0.002066,0.002127,1189068.0,1547423999999,2571.453771,336,348402.0,764.4403980000002,0
1547424000000,0.002116,0.002129,0.002034,0.002053,785335.0,1547467199999,1633.675513,268,259412.0,541.404995,0
1547467200000,0.002049,0.002133,0.002029,0.002057,677771.0,1547510399999,1402.551892,124,180843.0,377.895029,0
1547510400000,0.002058,0.0021100000000000003,0.002047,0.002099,325609.0,1547553599999,674.499833,123,90053.0,187.811695,0
1547553600000,0.0020800000000000003,0.002099,0.002017,0.00202,530473.0,1547596799999,1091.335045,114,281719.0,582.134417,0
1547596800000,0.002023,0.002064,0.001958,0.002043,1043476.0,1547639999999,2115.634756,153,555249.0,1128.90079,0
1547640000000,0.002045,0.002068,0.002002,0.002021,285823.0,1547683199999,580.7950910000002,70,164402.0,334.622036,0
1547683200000,0.002008,0.002021,0.001959,0.002002,357630.0,1547726399999,713.921721,126,103269.0,207.277972,0
1547726400000,0.002015,0.002082,0.001935,0.002018,1686793.0,1547769599999,3410.613358,242,193522.0,392.589032,0
1547769600000,0.002014,0.002056,0.001913,0.002017,569570.0,1547812799999,1127.983834,189,167993.0,333.627865,0
1547812800000,0.00201,0.00201,0.001891,0.001921,972252.0,1547855999999,1879.064081,167,140479.0,275.165565,0
1547856000000,0.001918,0.002019,0.001916,0.002001,321412.0,1547899199999,637.268121,155,203634.0,404.535415,0
1547899200000,0.001974,0.002022,0.00191,0.001929,581850.0,1547942399999,1145.963742,153,145506.0,285.658769,0
1547942400000,0.001929,0.001959,0.001911,0.001911,409373.0,1547985599999,792.0686099999998,77,220517.0,425.910451,0
1547985600000,0.001907,0.001907,0.00182,0.001877,556851.0,1548028799999,1035.518102,187,227697.0,422.858837,0
1548028800000,0.001873,0.001889,0.001828,0.001836,401004.0,1548071999999,743.81611,73,178427.0,331.56992,0
1548072000000,0.001839,0.001871,0.001838,0.001861,255916.0,1548115199999,476.1548360000001,44,91408.0,170.34337,0
1548115200000,0.001846,0.001952,0.001831,0.001952,456088.0,1548158399999,851.5125300000002,109,107131.0,201.279609,0
1548158400000,0.001942,0.002228,0.001911,0.002191,3427019.0,1548201599999,7161.844029999998,817,1379682.0,2870.724531,0
1548201600000,0.002176,0.002284,0.002095,0.00221,1603237.0,1548244799999,3490.847681,644,661265.0,1443.768947,0
1548244800000,0.00221,0.002231,0.00202,0.00205,1276252.0,1548287999999,2696.945748,347,435101.0,923.000049,0
1548288000000,0.00205,0.002056,0.002007,0.002045,620840.0,1548331199999,1264.591873,151,200386.0,408.592836,0
1548331200000,0.00204,0.002075,0.002039,0.00204,307440.0,1548374399999,632.087934,76,115232.0,237.508852,0
1548374400000,0.002041,0.00205,0.001898,0.00192,564407.0,1548417599999,1126.30818,133,94185.0,185.847812,0
1548417600000,0.001915,0.001962,0.00188,0.001913,413881.0,1548460799999,791.5393339999998,132,203018.0,389.628469,0
1548460800000,0.001916,0.001959,0.00187,0.00187,247138.0,1548503999999,472.04512,118,142602.0,273.302296,0
1548504000000,0.00187,0.001898,0.001823,0.001838,487974.0,1548547199999,910.787928,151,195575.0,366.088644,0
