Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,3.44e-06,3.46e-06,3.36e-06,3.42e-06,17066095.0,1546343999999,58.24633696,1772,5158221.0,17.65405045,0
1546344000000,3.42e-06,3.53e-06,3.4e-06,3.53e-06,15292324.0,1546387199999,52.78696366,1578,7436413.0,25.71524382,0
1546387200000,3.53e-06,3.57e-06,3.46e-06,3.52e-06,22360811.0,1546430399999,78.57151893,2366,9676111.0,34.08081819,0
1546430400000,3.52e-06,3.65e-06,3.51e-06,3.59e-06,46220303.0,1546473599999,165.49525037,4080,20581423.0,73.85970758,0
1546473600000,3.59e-06,3.62e-06,3.500000000000001e-06,3.51e-06,22315580.0,1546516799999,79.16872682,1985,7938829.0,28.27798144,0
1546516800000,3.51e-06,3.53e-06,3.45e-06,3.45e-06,17939207.0,1546559999999,62.52055501,1607,5107036.0,17.83120693,0
1546560000000,3.46e-06,3.51e-06,3.45e-06,3.47e-06,14137598.0,1546603199999,49.15524968,1163,6121047.0,21.3230101,0
1546603200000,3.45e-06,3.49e-06,3.4e-06,3.44e-06,18340346.0,1546646399999,63.16215354,1987,6541298.0,22.57985848,0
1546646400000,3.45e-06,3.52e-06,3.43e-06,3.46e-06,23136520.0,1546689599999,80.34256335,1757,9538113.0,33.19985204,0
1546689600000,3.47e-06,3.79e-06,3.42e-06,3.63e-06,86662545.0,1546732799999,311.76981731,7606,42143360.0,152.13184127,0
1546732800000,3.63e-06,3.68e-06,3.53e-06,3.62e-06,34275833.0,1546775999999,123.22704854,3530,11929697.0,43.05850212,0
1546776000000,3.62e-06,3.76e-06,3.53e-06,3.57e-06,75634852.0,1546819199999,277.28127042,6291,33337944.0,122.71899654,0
1546819200000,3.57e-06,3.66e-06,3.51e-06,3.66e-06,33348326.0,1546862399999,119.62638126,3721,14587058.0,52.55737096,0
1546862400000,3.66e-06,3.76e-06,3.59e-06,3.68e-06,57339323.0,1546905599999,211.75718611,4559,26251382.0,97.24689592,0
1546905600000,3.7000000000000006e-06,3.71e-06,3.58e-06,3.71e-06,31729836.0,1546948799999,115.97929893,2719,12332017.0,45.23092229,0
1546948800000,3.7000000000000006e-06,3.84e-06,3.65e-06,3.78e-06,63506267.0,1546991999999,237.41757663,5136,27892134.0,104.59346708,0
