Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1594296000000,0.1702,0.2154,0.1647,0.1756,66695.76,1594339199999,11697.449670999997,2475,29831.55,5216.48764,0
1594339200000,0.1752,0.1793,0.1714,0.1715,31770.0,1594382399999,5562.861205,1841,15559.3,2721.876978,0
1594382400000,0.1721,0.1739,0.1626,0.1687,41993.18,1594425599999,7001.1178180000015,1980,16223.11,2698.914379,0
1594425600000,0.1686,0.1686,0.1531,0.1633,43277.5,1594468799999,6974.6891,1702,18861.12,3036.032039,0
1594468800000,0.1633,0.1643,0.1563,0.16,28165.4,1594511999999,4510.375907,1549,13479.87,2156.0953050000007,0
1594512000000,0.16,0.1717,0.1503,0.1547,37255.36,1594555199999,5764.891832,1603,17819.98,2763.400223,0
1594555200000,0.1545,0.156,0.15,0.1521,39453.48,1594598399999,6022.099247,1648,18586.05,2833.698516,0
1594598400000,0.1521,0.1588,0.145,0.1463,30890.39,1594641599999,4674.6289259999985,1554,15464.53,2339.711711,0
1594641600000,0.1465,0.1474,0.1381,0.1385,41184.92,1594684799999,5915.451718,2082,19503.82,2798.87332,0
1594684800000,0.1393,0.1404,0.1305,0.1353,48184.8,1594727999999,6516.612503,2323,23353.74,3155.354266,0
1594728000000,0.1354,0.1707,0.1326,0.1519,39699.96,1594771199999,5653.621144,1958,22035.35,3154.00472,0
1594771200000,0.1525,0.1668,0.1493,0.1575,61877.53,1594814399999,9782.099931,2878,31001.04,4915.001674,0
1594814400000,0.1579,0.1819,0.156,0.1726,72748.71,1594857599999,12259.192777,3693,40443.46,6800.604231,0
1594857600000,0.1722,0.1752,0.163,0.1734,55291.6,1594900799999,9352.403118,2765,25054.28,4256.714544,0
1594900800000,0.1734,0.1913,0.1734,0.1804,79965.46,1594943999999,14639.815655,3704,39789.84,7285.137142,0
1594944000000,0.1804,0.2039,0.1788,0.191,103781.99,1594987199999,19830.950514,4149,58038.49,11142.744148,0
1594987200000,0.1913,0.2206,0.1909,0.1937,69770.83,1595030399999,13847.794359,3237,34714.82,6898.562403,0
1595030400000,0.1941,0.198,0.1857,0.1948,52230.79,1595073599999,10009.953401,2628,26671.9,5108.222178,0
1595073600000,0.1945,0.2179,0.1935,0.1973,35370.51,1595116799999,7018.250141,1863,18151.25,3598.8878090000007,0
1595116800000,0.1974,0.2007,0.1876,0.1907,37568.85,1595159999999,7262.136410999998,1857,17275.66,3349.684857,0
1595160000000,0.1911,0.1933,0.183,0.1832,41041.45,1595203199999,7779.613812,1634,15915.98,3012.741888,0
