Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1594296000000,2.891,3.8,2.733,2.938,49553.557,1594339199999,145993.989596,1199,16689.927,48349.245333,0
1594339200000,2.945,3.004,2.608,2.841,59246.922,1594382399999,171779.751127,1779,25659.481,74178.829235,0
1594382400000,2.841,2.917,2.657,2.9160000000000004,84826.17199999999,1594425599999,237772.322016,2293,49241.394,137272.096994,0
1594425600000,2.906,2.9330000000000003,2.6630000000000003,2.795,57350.793,1594468799999,160103.553054,1843,28286.966,78735.073917,0
1594468800000,2.798,2.84,2.7,2.82,43361.532,1594511999999,121608.008286,1354,20464.159,57201.989863,0
1594512000000,2.802,3.0,2.744,2.832,20144.313,1594555199999,56817.700799,594,10014.622,28318.522776,0
1594555200000,2.83,2.841,2.738,2.779,13717.994,1594598399999,38277.135102,463,6374.4209999999985,17785.895857,0
1594598400000,2.781,2.834,2.6710000000000003,2.739,19371.824,1594641599999,53339.995694,730,9107.584,25066.993259,0
1594641600000,2.7430000000000003,2.7460000000000004,1.842,2.531,18901.665,1594684799999,47912.792428,533,7644.864,19517.236974,0
1594684800000,2.58,2.585,2.39,2.464,25854.233,1594727999999,63950.25614299999,791,12097.764,29933.898896,0
1594728000000,2.464,2.749,2.396,2.748,14754.217,1594771199999,37260.145959,443,8964.389000000001,22549.267352000006,0
1594771200000,2.7510000000000003,2.928,2.705,2.78,19420.308,1594814399999,55090.707502,540,10385.099,29514.148013,0
1594814400000,2.793,3.17,2.792,3.047,43160.887,1594857599999,129410.28616,1422,24722.436,73946.904306,0
1594857600000,3.025,3.0660000000000003,2.411,2.907,47434.43,1594900799999,138348.090394,1500,17608.884,51455.89707,0
1594900800000,2.917,3.5,2.917,3.096,79673.573,1594943999999,246297.489579,2708,42934.438,132111.24963,0
1594944000000,3.076,3.627,3.065,3.319,79646.455,1594987199999,263591.383128,2640,42008.267,138812.183323,0
1594987200000,3.333,3.644,3.282,3.301,50964.905,1595030399999,175076.049209,1850,24723.081,84560.443149,0
1595030400000,3.313,3.384,3.097,3.321,56916.493,1595073599999,185504.091799,2078,30198.47,98245.208278,0
1595073600000,3.333,3.5,3.307,3.407,20641.29,1595116799999,69785.92489299999,723,10481.699,35409.472292,0
1595116800000,3.4,3.4810000000000003,3.35,3.4130000000000003,22288.827,1595159999999,75629.33449400001,673,9839.533,33361.370482,0
1595160000000,3.41,3.466,3.15,3.3,44885.56400000001,1595203199999,151223.976969,1445,22455.655,75497.304573,0
1595203200000,3.2910000000000004,4.204,3.28,3.839,82364.605,1595246399999,302713.869266,2489,42284.434,155455.861288,0
1595246400000,3.832,3.925,3.585,3.852,23299.781000000006,1595289599999,87144.233066,886,11682.081,43692.351065,0
1595289600000,3.845,4.22,3.659,3.659,24569.001,1595332799999,95707.701724,937,12653.53,49327.265981,0
1595332800000,3.633,3.731,3.341,3.485,16042.785,1595375999999,56609.707251,635,8670.293,30568.239175,0
1595376000000,3.457,3.651,3.418,3.519,16518.099,1595419199999,58750.795838,477,3217.693,11357.169741,0
1595419200000,3.58,3.779,3.472,3.497,6523.026999999999,1595462399999,23910.685172,362,3096.1620000000007,11330.83631,0
1595462400000,3.458,3.617,3.447,3.505,5549.195,1595505599999,19674.66994,215,2646.748,9434.1594,0
1595505600000,3.505,3.518,3.24,3.342,10681.825,1595548799999,35911.282077,625,5917.017,19880.996897,0
1595548800000,3.342,3.628,3.254,3.44,60193.63400000001,1595591999999,210537.637561,2356,31533.568,110129.896213,0
1595592000000,3.438,3.445,3.2880000000000003,3.335,12682.713,1595635199999,43092.844692,373,2647.931,8957.892896,0
1595635200000,3.3310000000000004,3.4930000000000003,3.3,3.426,13541.837,1595678399999,46377.11229200001,457,8837.89,30277.811495,0
1595678400000,3.429,3.708,3.423,3.544,16214.063,1595721599999,58336.04069,594,7258.357,26019.545888,0
1595721600000,3.534,3.536,3.01,3.068,36494.471,1595764799999,120717.818057,1103,10953.151000000002,36081.41004700001,0
1595764800000,3.07,3.2230000000000003,2.846,3.128,28579.654,1595807999999,88960.18500900002,953,14865.469,46212.448946,0
1595808000000,3.167,3.222,2.765,2.991,41986.270999999986,1595851199999,123271.70168,1414,17301.039,50922.79372,0
1595851200000,2.998,3.0980000000000003,2.68,2.8760000000000003,46949.32700000001,1595894399999,134967.76296400002,1378,19845.277,57071.52738300001,0
1595894400000,2.882,3.415,2.882,3.215,73075.955,1595937599999,234838.740466,2193,35998.286,115715.71687,0
1595937600000,3.208,3.404,3.0610000000000004,3.377,71625.615,1595980799999,233388.468242,2284,37924.836,123772.258928,0
1595980800000,3.381,3.386,3.18,3.199,43818.604000000014,1596023999999,144491.130683,1317,20389.479,67037.68209,0
1596024000000,3.2,3.389,3.071,3.272,54798.654,1596067199999,176812.902168,2023,26850.243,86636.658941,0
1596067200000,3.277,3.516,3.264,3.4160000000000004,89062.25,1596110399999,303794.93706,2282,48071.622,163726.08583599998,0
1596110400000,3.4160000000000004,3.683,3.347,3.547,83874.47099999999,1596153599999,291976.694696,2354,41862.184,145602.396349,0
1596153600000,3.5460000000000003,3.778,3.497,3.769,57099.596,1596196799999,207492.191909,1575,29441.27,106808.259891,0
1596196800000,3.766,3.966,3.632,3.96,104485.24,1596239999999,395992.680412,3239,51380.874,194444.275562,0
1596240000000,3.958,4.107,3.871,3.94,107958.237,1596283199999,432727.806994,3276,54170.209,216867.48762800003,0
1596283200000,3.943,3.985,3.5980000000000003,3.798,98251.074,1596326399999,374030.001974,3328,50309.194,191270.965062,0
1596326400000,3.798,4.021,3.515,3.847,114774.696,1596369599999,441312.750281,4486,60013.474,230790.481287,0
1596369600000,3.846,4.436,3.802,4.263,152162.092,1596412799999,624499.502366,4202,79031.32400000001,324318.29948000005,0
1596412800000,4.267,4.386,4.075,4.168,111371.28,1596455999999,465101.211605,3119,55172.361,230278.764536,0
1596456000000,4.163,4.331,4.1,4.151,87553.65,1596499199999,367089.665561,3070,43432.625,181971.292291,0
1596499200000,4.149,4.397,4.149,4.267,51492.179,1596542399999,221690.420628,1873,25259.115,108633.630875,0
1596542400000,4.258,4.57,4.1560000000000015,4.476,9542.915,1596585599999,41354.28043,458,4645.425,20053.11281,0
1596585600000,4.467,4.664,4.373,4.622,7266.6309999999985,1596628799999,32773.192042,333,3446.356,15571.473975,0
1596628800000,4.63,4.65,4.296,4.345,29386.839,1596671999999,131956.005543,961,14727.628,66271.871141,0
1596672000000,4.347,4.529,4.306,4.42,13602.419,1596715199999,59803.726242,455,8817.657,38764.615723,0
1596715200000,4.438,4.718,4.384,4.452,19424.557,1596758399999,87815.574275,710,10929.069,49592.812166,0
1596758400000,4.45,4.622,4.449,4.458,11692.573,1596801599999,53024.721213,419,7864.479,35722.088138,0
1596801600000,4.461,4.475,4.146,4.3,18328.477,1596844799999,79094.596738,585,8145.1190000000015,34972.039484,0
1596844800000,4.294,4.423,4.206,4.4,12796.495,1596887999999,54777.411322,392,8226.451,35224.076328,0
1596888000000,4.4,4.453,4.33,4.355,8565.096,1596931199999,37628.459647,339,2845.303,12503.319892,0
1596931200000,4.353,4.371,4.184,4.302,11266.942,1596974399999,48250.032718,352,5120.595,21884.332181,0
1596974400000,4.282,4.377,4.226,4.254,10837.354,1597017599999,46493.799551,415,5249.8409999999985,22530.668579,0
1597017600000,4.249,4.891,4.249,4.76,40708.055,1597060799999,187361.426468,1495,27588.974,127236.433002,0
1597060800000,4.768,5.037,4.725,4.822,18500.717,1597103999999,89913.407616,946,11196.631,54440.469522,0
