Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1586476800000,2.989e-05,0.00015397,2.989e-05,0.000135,21780819.0,1586519999999,2526.30966416,85103,10614060.0,1235.23881585,0
1586520000000,0.00013499,0.00019455,0.00013125,0.00013792,47378877.0,1586563199999,7630.53326579,181611,22737113.0,3668.24122793,0
1586563200000,0.00013793,0.00015333,0.00012198,0.00013647,17789040.0,1586606399999,2448.41669563,67977,8833582.0,1220.49225595,0
1586606400000,0.00013604,0.00013998,0.00011151,0.00011455,11432889.0,1586649599999,1427.64330266,45618,5005757.0,627.29143468,0
1586649600000,0.00011467,0.0001312,0.00011042,0.00011648,9655426.0,1586692799999,1160.34618972,39197,5067525.0,609.65767915,0
1586692800000,0.0001165,0.0001355,0.00011261,0.00012726,12328655.0,1586735999999,1539.05470128,56578,5973854.0,747.18066787,0
1586736000000,0.00012772,0.00012822,0.000115,0.00012271,5642507.0,1586779199999,686.88306462,25753,2340302.0,285.69027133,0
1586779200000,0.00012246,0.00012419,0.000113,0.00011375,5308017.0,1586822399999,634.47821175,24042,2501372.0,300.48576786,0
1586822400000,0.00011357,0.0001165,0.00010355,0.00010699,4472409.0,1586865599999,488.30111852,20522,1805999.0,196.78167527,0
1586865600000,0.00010682,0.00010708,9.105e-05,9.7e-05,8173544.0,1586908799999,805.00645417,33007,3861641.0,379.05815881,0
1586908800000,9.713e-05,0.00010353,9.414e-05,0.00010078,4461585.0,1586951999999,442.21000529,24086,2293994.0,227.9268987,0
1586952000000,0.00010083,0.00010095,9.201e-05,9.627e-05,3951528.0,1586995199999,381.73459282,19943,1819578.0,176.50829484,0
1586995200000,9.611e-05,0.00011365,9.497e-05,0.00010907,13192722.0,1587038399999,1408.60477909,44751,7015635.0,748.58399557,0
1587038400000,0.00010909,0.00010965,9.6e-05,9.725e-05,4667327.0,1587081599999,478.32605715,24366,1916299.0,196.93392815,0
1587081600000,9.713e-05,0.00010094,9.312e-05,9.394e-05,2682082.0,1587124799999,259.96436548,14307,1092659.0,106.30663069,0
1587124800000,9.402e-05,9.69e-05,9.304e-05,9.321e-05,1675085.0,1587167999999,159.25680552,10045,689719.0,65.70683219,0
1587168000000,9.325e-05,9.644e-05,9.313e-05,9.38e-05,1136796.0,1587211199999,107.45805966,6728,546199.0,51.64519917,0
1587211200000,9.37e-05,9.985e-05,9.31e-05,9.348e-05,2857946.0,1587254399999,274.89025289,12779,1230389.0,118.70377146,0
1587254400000,9.348e-05,9.392e-05,8.813e-05,9.127e-05,1996647.0,1587297599999,179.82494682,11629,877390.0,78.9891477,0
1587297600000,9.127e-05,9.154e-05,8.329e-05,8.477e-05,2401196.0,1587340799999,207.21828202,8697,913543.0,78.91081104,0
1587340800000,8.478e-05,8.913e-05,8.383e-05,8.462e-05,1732676.0,1587383999999,149.32998784,5436,868902.0,75.03716486,0
1587384000000,8.445e-05,8.474e-05,7.624e-05,7.777e-05,2809981.0,1587427199999,224.90187425,9668,1133453.0,90.59742233,0
1587427200000,7.777e-05,7.983e-05,7.455e-05,7.685e-05,1632584.0,1587470399999,126.45700033,6761,710716.0,55.19391972,0
1587470400000,7.643e-05,8.695e-05,7.428e-05,8.44e-05,4507739.0,1587513599999,367.67988309,15242,2515685.0,205.41428801,0
1587513600000,8.422e-05,9.25e-05,8.27e-05,8.957e-05,5209084.0,1587556799999,453.20400493,20058,2665218.0,232.17529559,0
1587556800000,8.973e-05,9.983e-05,8.897e-05,9.727e-05,10253899.0,1587599999999,962.9034301,39381,5149879.0,484.67855464,0
1587600000000,9.727e-05,9.822e-05,8.45e-05,8.763e-05,7083699.0,1587643199999,633.31965895,28404,2901562.0,260.08754407,0
1587643200000,8.763e-05,8.769e-05,8.109999999999999e-05,8.426e-05,3287880.0,1587686399999,276.97056697,12431,1204371.0,101.62955619,0
1587686400000,8.445e-05,8.635e-05,8.176e-05,8.239e-05,1294160.0,1587729599999,108.28379175,6712,531342.0,44.61463245,0
1587729600000,8.238e-05,8.879e-05,8.132e-05,8.328e-05,2373074.0,1587772799999,203.06936734,14770,1092183.0,93.64978843,0
