Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1599782400000,37068.0,37068.0,33481.0,33619.0,270.462,1599825599999,9154152.53,13,268.464,9086981.77,0
1599825600000,33608.0,35388.0,33608.0,35388.0,1446.957,1599868799999,50130812.42,45,1025.202,35510765.52,0
1599868800000,35430.0,35578.0,33637.0,35405.0,2682.6,1599911999999,94019799.64,85,1068.76,37382655.43,0
1599912000000,35136.0,36766.0,34107.0,35808.0,2270.1020000000008,1599955199999,81730478.61,70,689.5110000000002,24834679.3,0
1599955200000,35456.0,39416.0,34526.0,36594.0,10890.911,1599998399999,404137732.95,221,3860.956,147460497.81,0
1599998400000,35960.0,35979.0,33202.0,35466.0,3853.998,1600041599999,132341617.97,111,643.344,22283405.02,0
1600041600000,35310.0,36540.0,33884.0,35608.0,670.5980000000002,1600084799999,23638839.09,47,575.311,20290005.04,0
1600084800000,35838.0,37344.0,35264.0,35888.0,3169.968,1600127999999,113769249.29,67,433.36,16037824.72,0
1600128000000,35567.0,36970.0,34831.0,34831.0,535.864,1600171199999,19175950.56,50,177.074,6401723.16,0
1600171200000,34909.0,35394.0,30335.0,30335.0,3983.493,1600214399999,129418450.88,76,78.96300000000002,2693771.84,0
1600214400000,29704.0,29994.0,28238.0,28857.0,947.708,1600257599999,27396828.29,38,82.99600000000002,2371329.87,0
1600257600000,28897.0,28919.0,26220.0,27322.0,2564.619,1600300799999,70436508.28,56,7.654,210489.83,0
1600300800000,28114.0,29172.0,27253.0,29118.0,1355.894,1600343999999,37737798.37,42,303.1090000000001,8605213.12,0
1600344000000,28631.0,29180.0,27505.0,28551.0,1302.5,1600387199999,36965271.25,62,91.671,2639928.16,0
1600387200000,28626.0,31218.0,28103.0,30728.0,1318.544,1600430399999,39929356.28,69,492.956,15096616.65,0
1600430400000,30827.0,33457.0,28963.0,30328.0,3198.804,1600473599999,101348560.66,88,2016.118,64240708.32,0
1600473600000,30993.0,31616.0,29298.0,29298.0,2603.029,1600516799999,78917938.8,41,337.463,10487171.72,0
1600516800000,29231.0,31308.0,29231.0,29926.0,1387.711,1600559999999,42209688.51,49,713.0189999999999,21868379.81,0
1600560000000,28765.0,29330.0,28700.0,28880.0,2330.46,1600603199999,67810706.33,38,1680.408,49050512.8,0
1600603200000,27657.0,27942.0,13501.0,27110.0,1012.139,1600646399999,28029136.78,41,738.42,20492659.12,0
1600646400000,27731.0,28157.0,25118.0,25220.0,1757.48,1600689599999,46644771.65,44,345.326,9468717.8,0
1600689600000,24617.0,25937.0,24387.0,25722.0,319.811,1600732799999,8110855.47,12,7.745,197706.1,0
1600732800000,26069.0,26364.0,25206.0,25910.0,1098.159,1600775999999,28401090.9,36,591.484,15410934.26,0
1600776000000,26310.0,27757.0,26277.0,27757.0,1023.56,1600819199999,27424652.93,29,916.322,24535511.51,0
1600819200000,27555.0,27620.0,26320.0,27620.0,572.722,1600862399999,15329779.64,21,348.773,9267443.8,0
1600862400000,27426.0,28064.0,26033.0,26033.0,787.278,1600905599999,21412649.01,26,35.979,977672.73,0
1600905600000,26746.0,27396.0,26692.0,26931.0,302.237,1600948799999,8133625.55,12,224.293,6036357.55,0
1600948800000,27005.0,29759.0,27005.0,29566.0,261.243,1600991999999,7454295.89,12,81.789,2387769.96,0
