Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1571961600000,4.037e-05,8e-05,3.21e-05,3.53e-05,25785522.0,1572004799999,1072.571799,34550,10382126.0,439.76021032,0
1572004800000,3.523e-05,4.64e-05,3.515e-05,4.334e-05,27135606.0,1572047999999,1111.42196245,32197,13213013.0,543.17195067,0
1572048000000,4.338e-05,4.385e-05,2.555e-05,3.216e-05,20396515.0,1572091199999,661.40065021,18570,9598531.0,309.77221222,0
1572091200000,3.215e-05,3.256e-05,2.785e-05,2.84e-05,8607406.0,1572134399999,256.38746701,13437,3598083.0,107.20214916,0
1572134400000,2.843e-05,2.952e-05,2.247e-05,2.426e-05,7956287.0,1572177599999,206.04096119,12293,3298746.0,85.30999165,0
1572177600000,2.43e-05,2.544e-05,2.189e-05,2.219e-05,8458653.0,1572220799999,200.44910294,10087,3668816.0,86.89337775,0
1572220800000,2.225e-05,2.541e-05,2.08e-05,2.394e-05,6062588.0,1572263999999,140.21653355,6734,2740438.0,63.41736591,0
1572264000000,2.395e-05,2.665e-05,2.303e-05,2.31e-05,9941453.0,1572307199999,249.55408684,11303,4225022.0,106.37002925,0
1572307200000,2.315e-05,2.406e-05,2.242e-05,2.292e-05,3132516.0,1572350399999,72.32786197,4079,1436014.0,33.18118644,0
1572350400000,2.292e-05,2.32e-05,2.205e-05,2.24e-05,2479923.0,1572393599999,56.23745869,3519,1105362.0,25.12659369,0
1572393600000,2.245e-05,2.307e-05,2.139e-05,2.164e-05,2223724.0,1572436799999,49.78037852,3022,1092132.0,24.55724199,0
1572436800000,2.166e-05,2.198e-05,2.098e-05,2.145e-05,1763899.0,1572479999999,37.99232917,3216,665722.0,14.35334017,0
1572480000000,2.149e-05,2.327e-05,2.014e-05,2.179e-05,6629127.0,1572523199999,145.62531901,5985,3241863.0,71.23586899,0
1572523200000,2.177e-05,2.213e-05,2.058e-05,2.106e-05,3133750.0,1572566399999,66.30788194,2824,1331258.0,28.24867492,0
1572566400000,2.106e-05,2.166e-05,2.061e-05,2.08e-05,2820611.0,1572609599999,59.52435798,2843,1305548.0,27.74022091,0
1572609600000,2.08e-05,2.121e-05,2.039e-05,2.061e-05,2520149.0,1572652799999,52.48255931,2300,1090611.0,22.78738292,0
1572652800000,2.061e-05,2.184e-05,2.04e-05,2.139e-05,2711471.0,1572695999999,57.66969607,3993,1320600.0,28.07317682,0
1572696000000,2.131e-05,2.138e-05,2.054e-05,2.084e-05,2361182.0,1572739199999,49.27614822,2475,924491.0,19.3056319,0
1572739200000,2.093e-05,2.416e-05,2.081e-05,2.391e-05,9582365.0,1572782399999,218.74675044,10445,4809312.0,109.64530787,0
1572782400000,2.391e-05,2.826e-05,2.342e-05,2.54e-05,16506327.0,1572825599999,422.32126118,25885,7920810.0,202.47849937,0
1572825600000,2.531e-05,2.68e-05,2.377e-05,2.4100000000000006e-05,12267499.0,1572868799999,308.09662696,13667,4838955.0,122.03620312,0
1572868800000,2.4100000000000006e-05,2.586e-05,2.345e-05,2.367e-05,8641869.0,1572911999999,210.87367064,7555,3373719.0,82.56448383,0
1572912000000,2.356e-05,2.4e-05,2.273e-05,2.397e-05,3824291.0,1572955199999,88.66526400000002,3673,1805317.0,42.03294995,0
1572955200000,2.396e-05,2.455e-05,2.253e-05,2.368e-05,8125089.0,1572998399999,190.80514749,7225,3251769.0,76.33470751,0
1572998400000,2.372e-05,2.454e-05,2.279e-05,2.333e-05,3573547.0,1573041599999,84.39054289,3598,1472719.0,34.92174046,0
1573041600000,2.333e-05,2.349e-05,2.169e-05,2.172e-05,3900430.0,1573084799999,88.71634762,4333,1303112.0,29.79487845,0
1573084800000,2.18e-05,2.314e-05,2.172e-05,2.233e-05,4297002.0,1573127999999,96.59341754,4462,1967082.0,44.23011736,0
1573128000000,2.237e-05,2.42e-05,2.187e-05,2.39e-05,6758447.0,1573171199999,154.92865261,7985,3024098.0,69.42104764,0
1573171200000,2.39e-05,2.39e-05,2.24e-05,2.321e-05,4155357.0,1573214399999,96.06082409,3660,1498794.0,34.66223503,0
1573214400000,2.321e-05,2.495e-05,2.286e-05,2.429e-05,7470054.0,1573257599999,177.28991613,6412,3316255.0,78.91646875,0
1573257600000,2.428e-05,2.541e-05,2.386e-05,2.437e-05,5560251.0,1573300799999,136.47788419,4950,2309361.0,56.76690572,0
1573300800000,2.435e-05,2.439e-05,2.293e-05,2.323e-05,3933670.0,1573343999999,92.60035577,3065,1522601.0,35.87764056,0
1573344000000,2.323e-05,2.356e-05,2.307e-05,2.322e-05,1302693.0,1573387199999,30.30668704,1346,650180.0,15.1539052,0
