Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1571961600000,0.3012,0.5,0.2,0.2689,11385890.18,1572004799999,3479780.443306,8664,5777673.19,1748106.120708,0
1572004800000,0.2668,0.3994,0.2668,0.376,11157549.53,1572047999999,3790949.95376,12437,5403707.08,1842421.071773,0
1572048000000,0.376,0.3795,0.2601,0.2968,8005513.93,1572091199999,2432647.150739,8630,3262957.39,998331.376496,0
1572091200000,0.2966,0.3009,0.2503,0.262,3676199.94,1572134399999,1005132.298389,4448,1350026.27,370303.530453,0
1572134400000,0.262,0.2736,0.2156,0.2253,2973299.13,1572177599999,720207.942325,3302,1083969.73,264494.175337,0
1572177600000,0.2253,0.2363,0.2084,0.2121,3230782.83,1572220799999,728450.785456,3393,1139816.93,258714.624354,0
1572220800000,0.2136,0.2381,0.205,0.2241,3304775.41,1572263999999,724216.77198,3171,1384720.52,304660.37228400004,0
1572264000000,0.227,0.25,0.2123,0.2126,4664101.89,1572307199999,1091214.000119,4075,1909859.29,448505.551159,0
1572307200000,0.2133,0.2229,0.2103,0.21600000000000005,1686222.33,1572350399999,364586.908335,1531,637038.58,138062.184106,0
1572350400000,0.2158,0.2224,0.2076,0.211,1590976.53,1572393599999,337422.283469,1576,603803.63,128545.585506,0
1572393600000,0.211,0.214,0.1944,0.1969,1725856.6,1572436799999,355114.5181760001,1455,608935.03,126223.10617,0
1572436800000,0.1976,0.2004,0.1932,0.1974,999542.99,1572479999999,196586.18476,1076,440248.02,86820.022412,0
1572480000000,0.1962,0.2096,0.1816,0.1984,3316575.81,1572523199999,654446.3403970001,1861,1494857.47,293836.843591,0
1572523200000,0.1985,0.204,0.1914,0.1921,2021263.58,1572566399999,395958.071981,1079,633446.69,124705.769951,0
1572566400000,0.193,0.1967,0.1869,0.19,1581622.62,1572609599999,302813.803567,802,813254.13,156544.249389,0
1572609600000,0.19,0.1939,0.1875,0.1911,946097.84,1572652799999,180447.914004,697,366712.39,70229.72718300001,0
1572652800000,0.1903,0.2024,0.1881,0.1981,1831266.99,1572695999999,359185.790314,1593,838464.61,164139.251298,0
