Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1602720000000,10.0,10.091,8.372,8.716000000000001,15720.45,1602763199999,146035.11211,213,7924.49,73518.14667999999,0
1602763200000,8.597000000000001,9.405,8.499,8.696,15240.24,1602806399999,134889.4016,370,7815.84,69690.31482,0
1602806400000,8.692,9.006,7.713999999999999,8.185,45719.09,1602849599999,392155.97759,412,29194.39,253516.08969,0
1602849600000,8.2,8.7,7.9220000000000015,8.232000000000001,34668.65,1602892799999,279171.03236,182,2028.91,16510.51804,0
1602892800000,8.232999999999999,8.75,7.849,8.692,9986.03,1602935999999,82350.395,172,7325.79,60273.76172,0
1602936000000,8.687999999999999,9.011,8.368,8.538,7253.09,1602979199999,62730.07395,340,4540.08,39393.10713,0
1602979200000,8.507,9.0,8.446,8.857999999999997,8817.45,1603022399999,78024.81822,239,6806.65,60553.08267999999,0
1603022400000,8.907,8.945,8.5,8.826,7909.34,1603065599999,68874.98838,217,2048.3,17947.76953,0
1603065600000,8.857999999999997,8.857999999999997,8.036,8.373,6474.05,1603108799999,53684.17356,202,3931.2,32610.38722,0
1603108800000,8.379,8.669,8.091000000000001,8.222000000000001,6202.58,1603151999999,51801.96117,205,3766.95,31560.84162,0
1603152000000,8.124,8.325,6.9,6.996,23184.26,1603195199999,174191.46773,521,7066.44,52725.32738,0
1603195200000,7.06,7.357,6.39,6.891,63255.51,1603238399999,423413.14587,580,20826.45,140040.44934000002,0
1603238400000,6.938,7.1720000000000015,6.35,6.8,42809.24,1603281599999,290043.55995,549,21556.85,147077.31285999998,0
1603281600000,6.7,8.031,6.5779999999999985,7.292000000000002,72779.45,1603324799999,528742.3681399999,457,46760.16,337195.12806,0
1603324800000,7.292000000000002,8.2,6.795,8.15,30278.49,1603367999999,236832.69498000003,406,16879.03,133295.49463,0
1603368000000,8.014,8.352,7.228,7.505,35808.69,1603411199999,280099.10995,555,19166.49,149999.5062,0
1603411200000,7.546,7.925,7.2,7.586,26859.83,1603454399999,199533.32936,527,22782.83,169049.32029,0
1603454400000,7.586,7.84,6.2,6.734,48380.94,1603497599999,324482.09441,461,28156.72,188853.7916,0
1603497600000,6.671,6.782,6.472,6.683,25274.02,1603540799999,165188.63123,362,8058.55,52844.81286000001,0
1603540800000,6.682,6.869,6.32,6.542000000000002,24606.55,1603583999999,163816.34031,271,14955.03,99530.44214,0
1603584000000,6.4220000000000015,6.572,6.033,6.051,25977.72,1603627199999,162312.82594,287,15553.88,96977.60031,0
1603627200000,6.0939999999999985,6.34,6.0,6.073,17890.1,1603670399999,110193.84183,401,13942.92,85975.26388,0
1603670400000,5.9860000000000015,6.101,5.1080000000000005,5.294,52291.74,1603713599999,287326.53842,536,24135.71,133884.03962,0
1603713600000,5.252999999999999,5.615,4.033,4.988,196228.97,1603756799999,903536.4689,1411,98980.05,461678.89494,0
1603756800000,4.987,5.105,3.95,4.4,59462.14,1603799999999,265889.19422,655,25982.23,117052.58101,0
1603800000000,4.397,5.224,4.317,4.787,183854.81,1603843199999,859301.66765,948,61266.27,285855.70997,0
1603843200000,4.788,4.82,3.8,3.944,272034.69,1603886399999,1107501.1180200002,1691,149444.86,601493.23234,0
1603886400000,3.903,4.28,2.7110000000000003,2.979,329256.42,1603929599999,1137523.93447,2073,149422.67,525243.2841899999,0
1603929600000,3.016,3.317,2.7,2.7,315040.96,1603972799999,971179.83295,1634,175272.89,543736.97696,0
1603972800000,2.714,3.05,2.393,2.915,1305339.95,1604015999999,3629881.58425,4010,652116.29,1812370.3334,0
