Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1595246400000,1.85,2.002,1.4269999999999998,1.655,4490992.467,1595289599999,7576547.173216999,20637,2563209.285,4352966.769135,0
1595289600000,1.658,1.715,1.3730000000000002,1.531,3774556.828,1595332799999,5818325.245897,26781,1817525.707,2806361.576341,0
1595332800000,1.531,1.749,1.461,1.655,3823570.431,1595375999999,6200264.278722,23401,1732474.013,2814482.127321,0
1595376000000,1.653,1.7819999999999998,1.621,1.686,2728957.782,1595419199999,4661155.544451,23529,1234552.2340000002,2104559.371617,0
1595419200000,1.686,1.7,1.481,1.536,3311968.318,1595462399999,5242576.154167,23066,1875678.087,2980008.940253,0
1595462400000,1.537,1.653,1.505,1.614,2159921.822,1595505599999,3463415.944432,14775,1102233.627,1770610.329111,0
1595505600000,1.617,1.6769999999999998,1.528,1.632,2728008.787,1595548799999,4367772.293119,16935,1762192.001,2824482.006369,0
1595548800000,1.632,1.834,1.5759999999999998,1.831,3309697.47,1595591999999,5623689.598607,20995,1599476.251,2716601.289135,0
1595592000000,1.832,2.13,1.783,2.033,13948116.707,1595635199999,26928612.130465,69992,6629343.531,12763139.839846,0
1595635200000,2.03,2.275,1.999,2.156,5434022.511,1595678399999,11686956.680943,45591,2676649.755,5760043.378029,0
1595678400000,2.156,2.281,1.921,1.996,4910577.819,1595721599999,10437578.958641,36460,2524816.182,5355339.025893,0
1595721600000,1.998,2.0340000000000003,1.805,1.908,4557291.944,1595764799999,8782428.061742999,30049,2256931.665,4346713.66409,0
1595764800000,1.911,2.062,1.819,1.902,3571888.475,1595807999999,6977815.378847,26389,1662239.267,3248118.209207,0
1595808000000,1.904,1.962,1.55,1.6230000000000002,7299407.845,1595851199999,12261508.500578,49363,3424481.616000001,5765426.84843,0
1595851200000,1.6230000000000002,1.645,1.257,1.5119999999999998,15473674.13,1595894399999,22586000.984138,74965,7904291.709,11542526.977493,0
1595894400000,1.516,1.729,1.4409999999999998,1.5590000000000002,7386999.732999999,1595937599999,11748296.531995,43898,3732856.914,5943766.259348,0
1595937600000,1.5619999999999998,1.6840000000000002,1.501,1.6130000000000002,5696637.977999999,1595980799999,9109949.539361,27307,3015674.506,4838900.909,0
1595980800000,1.614,1.756,1.513,1.535,4970578.804,1596023999999,8005343.757715,24385,2347441.785,3787207.581566,0
1596024000000,1.534,1.61,1.4980000000000002,1.567,4057906.02,1596067199999,6241872.144486,21383,1981892.493,3061411.770138,0
1596067200000,1.568,1.619,1.513,1.529,2335839.446,1596110399999,3637722.24892,13086,1121923.479,1751358.763196,0
