Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1582761600000,0.5032,0.5032,0.5032,0.5032,20.0,1582804799999,10.064,1,20.0,10.064,0
1582804800000,0.5348,0.5455,0.4988,0.5262,16052.65,1582847999999,8280.344467,120,1905.56,1003.77654,0
1582848000000,0.5152,0.5308,0.4887,0.495,7909.05,1582891199999,4031.601654,76,3051.16,1582.295423,0
1582891200000,0.4847,0.5239,0.4838,0.5084,13196.6,1582934399999,6712.694299,136,4882.58,2488.590748,0
1582934400000,0.5085,0.5306,0.5085,0.5249,15919.6,1582977599999,8333.088097,120,6634.37,3476.350221,0
1582977600000,0.5246,0.5246,0.4914,0.4914,12354.12,1583020799999,6287.023848,92,2520.67,1268.859006,0
1583020800000,0.4947,0.5013,0.4915,0.4961,12539.55,1583063999999,6233.572952,70,1638.33,814.0769349999998,0
1583064000000,0.505,0.505,0.4638,0.4711,27973.53,1583107199999,13340.5459,169,10897.45,5239.9401560000015,0
1583107200000,0.4761,0.5089,0.4761,0.5069,10081.33,1583150399999,4969.692626,81,4223.5,2059.944887,0
1583150400000,0.5024,0.5233,0.4999,0.5152,20195.34,1583193599999,10375.821469,125,9946.66,5112.794429,0
1583193600000,0.5112,0.5175,0.5045,0.5136,10154.59,1583236799999,5174.250853000001,68,4985.23,2545.837355,0
1583236800000,0.5157,0.5301,0.5006,0.5006,19174.09,1583279999999,9838.877235,133,8278.73,4263.910899,0
1583280000000,0.5028,0.526,0.5007,0.5109,21989.68,1583323199999,11284.89731,144,15058.53,7737.6893599999985,0
1583323200000,0.5099,0.5294,0.5073,0.5285,19793.91,1583366399999,10249.222351,145,10988.58,5714.157786,0
1583366400000,0.5288,0.5734,0.5241,0.5594,37835.11,1583409599999,20691.287119,242,15403.61,8387.47354,0
1583409600000,0.5591,0.5595,0.5282,0.5304,14363.31,1583452799999,7837.71016,92,7040.96,3816.882917,0
1583452800000,0.5295,0.5479,0.5275,0.5364,21966.94,1583495999999,11718.280434,128,6658.8,3564.619566,0
1583496000000,0.5303,0.5406,0.522,0.5406,18971.45,1583539199999,10033.461029,95,3591.61,1909.358309,0
1583539200000,0.542,0.5449,0.5314,0.5331,6747.84,1583582399999,3623.164137,47,1133.89,610.373595,0
1583582400000,0.5365,0.5629,0.5199,0.5241,42177.48,1583625599999,22607.274265,215,17784.23,9593.940341,0
1583625600000,0.5223,0.5236,0.505,0.5115,18145.99,1583668799999,9276.608804,87,6826.69,3488.851797,0
1583668800000,0.5089,0.5089,0.4276,0.4285,48450.34,1583711999999,22316.886405,258,14677.24,6749.205832,0
1583712000000,0.4287,0.4438,0.4141,0.4148,18477.23,1583755199999,7913.782748,111,5727.63,2467.316045,0
1583755200000,0.4241,0.4552,0.3964,0.4392,39983.59,1583798399999,16843.149407,217,18379.08,7719.832576000002,0
1583798400000,0.4418,0.4493,0.4272,0.4493,15098.76,1583841599999,6584.337139,76,6434.51,2819.292306,0
1583841600000,0.4502,0.463,0.422,0.4417,16055.92,1583884799999,7115.922318999998,107,8313.81,3682.297292,0
1583884800000,0.4407,0.4459,0.4336,0.4364,4951.57,1583927999999,2173.736902,36,2157.21,946.154903,0
1583928000000,0.4318,0.4318,0.3901,0.4146,45792.6,1583971199999,18678.231091,184,25407.03,10276.087633,0
1583971200000,0.4098,0.4098,0.2332,0.2428,125135.67,1584014399999,39102.498156,666,35763.0,11158.847902,0
1584014400000,0.253,0.2744,0.1794,0.1817,110797.59,1584057599999,25627.585023,481,26633.93,6886.277338,0
1584057600000,0.1958,0.239,0.115,0.233,247653.96,1584100799999,40232.870659,643,92939.36,16561.058308,0
1584100800000,0.2356,0.2578,0.1895,0.2277,48385.63,1584143999999,10473.203344,158,21196.84,4626.738587,0
1584144000000,0.2201,0.2396,0.2197,0.2206,20100.2,1584187199999,4573.448756000002,50,7313.44,1664.405437,0
1584187200000,0.2167,0.2216,0.1975,0.2005,16733.87,1584230399999,3498.942113,53,2649.04,551.936244,0
1584230400000,0.2047,0.2153,0.2047,0.2124,3867.5,1584273599999,820.3115429999998,9,998.97,210.1677,0
1584273600000,0.2185,0.2204,0.1981,0.2055,10929.66,1584316799999,2275.882982,43,1676.99,347.077581,0
1584316800000,0.205,0.2116,0.1685,0.1748,48028.27,1584359999999,9032.301153,54,30211.73,5796.33942,0
1584360000000,0.1818,0.1948,0.1711,0.183,16299.04,1584403199999,2948.002135,37,8397.21,1525.015721,0
1584403200000,0.1924,0.2186,0.1924,0.2108,11150.89,1584446399999,2303.418265,28,1890.57,406.594328,0
1584446400000,0.1981,0.2854,0.1981,0.2409,116483.28,1584489599999,29061.119591,293,45831.56,11502.15307,0
1584489600000,0.2416,0.2583,0.222,0.2242,55729.03,1584532799999,13208.306421,199,24467.22,5817.340674,0
1584532800000,0.225,0.2393,0.221,0.2284,51882.13,1584575999999,11802.128847,167,16641.84,3803.246385,0
1584576000000,0.229,0.2513,0.2264,0.245,43128.98,1584619199999,10318.4027,127,16685.14,3980.95383,0
1584619200000,0.2472,0.272,0.2472,0.2547,101878.09,1584662399999,26102.375752,213,71259.47,18227.095415,0
1584662400000,0.2543,0.2928,0.2491,0.2686,79274.65,1584705599999,21742.71709,271,44856.01,12201.731918,0
1584705600000,0.2689,0.273,0.2083,0.2329,67325.43,1584748799999,16496.265373,233,13503.36,3344.615366,0
1584748800000,0.2337,0.2398,0.2246,0.2309,37447.61,1584791999999,8566.322684,104,7781.97,1788.4303710000004,0
1584792000000,0.2342,0.2515,0.2332,0.2379,28137.69,1584835199999,6786.932823,97,11354.26,2756.080909,0
1584835200000,0.2455,0.2533,0.2401,0.2414,19416.7,1584878399999,4814.410757,72,8876.32,2197.181482,0
1584878400000,0.2393,0.2393,0.217,0.2179,37106.03,1584921599999,8356.539621,153,11951.14,2721.216138,0
1584921600000,0.2173,0.2218,0.2118,0.2187,13875.35,1584964799999,3006.789627,43,6596.75,1439.236728,0
1584964800000,0.2196,0.2398,0.2196,0.2315,49201.29,1585007999999,11285.22205,123,33732.0,7735.2663269999985,0
1585008000000,0.2382,0.2423,0.233,0.2391,11539.08,1585051199999,2752.495326,46,5081.74,1216.337116,0
1585051200000,0.2367,0.2389,0.2238,0.2374,21917.25,1585094399999,5060.348815,62,6519.68,1532.047127,0
1585094400000,0.2348,0.2567,0.2345,0.2432,27529.77,1585137599999,6745.7589,108,14431.41,3508.975588,0
1585137600000,0.241,0.246,0.2372,0.243,11237.79,1585180799999,2696.92351,40,3037.0,732.176874,0
1585180800000,0.2484,0.2539,0.2402,0.243,17772.06,1585223999999,4390.653084000001,68,5621.92,1402.004769,0
1585224000000,0.2455,0.2636,0.2291,0.2545,54680.02,1585267199999,13820.256162,183,22542.75,5741.907576,0
1585267200000,0.2558,0.2592,0.2397,0.2457,53180.76,1585310399999,13332.242262,168,26176.33,6576.898165,0
1585310400000,0.2444,0.2537,0.2302,0.2305,87501.06,1585353599999,21273.511029,288,33112.01,8067.776694,0
1585353600000,0.2302,0.234,0.22,0.2281,54082.24,1585396799999,12291.757088,185,31976.86,7279.700697,0
1585396800000,0.227,0.2283,0.2194,0.2256,24347.19,1585439999999,5444.75255,77,8042.72,1800.600928,0
1585440000000,0.2256,0.2307,0.2237,0.2266,9527.32,1585483199999,2172.961075,29,7695.94,1757.396251,0
1585483200000,0.2269,0.2299,0.2119,0.2136,31728.95,1585526399999,6981.053295999999,106,6174.81,1343.84984,0
1585526400000,0.2133,0.2369,0.2133,0.2369,14771.41,1585569599999,3343.89377,48,9846.78,2240.851303,0
1585569600000,0.2355,0.24,0.231,0.2345,13056.82,1585612799999,3064.297518,48,10047.3,2356.120264,0
1585612800000,0.2361,0.243,0.2361,0.2401,2135.8,1585655999999,515.105773,12,1414.59,342.39447,0
1585656000000,0.2341,0.2448,0.2334,0.2428,9837.05,1585699199999,2352.960204,43,5917.05,1417.27861,0
1585699200000,0.2374,0.2438,0.2334,0.24,35011.26,1585742399999,8318.975201000001,71,7853.83,1875.699163,0
1585742400000,0.2404,0.2588,0.2342,0.2588,26558.08,1585785599999,6387.882971,72,18349.67,4437.316881000002,0
1585785600000,0.2589,0.2866,0.2558,0.2804,47021.07,1585828799999,12677.044781,148,19574.32,5360.042368,0
1585828800000,0.279,0.279,0.256,0.2594,40816.3,1585871999999,10967.476365,163,7451.9,2003.11746,0
1585872000000,0.2584,0.2869,0.2584,0.2827,31228.62,1585915199999,8656.817493,111,16812.61,4654.23639,0
1585915200000,0.2834,0.2834,0.2592,0.2652,14677.66,1585958399999,3979.462265,79,4106.52,1097.387523,0
1585958400000,0.2653,0.2712,0.261,0.2625,13985.36,1586001599999,3722.65306,45,1765.95,468.54160999999993,0
