Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1577836800000,9.2e-07,9.4e-07,9.2e-07,9.3e-07,16112031.0,1577879999999,14.96800439,460,6266962.0,5.8288522,0
1577880000000,9.3e-07,9.5e-07,9.3e-07,9.4e-07,43707753.0,1577923199999,41.1850315,945,26267013.0,24.84959078,0
1577923200000,9.4e-07,9.6e-07,9.3e-07,9.5e-07,19982870.0,1577966399999,18.89542433,1329,9793449.0,9.30470359,0
1577966400000,9.5e-07,9.5e-07,9.1e-07,9.4e-07,54889146.0,1578009599999,50.85560572,1287,21157790.0,19.6151807,0
1578009600000,9.3e-07,9.4e-07,8.8e-07,9.000000000000002e-07,55248053.0,1578052799999,49.88393369,1839,13737867.0,12.42856901,0
1578052800000,8.9e-07,9.2e-07,8.7e-07,8.8e-07,121276345.0,1578095999999,109.34823408,1980,86286229.0,78.20326299,0
1578096000000,8.7e-07,8.9e-07,8.7e-07,8.9e-07,17005552.0,1578139199999,14.97852318,474,8291035.0,7.31579144,0
1578139200000,8.8e-07,9.000000000000002e-07,8.7e-07,8.8e-07,24749990.0,1578182399999,21.79412103,715,9395757.0,8.3257352,0
1578182400000,8.8e-07,8.8e-07,8.6e-07,8.7e-07,8985280.0,1578225599999,7.78212167,416,3407134.0,2.96433312,0
1578225600000,8.7e-07,9.1e-07,8.6e-07,9.000000000000002e-07,52412176.0,1578268799999,46.21957229,1130,25538417.0,22.57730976,0
1578268800000,8.9e-07,9.000000000000002e-07,8.3e-07,8.5e-07,46526650.0,1578311999999,39.8991632,1248,18105210.0,15.47145403,0
1578312000000,8.5e-07,8.6e-07,8.3e-07,8.3e-07,28469399.0,1578355199999,24.10468961,771,8191186.0,6.97566956,0
1578355200000,8.3e-07,8.4e-07,7.8e-07,7.9e-07,132653748.0,1578398399999,106.83778186,4600,66818557.0,53.88898679,0
1578398400000,8e-07,8.1e-07,7.4e-07,7.6e-07,58186372.0,1578441599999,45.03781148,1214,17705657.0,13.85684613,0
1578441600000,7.6e-07,7.7e-07,7.2e-07,7.3e-07,66740445.0,1578484799999,49.55823865,1968,29799562.0,22.29007893,0
1578484800000,7.3e-07,7.5e-07,7.1e-07,7.3e-07,66899900.0,1578527999999,48.7244188,1023,28506598.0,20.85315756,0
1578528000000,7.3e-07,7.7e-07,7.2e-07,7.5e-07,73118669.0,1578571199999,54.57802924,2401,42532850.0,31.93486992,0
1578571200000,7.5e-07,7.9e-07,7.3e-07,7.5e-07,256369023.0,1578614399999,194.9443764,3041,154983856.0,118.09857171,0
1578614400000,7.5e-07,7.8e-07,7.4e-07,7.5e-07,59344280.0,1578657599999,45.11413779,1483,30828515.0,23.53016678,0
1578657600000,7.6e-07,7.7e-07,6.8e-07,6.9e-07,122398016.0,1578700799999,87.93172218,3854,41212978.0,29.86668481,0
1578700800000,6.9e-07,7.1e-07,6.8e-07,7.1e-07,46388278.0,1578743999999,32.49231701,944,19361415.0,13.6422555,0
1578744000000,7.1e-07,7.2e-07,6.8e-07,7e-07,45550441.0,1578787199999,31.91305132,1206,21329377.0,14.98792464,0
1578787200000,7.1e-07,7.3e-07,6.8e-07,7.1e-07,133859008.0,1578830399999,94.51100134,2413,91645078.0,64.94225427,0
1578830400000,7e-07,7.5e-07,6.9e-07,7.2e-07,145267762.0,1578873599999,103.56517724,3908,85441546.0,61.12298237,0
1578873600000,7.2e-07,8e-07,7.1e-07,7.7e-07,334450125.0,1578916799999,254.5736858,7160,232030601.0,177.86079689,0
1578916800000,7.7e-07,7.8e-07,7.4e-07,7.6e-07,136261672.0,1578959999999,103.53465723,2630,59225614.0,45.27551974,0
1578960000000,7.6e-07,7.8e-07,6.6e-07,6.8e-07,298366660.0,1579003199999,209.61007123,6248,110066304.0,77.87237183,0
1579003200000,6.8e-07,6.9e-07,6.2e-07,6.3e-07,298139581.0,1579046399999,193.17014873,3520,160595811.0,104.54254787,0
1579046400000,6.3e-07,6.7e-07,6.2e-07,6.4e-07,138350856.0,1579089599999,89.50664806,3172,72830950.0,47.54907356,0
1579089600000,6.4e-07,6.6e-07,6.1e-07,6.2e-07,153195495.0,1579132799999,96.85243657,2267,61858608.0,39.41457488,0
1579132800000,6.1e-07,6.6e-07,6.1e-07,6.2e-07,182447152.0,1579175999999,115.40599144,5113,116982128.0,74.4832392,0
1579176000000,6.3e-07,6.4e-07,6.1e-07,6.1e-07,61231371.0,1579219199999,38.02304013,1436,29738359.0,18.56468025,0
1579219200000,6.1e-07,6.4e-07,5.7e-07,5.9e-07,155455534.0,1579262399999,93.05750368,4156,69832262.0,42.05409514,0
1579262400000,5.9e-07,6e-07,5.7e-07,5.9e-07,61456999.0,1579305599999,36.12985831,1346,32633263.0,19.26220899,0
1579305600000,5.9e-07,6e-07,5.8e-07,6e-07,31285938.0,1579348799999,18.55639023,575,16818318.0,10.04249929,0
1579348800000,5.9e-07,6e-07,5.7e-07,5.8e-07,57707054.0,1579391999999,33.95995635,1076,27528151.0,16.30438755,0
1579392000000,5.7e-07,6.1e-07,5.5e-07,5.9e-07,132489944.0,1579435199999,76.51911598,2649,74626878.0,43.59707361,0
1579435200000,5.9e-07,6e-07,5.5e-07,5.7e-07,83827586.0,1579478399999,47.71178087,1319,31064917.0,17.71383297,0
1579478400000,5.7e-07,5.9e-07,5.5e-07,5.6e-07,53884325.0,1579521599999,30.40631433,2514,29446031.0,16.68031633,0
1579521600000,5.6e-07,5.8e-07,5.5e-07,5.6e-07,46435184.0,1579564799999,26.28057245,747,25876622.0,14.70788237,0
1579564800000,5.7e-07,5.8e-07,5.5e-07,5.6e-07,40525094.0,1579607999999,22.7323797,484,18619684.0,10.47746944,0
1579608000000,5.6e-07,6.5e-07,5.5e-07,6e-07,298810267.0,1579651199999,180.09597517,4572,175613829.0,106.32373191,0
1579651200000,6e-07,6.1e-07,5.8e-07,5.9e-07,81009723.0,1579694399999,48.29450891,1471,40654542.0,24.34680696,0
1579694400000,5.8e-07,5.9e-07,5.6e-07,5.7e-07,115839473.0,1579737599999,66.26196643,1858,48212282.0,27.72670656,0
1579737600000,5.7e-07,5.9e-07,5.6e-07,5.8e-07,53517129.0,1579780799999,30.83665468,1681,32009566.0,18.52335852,0
1579780800000,5.8e-07,5.9e-07,5.6e-07,5.6e-07,53603677.0,1579823999999,30.89150622,1158,23627816.0,13.70849879,0
1579824000000,5.7e-07,5.7e-07,5.5e-07,5.5e-07,18676575.0,1579867199999,10.43064174,578,5650109.0,3.16989479,0
1579867200000,5.6e-07,5.7e-07,5.5e-07,5.6e-07,16662555.0,1579910399999,9.33103995,315,4206434.0,2.36528313,0
1579910400000,5.6e-07,6e-07,5.5e-07,5.9e-07,83278548.0,1579953599999,48.53423553,1408,55522975.0,32.43208282,0
1579953600000,5.9e-07,6.2e-07,5.8e-07,6.1e-07,93762116.0,1579996799999,56.18866833,1587,61970749.0,37.27123951,0
1579996800000,6.1e-07,6.2e-07,5.8e-07,5.9e-07,76250577.0,1580039999999,45.56914675,1739,31812225.0,19.08246241,0
1580040000000,6e-07,6.4e-07,5.9e-07,6e-07,100846658.0,1580083199999,61.81552067,2852,56332646.0,34.79274451,0
1580083200000,6e-07,6e-07,5.6e-07,5.7e-07,104115401.0,1580126399999,60.09072505,1506,39159844.0,22.78995732,0
1580126400000,5.8e-07,5.8e-07,5.6e-07,5.7e-07,47248624.0,1580169599999,26.83568875,946,10772172.0,6.15346863,0
1580169600000,5.7e-07,5.7e-07,5.3e-07,5.6e-07,123878948.0,1580212799999,68.09758973,4456,58471525.0,32.27496861,0
1580212800000,5.6e-07,5.6e-07,5e-07,5.1e-07,113410502.0,1580255999999,60.20846063,2646,45628923.0,24.47639837,0
1580256000000,5.2e-07,5.2e-07,4.9e-07,5.1e-07,38792290.0,1580299199999,19.51792358,961,10585683.0,5.3825174,0
1580299200000,5e-07,5.3e-07,4.9e-07,5.1e-07,232777576.0,1580342399999,120.0264898,1616,196440383.0,101.52793428,0
1580342400000,5e-07,5.2e-07,5e-07,5e-07,27653841.0,1580385599999,14.09827943,330,18111667.0,9.24098021,0
1580385600000,5.1e-07,5.2e-07,4.7e-07,4.7e-07,70091615.0,1580428799999,34.47222699,1207,21613574.0,10.81398346,0
1580428800000,4.8e-07,5.1e-07,4.7e-07,5e-07,42939231.0,1580471999999,21.29100208,534,30927691.0,15.34788666,0
1580472000000,5.1e-07,5.1e-07,4.9e-07,5.1e-07,55134757.0,1580515199999,27.50268437,753,23077092.0,11.56397473,0
1580515200000,5.1e-07,5.1e-07,4.9e-07,5.1e-07,34404318.0,1580558399999,17.20036291,812,18670896.0,9.33887106,0
1580558400000,5e-07,5.1e-07,4.9e-07,5e-07,36774951.0,1580601599999,18.40682934,642,17775572.0,8.91451708,0
1580601600000,5.1e-07,5.2e-07,4.9e-07,5e-07,76903896.0,1580644799999,38.92429634,2247,44297817.0,22.51814062,0
1580644800000,5e-07,5.1e-07,4.9e-07,5e-07,27454838.0,1580687999999,13.64797263,634,14943117.0,7.47421308,0
1580688000000,5e-07,5.1e-07,4.9e-07,5e-07,31038233.0,1580731199999,15.50147195,734,19011582.0,9.51297388,0
1580731200000,4.9e-07,5.3e-07,4.9e-07,5.1e-07,117382375.0,1580774399999,59.89781678,1494,55044797.0,28.33590607,0
1580774400000,5.1e-07,5.4e-07,4.9e-07,5.3e-07,157368329.0,1580817599999,80.69852556,1942,83502946.0,43.17102066,0
1580817600000,5.3e-07,5.4e-07,5.1e-07,5.4e-07,82651045.0,1580860799999,43.52530087,1276,41916086.0,22.15325797,0
1580860800000,5.3e-07,5.4e-07,5e-07,5.1e-07,63098850.0,1580903999999,32.87835774,1095,17976629.0,9.44739992,0
1580904000000,5.1e-07,5.2e-07,4.9e-07,5.1e-07,68031206.0,1580947199999,34.36723605,1059,26725798.0,13.61901878,0
1580947200000,5.1e-07,5.7e-07,5e-07,5.6e-07,186094420.0,1580990399999,100.43240672,3384,123760329.0,67.21581724,0
1580990400000,5.6e-07,6.6e-07,5.4e-07,5.9e-07,691838738.0,1581033599999,412.38580173,11021,382843204.0,229.49091951,0
1581033600000,6e-07,6.3e-07,5.7e-07,6e-07,243676862.0,1581076799999,145.38987915,4284,99371364.0,59.79236587,0
1581076800000,6e-07,6.1e-07,5.7e-07,5.8e-07,164863959.0,1581119999999,96.54733011,2676,64243444.0,37.91481641,0
1581120000000,5.8e-07,5.9e-07,5.4e-07,5.7e-07,145292938.0,1581163199999,80.91451044,2664,54211077.0,30.44990393,0
1581163200000,5.7e-07,5.8e-07,5.2e-07,5.3e-07,152436709.0,1581206399999,83.27403457,2371,64451372.0,35.40751248,0
1581206400000,5.3e-07,5.3e-07,4.9e-07,5.2e-07,231537686.0,1581249599999,118.1710171,4983,126822167.0,65.00348642,0
1581249600000,5.2e-07,5.5e-07,5.2e-07,5.2e-07,80035069.0,1581292799999,42.53852625,1702,47372118.0,25.27920048,0
1581292800000,5.3e-07,5.5e-07,5.2e-07,5.3e-07,59178218.0,1581335999999,31.44639309,1401,25196521.0,13.47954626,0
1581336000000,5.3e-07,5.7e-07,5.2e-07,5.6e-07,124360454.0,1581379199999,67.78611491,2049,78412789.0,42.87840777,0
1581379200000,5.7e-07,6.1e-07,5.4e-07,5.9e-07,101307532.0,1581422399999,58.46288532,3162,62707884.0,36.53454943,0
1581422400000,5.9e-07,5.9e-07,5.4e-07,5.7e-07,167890543.0,1581465599999,94.80499178,3750,71345759.0,40.49590065,0
1581465600000,5.7e-07,6.2e-07,5.7e-07,6e-07,210853910.0,1581508799999,125.75122282,4809,122748025.0,73.40937878,0
1581508800000,6e-07,7.3e-07,5.8e-07,6.7e-07,681714656.0,1581551999999,456.46739875,13251,386482766.0,259.59971856,0
1581552000000,6.7e-07,7e-07,6.2e-07,6.4e-07,347847712.0,1581595199999,227.31727706,6452,173751282.0,114.43325578,0
1581595200000,6.4e-07,7e-07,6.4e-07,6.5e-07,213792243.0,1581638399999,144.06704528,4420,122036391.0,82.62459557,0
