Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1601510400000,12.26,43.99,12.03,12.18,72096.4,1601553599999,995825.3158,80,32765.21,515675.2316,0
1601553600000,12.19,12.65,11.55,11.77,417190.98,1601596799999,4966709.781,218,76244.97,910659.4759,0
1601596800000,11.91,11.91,11.01,11.28,380164.85,1601639999999,4383639.7877,128,163678.03,1911198.6573,0
1601640000000,11.28,12.17,11.23,12.0,568288.38,1601683199999,6696589.2,156,267315.33,3150868.4060000004,0
1601683200000,12.04,12.95,11.9,12.89,564903.67,1601726399999,7085607.3398,198,271956.74,3396867.6197,0
1601726400000,12.88,13.39,12.63,12.7,545455.62,1601769599999,7127152.7519,230,304171.78,3981983.7649,0
1601769600000,12.7,12.87,12.36,12.42,213435.27,1601812799999,2671788.8969,101,66530.84,833061.3932,0
1601812800000,12.43,12.56,12.23,12.34,362248.59,1601855999999,4489437.5214,164,160381.66,1996665.0671,0
1601856000000,12.44,12.59,12.24,12.26,475702.58,1601899199999,5858371.2747,219,231315.58,2856240.2305,0
1601899200000,12.29,12.44,12.2,12.35,859381.58,1601942399999,10579246.5548,372,387424.95,4776246.3754,0
1601942400000,12.34,12.46,11.97,12.08,593906.68,1601985599999,7281677.0069,388,193445.16,2380826.0864,0
1601985600000,12.1,12.45,11.93,12.08,741726.18,1602028799999,9027169.9912,354,189464.03,2329727.5586,0
1602028800000,12.0,12.03,11.72,11.89,468480.93,1602071999999,5586456.3034,321,234002.81,2799004.9386,0
1602072000000,11.89,12.09,11.88,12.01,412119.77,1602115199999,4941042.3432,404,258621.6,3104350.8004,0
1602115200000,11.95,11.99,11.77,11.81,546003.77,1602158399999,6470651.6418,352,163787.02,1941144.3947,0
1602158400000,11.89,12.18,11.83,11.95,1417680.47,1602201599999,17074090.2482,900,593339.62,7157649.8273,0
1602201600000,12.04,12.2,11.92,12.12,358683.09,1602244799999,4315975.9388,309,193969.09,2339219.0941,0
1602244800000,12.16,12.33,12.13,12.24,557785.15,1602287999999,6815111.3625,480,248293.64,3032869.1809,0
1602288000000,12.33,12.83,12.28,12.44,1136004.76,1602331199999,14260673.14,328,383096.81,4806158.0196,0
1602331200000,12.5,12.69,12.24,12.24,524587.2,1602374399999,6585931.4673,264,178402.07,2243092.1286,0
1602374400000,12.25,12.49,12.12,12.27,152949.72,1602417599999,1880755.7682,149,82242.73,1013534.6693,0
1602417600000,12.39,12.45,12.25,12.36,332418.5,1602460799999,4103232.4458,322,171751.33,2123243.0871,0
1602460800000,12.29,12.45,12.09,12.17,375611.77,1602503999999,4612367.0752,218,172759.66,2128638.8765,0
1602504000000,12.15,13.0,12.13,12.73,1642619.84,1602547199999,20814165.1237,662,358686.05,4503022.2463,0
1602547200000,12.69,12.85,12.59,12.71,864927.22,1602590399999,11008752.7679,287,249007.59,3176922.9752,0
1602590400000,12.72,12.77,12.48,12.58,1110516.4,1602633599999,13968501.0787,400,198097.42,2499092.9602,0
1602633600000,12.58,12.75,12.52,12.57,395642.06,1602676799999,4987705.2863,226,50537.61,639708.3294,0
1602676800000,12.51,12.7,12.41,12.57,1295639.07,1602719999999,16226851.1192,477,147841.47,1857669.0701,0
1602720000000,12.55,12.58,12.36,12.44,420553.42,1602763199999,5252454.2522,241,131521.76,1640579.4082,0
1602763200000,12.48,12.7,12.36,12.45,1457264.29,1602806399999,18161521.4989,545,358609.28,4485314.8935,0
1602806400000,12.38,12.55,12.01,12.14,1108179.02,1602849599999,13484775.1129,329,117223.2,1433789.3305,0
1602849600000,12.14,12.21,11.98,12.1,1408996.11,1602892799999,16983124.0487,302,71583.48,865188.8395,0
