Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1602244800000,0.5243,0.75,0.4503,0.5048,1235728.58,1602287999999,675088.14025,4004,396849.7,224598.985983,0
1602288000000,0.5041,0.5196,0.415,0.4888,243790.42,1602331199999,114747.008575,689,107863.96,51435.63519,0
1602331200000,0.4888,0.489,0.4320000000000001,0.4332,198589.2,1602374399999,91417.343744,546,139478.92,64622.124684,0
1602374400000,0.4329,0.4536,0.4202,0.4279,15631.57,1602417599999,6722.128836,100,5698.39,2462.636715,0
1602417600000,0.4281,0.48,0.4058,0.4641,55935.22,1602460799999,24153.858603,162,22153.36,9800.590251,0
1602460800000,0.4703,0.5129,0.45,0.4623,38525.04,1602503999999,18653.344191,177,28722.09,13992.098162,0
1602504000000,0.4624,0.5127,0.4588,0.4646,28819.35,1602547199999,13672.000027000002,164,6770.32,3250.272798,0
1602547200000,0.451,0.4648,0.4374,0.454,16182.32,1602590399999,7316.347539,137,3889.88,1777.7994989999993,0
1602590400000,0.454,0.454,0.418,0.4331,22947.73,1602633599999,9936.508472,72,1410.28,623.331281,0
1602633600000,0.4389,0.5,0.424,0.4549,111336.07,1602676799999,50576.392778,298,44804.59,20810.671466,0
1602676800000,0.454,0.4995,0.4339,0.4555,79394.08,1602719999999,36237.219499,411,14334.7,6522.049685,0
1602720000000,0.454,0.454,0.41,0.4264,32681.84,1602763199999,14076.784811,121,4503.62,1973.670596,0
1602763200000,0.4263,0.4386,0.4,0.4284,50337.04,1602806399999,21173.367324000006,180,27661.71,11707.554937,0
1602806400000,0.4286,0.4467,0.3729,0.4099,35954.97,1602849599999,14699.384201,121,9070.65,3738.776093,0
1602849600000,0.409,0.4367,0.3948,0.4204,56261.62,1602892799999,22963.381365,219,35486.96,14508.186827,0
1602892800000,0.4088,0.42,0.3767,0.4116,42698.59,1602935999999,17304.248288,83,19368.34,7788.544832,0
1602936000000,0.4026,0.4199,0.4023,0.4199,1102.04,1602979199999,451.336326,12,524.6,217.423294,0
1602979200000,0.4199,0.4227,0.4149,0.4157,6248.4,1603022399999,2617.652729,60,3838.66,1611.16154,0
1603022400000,0.4156,0.4414,0.4071,0.4128,17366.85,1603065599999,7207.839598,47,16341.08,6784.205642,0
1603065600000,0.4138,0.45,0.4138,0.4448,20691.83,1603108799999,9050.10548,95,8481.8,3741.93995,0
