Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1547769600000,2.77,2.77,2.0,2.6037,23219.52,1547812799999,59821.732917,372,14216.16,36758.280927,0
1547812800000,2.6037,2.6039,2.4884,2.5235,63753.87,1547855999999,161031.124151,1364,29882.79,75493.65924400001,0
1547856000000,2.53,2.6052,2.5041,2.5834,43343.9,1547899199999,111033.689296,783,21592.17,55379.6164,0
1547899200000,2.5879,2.64,2.5451,2.5718,56626.4,1547942399999,147155.073767,993,24033.57,62609.16181000001,0
1547942400000,2.5539,2.6085,2.4932,2.4982,44905.29,1547985599999,114562.432004,665,22214.99,56983.129291,0
1547985600000,2.5085,2.5225,2.42,2.5071,40680.49,1548028799999,100401.522754,607,21900.88,54114.249872,0
1548028800000,2.5071,2.58,2.4545,2.5105,35689.95,1548071999999,89421.565358,523,13336.68,33400.404905,0
1548072000000,2.5238,2.5346,2.4697,2.5001,30771.4,1548115199999,76896.064331,478,12159.77,30408.814751,0
1548115200000,2.51,2.5374,2.3747,2.4673,52794.31,1548158399999,129323.044878,669,33512.36,82009.04174500001,0
1548158400000,2.4693,2.81,2.4691,2.7684,279052.83,1548201599999,745831.744008,3666,117708.0,315172.373381,0
1548201600000,2.7694,3.212,2.7115,3.0086,649424.71,1548244799999,1947655.811455,9272,291856.34,871142.5192440002,0
1548244800000,3.0087,3.18,2.95,3.0269,567475.29,1548287999999,1734149.538749,7868,251408.52,769737.033557,0
1548288000000,3.0239,3.091,2.7804,2.8974,353538.46,1548331199999,1028803.211917,4997,156088.6,454131.602963,0
1548331200000,2.9,3.008,2.5980000000000003,2.7189,490286.55,1548374399999,1382694.51312,6500,221054.45,628998.6090439999,0
1548374400000,2.7189,2.8342,2.7,2.82,193142.14,1548417599999,533934.454863,3107,108669.18,301157.299425,0
1548417600000,2.82,2.9199,2.7262,2.7792,234055.07,1548460799999,663385.6779199999,3946,123021.33,349652.088582,0
1548460800000,2.78,2.8237,2.73,2.7609,70413.29,1548503999999,194620.612521,1179,27347.71,75647.601282,0
1548504000000,2.7532,2.7789,2.6516,2.677,118482.74,1548547199999,320046.189818,1955,40144.44,108583.057432,0
1548547200000,2.6713,2.8798,2.6,2.8602,196763.33,1548590399999,535858.300942,2832,98553.33,270304.797037,0
1548590400000,2.86,2.9399,2.6103,2.6726,363194.72,1548633599999,1011690.876304,5545,179321.4,501810.036724,0
1548633600000,2.6729,2.75,2.485,2.6037,404769.53,1548676799999,1059301.304922,4475,167720.18,438794.425952,0
