Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1564617600000,2.1e-05,2.989e-05,1.439e-05,1.444e-05,23059454122.0,1564660799999,376254.62835579,44354,11408015202.0,186899.84125651,0
1564660800000,1.444e-05,1.58e-05,1.4e-05,1.552e-05,8858656511.0,1564703999999,128970.39573683,23440,4867854136.0,70882.62433811,0
1564704000000,1.552e-05,1.566e-05,1.331e-05,1.39e-05,4113328438.0,1564747199999,60285.26430363,10174,1939772541.0,28551.37422484,0
1564747200000,1.387e-05,1.439e-05,1.335e-05,1.406e-05,2531973253.0,1564790399999,34884.65567385,6483,1229242642.0,16953.41218654,0
1564790400000,1.405e-05,1.419e-05,1.308e-05,1.317e-05,2263340948.0,1564833599999,30946.93322966,6923,953145894.0,13062.04896285,0
1564833600000,1.318e-05,1.349e-05,1.3e-05,1.314e-05,1689268368.0,1564876799999,22194.04679546,5993,842465405.0,11097.86840787,0
1564876800000,1.314e-05,1.537e-05,1.314e-05,1.381e-05,4368066593.0,1564919999999,62470.68418478,12834,2372265292.0,34079.40948329,0
1564920000000,1.382e-05,1.44e-05,1.334e-05,1.355e-05,2468449587.0,1564963199999,33923.70385564,9345,1159076474.0,16000.15880245,0
1564963200000,1.355e-05,1.403e-05,1.304e-05,1.307e-05,3217559332.0,1565006399999,42781.72341396,8176,2008740630.0,26723.99083467,0
1565006400000,1.307e-05,1.358e-05,1.3e-05,1.315e-05,3085433748.0,1565049599999,40704.37227762,7065,2239643231.0,29580.463418700005,0
1565049600000,1.316e-05,1.361e-05,1.29e-05,1.295e-05,3008206115.0,1565092799999,39784.87473365,7260,1996654873.0,26469.68521551,0
1565092800000,1.296e-05,1.375e-05,1.282e-05,1.325e-05,3379482350.0,1565135999999,44964.64419798,8391,2411912047.0,32098.37603536,0
1565136000000,1.324e-05,1.348e-05,1.3e-05,1.318e-05,2550385734.0,1565179199999,33629.31769167,6392,1848881711.0,24397.37988521,0
1565179200000,1.316e-05,1.322e-05,1.21e-05,1.225e-05,3695832425.0,1565222399999,46371.78389607,7732,2240764569.0,27962.2411628,0
1565222400000,1.226e-05,1.273e-05,1.111e-05,1.153e-05,3123911189.0,1565265599999,37462.09116084,7256,2118964086.0,25450.6201185,0
1565265600000,1.153e-05,1.169e-05,1.12e-05,1.158e-05,1722117893.0,1565308799999,19768.29410259,5647,1280259742.0,14697.70469233,0
1565308800000,1.158e-05,1.189e-05,1.12e-05,1.12e-05,1583017179.0,1565351999999,18273.31555747,4042,1069852309.0,12362.97532598,0
1565352000000,1.119e-05,1.133e-05,9.87e-06,1.009e-05,1267929266.0,1565395199999,13555.30351587,3153,524238742.0,5635.2653078,0
1565395200000,1.009e-05,1.058e-05,9.67e-06,9.79e-06,1187299596.0,1565438399999,12200.32004344,3235,657833122.0,6789.67994242,0
1565438400000,9.8e-06,1.153e-05,9.61e-06,1.075e-05,1862496003.0,1565481599999,19443.77645727,5136,1092131846.0,11353.99165361,0
1565481600000,1.075e-05,1.109e-05,1e-05,1.074e-05,1222588009.0,1565524799999,12809.09904849,3987,805063042.0,8439.17584928,0
1565524800000,1.075e-05,1.075e-05,1e-05,1.007e-05,1226772255.0,1565567999999,12547.85983368,3744,674021091.0,6906.27736241,0
1565568000000,1.01e-05,1.3e-05,1.002e-05,1.214e-05,2717248415.0,1565611199999,31304.63265044,9211,1400253447.0,16072.89627067,0
1565611200000,1.214e-05,1.435e-05,1.202e-05,1.256e-05,4007726157.0,1565654399999,53051.91144619,11168,2269248807.0,29977.68504216,0
1565654400000,1.255e-05,1.313e-05,1.155e-05,1.175e-05,1726153639.0,1565697599999,21331.9905184,5836,821175102.0,10221.32252828,0
1565697600000,1.176e-05,1.24e-05,1.15e-05,1.195e-05,1360274985.0,1565740799999,16303.58937676,4762,849297411.0,10199.39683187,0
1565740800000,1.196e-05,1.357e-05,1.13e-05,1.264e-05,2347750363.0,1565783999999,29385.40567367,9057,1517915701.0,19016.12670958,0
1565784000000,1.265e-05,1.279e-05,1.16e-05,1.164e-05,966303517.0,1565827199999,11811.58261664,3917,470832441.0,5773.82532401,0
1565827200000,1.165e-05,1.225e-05,1.151e-05,1.199e-05,330281611.0,1565870399999,3924.59512343,1238,163847454.0,1946.12770619,0
1565870400000,1.198e-05,1.199e-05,1.113e-05,1.141e-05,642819125.0,1565913599999,7398.58679612,2866,313873845.0,3619.35854976,0
1565913600000,1.144e-05,1.27e-05,1.141e-05,1.212e-05,928892309.0,1565956799999,11294.9298984,4141,507597326.0,6181.12292768,0
1565956800000,1.211e-05,1.26e-05,1.198e-05,1.228e-05,608045238.0,1565999999999,7444.77800527,2802,362043918.0,4440.00225111,0
1566000000000,1.228e-05,1.234e-05,1.194e-05,1.218e-05,543885306.0,1566043199999,6613.2997105,1955,258408245.0,3146.79820738,0
1566043200000,1.219e-05,1.236e-05,1.19e-05,1.211e-05,491999406.0,1566086399999,5995.85987076,2068,259609882.0,3168.98602868,0
1566086400000,1.212e-05,1.243e-05,1.202e-05,1.226e-05,323950357.0,1566129599999,3979.33223321,1234,223571136.0,2747.69197547,0
1566129600000,1.226e-05,1.284e-05,1.2e-05,1.224e-05,401324222.0,1566172799999,4957.15195819,2010,201375070.0,2494.0038313,0
1566172800000,1.225e-05,1.256e-05,1.151e-05,1.175e-05,658748790.0,1566215999999,7940.03773868,2207,305035075.0,3702.63819354,0
1566216000000,1.175e-05,1.191e-05,1.155e-05,1.179e-05,465133624.0,1566259199999,5469.07028116,1444,241116619.0,2836.54046415,0
1566259200000,1.178e-05,1.208e-05,1.155e-05,1.162e-05,566665962.0,1566302399999,6718.86819042,1680,295649422.0,3520.40544902,0
1566302400000,1.162e-05,1.189e-05,1.13e-05,1.152e-05,751023019.0,1566345599999,8690.07153115,1799,373693906.0,4329.93600976,0
1566345600000,1.152e-05,1.173e-05,1.12e-05,1.126e-05,504064111.0,1566388799999,5747.08904192,1546,267724951.0,3059.22439327,0
1566388800000,1.126e-05,1.177e-05,1.122e-05,1.167e-05,553454020.0,1566431999999,6325.87951093,1695,318975051.0,3655.3332566,0
1566432000000,1.166e-05,1.199e-05,1.15e-05,1.165e-05,437003214.0,1566475199999,5124.58936559,1831,253961228.0,2984.22634341,0
1566475200000,1.165e-05,1.19e-05,1.151e-05,1.185e-05,261383956.0,1566518399999,3046.88961251,1099,176239899.0,2057.69058053,0
1566518400000,1.188e-05,1.219e-05,1.164e-05,1.192e-05,304861953.0,1566561599999,3653.88563807,1318,200537866.0,2401.88893458,0
1566561600000,1.193e-05,1.202e-05,1.178e-05,1.193e-05,357496012.0,1566604799999,4255.25179681,1321,214269490.0,2553.62906502,0
1566604800000,1.195e-05,1.242e-05,1.19e-05,1.206e-05,502307938.0,1566647999999,6106.45501989,1975,305107042.0,3708.2454832,0
1566648000000,1.206e-05,1.235e-05,1.201e-05,1.214e-05,323192165.0,1566691199999,3919.24129295,1217,204076548.0,2477.61025723,0
1566691200000,1.215e-05,1.245e-05,1.215e-05,1.227e-05,291574653.0,1566734399999,3584.22318222,1134,188038867.0,2313.65898332,0
1566734400000,1.227e-05,1.236e-05,1.201e-05,1.204e-05,427012533.0,1566777599999,5205.55907046,1317,192787418.0,2354.61046308,0
1566777600000,1.204e-05,1.231e-05,1.17e-05,1.181e-05,402968721.0,1566820799999,4819.75137894,1460,231412767.0,2776.97948476,0
1566820800000,1.181e-05,1.231e-05,1.171e-05,1.214e-05,437884293.0,1566863999999,5267.3697722,1785,271609810.0,3270.08681188,0
1566864000000,1.215e-05,1.443e-05,1.212e-05,1.35e-05,2253570178.0,1566907199999,30470.01584129,7241,1465235122.0,19752.61141645,0
1566907200000,1.349e-05,1.4e-05,1.318e-05,1.358e-05,1273211419.0,1566950399999,17174.58756552,4335,568077707.0,7678.14386503,0
1566950400000,1.36e-05,1.406e-05,1.322e-05,1.352e-05,3680677779.0,1566993599999,50112.17084677,9270,1627047750.0,22194.54138455,0
1566993600000,1.353e-05,1.3800000000000003e-05,1.331e-05,1.358e-05,2575120993.0,1567036799999,34859.03112666,5731,1514136212.0,20515.96616064,0
1567036800000,1.355e-05,1.436e-05,1.355e-05,1.402e-05,6504719764.0,1567079999999,90670.64286933,14680,3526000776.0,49180.2573634,0
1567080000000,1.402e-05,1.5e-05,1.397e-05,1.436e-05,5052922639.0,1567123199999,72945.17358069,10361,2702715496.0,39020.29923304,0
1567123200000,1.438e-05,1.497e-05,1.407e-05,1.42e-05,4821736596.0,1567166399999,70257.05151341,7575,2308415624.0,33644.37140305,0
1567166400000,1.42e-05,1.459e-05,1.404e-05,1.457e-05,2791435570.0,1567209599999,39976.22160081,5225,1554164763.0,22267.85267563,0
1567209600000,1.458e-05,1.458e-05,1.409e-05,1.425e-05,5107345431.0,1567252799999,72951.49868087,7801,2773971239.0,39634.39416186,0
1567252800000,1.425e-05,1.4800000000000002e-05,1.424e-05,1.475e-05,2426508407.0,1567295999999,35200.54536633,5202,1454003120.0,21090.82591992,0
1567296000000,1.475e-05,1.482e-05,1.421e-05,1.429e-05,1811146242.0,1567339199999,26098.28275663,3529,734571248.0,10595.28915722,0
1567339200000,1.4300000000000004e-05,1.447e-05,1.411e-05,1.429e-05,1993784657.0,1567382399999,28500.10929347,3513,937689952.0,13410.03061231,0
1567382400000,1.428e-05,1.435e-05,1.418e-05,1.423e-05,4699537328.0,1567425599999,66999.59246167,7143,2473718248.0,35295.72638896,0
1567425600000,1.422e-05,1.431e-05,1.35e-05,1.369e-05,7491762109.0,1567468799999,103672.530791,10458,3970521425.0,54950.08984684,0
1567468800000,1.372e-05,1.425e-05,1.362e-05,1.405e-05,5500256255.0,1567511999999,76655.21126336,8639,2951680250.0,41178.00951946,0
1567512000000,1.405e-05,1.414e-05,1.32e-05,1.361e-05,3364625464.0,1567555199999,45570.07478278,9627,1506232641.0,20414.90236327,0
1567555200000,1.362e-05,1.373e-05,1.328e-05,1.364e-05,589354014.0,1567598399999,7968.46711642,1823,351759166.0,4762.85386272,0
1567598400000,1.364e-05,1.399e-05,1.361e-05,1.373e-05,699005512.0,1567641599999,9627.52743601,2243,366889708.0,5054.15818993,0
1567641600000,1.372e-05,1.378e-05,1.334e-05,1.346e-05,455226590.0,1567684799999,6163.06787672,1481,242193876.0,3283.55261525,0
