Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1552608000000,51.99,52.0,50.85,51.68,1532.44964,1552651199999,78611.39532719999,407,804.9911099999998,41402.5849289,0
1552651200000,51.59,52.22,48.67,52.1,3376.08806,1552694399999,173164.5512329,700,1376.28413,70775.02430820001,0
1552694400000,52.1,54.89,52.1,53.9,4551.85619,1552737599999,243789.1563328,848,2644.606660000001,141295.60567020002,0
1552737600000,53.9,54.13,52.75,53.35,3551.60474,1552780799999,189208.8981199,739,1907.33308,101677.0695979,0
1552780800000,53.56,53.57,51.54,52.42,2144.07578,1552823999999,112186.9925006,593,996.81203,52166.3161477,0
1552824000000,52.48,52.73,51.85,52.36,1170.89848,1552867199999,61305.7521762,378,606.11248,31754.9408813,0
1552867200000,52.38,53.01,51.27,51.77,2093.5308600000008,1552910399999,109096.6450424,549,702.6805,36599.4518564,0
1552910400000,51.52,52.25,51.44,52.06,1944.27077,1552953599999,100699.3351783,451,1184.49773,61369.30154349999,0
1552953600000,51.93,52.44,51.61,51.97,1723.7993399999998,1552996799999,89592.1324354,404,837.3607,43583.8013152,0
1552996800000,52.21,54.0,51.98,52.9,4844.07152,1553039999999,254928.5258546,1006,1687.02213,88967.53028780002,0
1553040000000,52.83,54.19,52.41,53.5,4271.89359,1553083199999,227835.61877070004,877,2361.97635,125988.8937444,0
1553083200000,53.64,54.6,53.23,54.19,4069.03444,1553126399999,219832.6298181,921,1698.9156899999996,91950.3064696,0
1553126400000,54.29,54.29,53.46,53.78,2402.5801300000007,1553169599999,129360.5010351,590,1428.00329,76931.4815122,0
1553169600000,53.93,54.07,50.0,52.28,4644.79691,1553212799999,242444.8366967,1173,1649.26686,86224.8772156,0
1553212800000,52.22,52.6,51.83,52.21,1349.26628,1553255999999,70517.169664,278,841.2153400000002,44014.8732836,0
1553256000000,52.25,53.25,52.1,52.66,2139.11409,1553299199999,113088.6356621,465,949.90777,50228.84595530001,0
1553299200000,52.9,53.25,52.29,52.53,2115.02417,1553342399999,111635.68192810002,472,1126.63013,59529.48538990001,0
1553342400000,52.75,52.95,51.93,52.67,2787.62302,1553385599999,145823.31048879994,345,1967.93014,102953.2159283,0
1553385600000,52.56,52.89,52.26,52.34,1438.90825,1553428799999,75627.6241893,346,324.90578,17058.8534306,0
1553428800000,52.34,52.86,52.2,52.64,2326.51772,1553471999999,122025.5830118,460,769.9169,40412.329279300015,0
1553472000000,52.57,52.92,52.14,52.21,2722.26662,1553515199999,143278.2706365,412,947.05459,49858.55786640001,0
