Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,0.34764,0.35601,0.345,0.35323000000000004,274984.0,1546343999999,96031.976881,367,141744.3,49649.648127,0
1546344000000,0.35162,0.36366,0.34712,0.36262,1541021.7,1546387199999,545519.9409609999,1021,1065704.5,377348.45866,0
1546387200000,0.36369,0.36614,0.35687,0.36544,892801.3,1546430399999,322253.889031,885,511928.1,184619.04809,0
1546430400000,0.36397,0.37831,0.36164,0.3720000000000001,2072322.1,1546473599999,772053.470594,1622,767800.1,283957.685547,0
1546473600000,0.37141,0.37185,0.35806,0.3602,1009888.9,1546516799999,369039.471361,940,145904.0,53211.288065,0
1546516800000,0.36044,0.36209,0.35100000000000003,0.35394000000000003,662954.9,1546559999999,236510.513594,759,368617.9,131493.857201,0
1546560000000,0.354,0.36012,0.3511,0.35259,456677.9,1546603199999,162365.55260599998,605,248324.8,88424.198893,0
1546603200000,0.35261,0.35929,0.34664,0.35582,2058567.4,1546646399999,726184.565484,1570,1635449.7,577031.512536,0
1546646400000,0.35541,0.362,0.35151,0.35551,1214398.7,1546689599999,432275.409017,1173,1047931.7,372785.978277,0
1546689600000,0.3561,0.36015,0.34811,0.35044000000000003,1242743.3,1546732799999,440549.320092,1205,850165.0,301409.301048,0
1546732800000,0.35063,0.35699000000000003,0.34773000000000004,0.355,411635.1,1546775999999,144749.190156,665,343709.2,120859.268509,0
1546776000000,0.3543,0.369,0.35200000000000004,0.3648,2220475.2,1546819199999,805864.028135,1761,1115635.7,403857.480453,0
1546819200000,0.36556,0.37561,0.35801,0.36651,1441166.4,1546862399999,531020.816946,1319,1038207.8,383309.752445,0
1546862400000,0.36651,0.3691,0.36015,0.36313,1150117.4,1546905599999,420363.957823,1236,569647.6,208121.438901,0
1546905600000,0.36316,0.36675,0.35748,0.36641,846213.8,1546948799999,306509.676912,839,577475.5,209009.569052,0
1546948800000,0.36594,0.3711,0.35983000000000004,0.36347,1263268.6,1546991999999,459836.452841,1255,796220.2,290026.972416,0
1546992000000,0.3646,0.368,0.36278,0.36727,781723.0,1547035199999,285551.010594,719,557096.5,203377.126883,0
1547035200000,0.36673,0.37171,0.36158,0.36821,1221895.1,1547078399999,447158.187775,1120,991632.5,363010.398395,0
1547078400000,0.36849,0.38298,0.3377,0.34507,3723968.0,1547121599999,1344872.410753,2757,1798329.8,654373.290001,0
1547121600000,0.3465,0.3465,0.32001,0.32795,2948030.9,1547164799999,971602.238583,2259,1156355.2,378817.644489,0
1547164800000,0.32767,0.3353,0.32388,0.32994,898653.9,1547207999999,295241.839434,1126,609149.9,200723.57321300003,0
1547208000000,0.32889,0.33411,0.32368,0.32853000000000004,991175.3,1547251199999,326900.161079,1046,425406.6,140787.433684,0
1547251200000,0.32814,0.33239,0.32621999999999995,0.32765,819539.4,1547294399999,269595.172095,437,445986.0,147076.93718,0
1547294400000,0.32711,0.33052,0.32474000000000003,0.32845,804874.6,1547337599999,264102.76910100004,644,407869.9,133881.44828699998,0
1547337600000,0.32798,0.33249,0.32501,0.32939,341533.9,1547380799999,112223.392513,311,104381.5,34396.728399,0
1547380800000,0.33078,0.33129000000000003,0.31195,0.31411999999999995,1842503.7,1547423999999,587902.444884,1380,537932.8,172316.186184,0
1547424000000,0.31462,0.32258000000000003,0.31462,0.3182,695395.9,1547467199999,222653.803866,581,385909.6,123726.97476199998,0
1547467200000,0.3182,0.3392,0.31811,0.33283,1969256.1,1547510399999,650811.344887,1127,715618.4,237047.410848,0
1547510400000,0.33265,0.33524,0.32616,0.33023,615613.8,1547553599999,203505.044065,490,151625.3,50043.803721,0
1547553600000,0.33023,0.332,0.31862,0.32391,1286108.4,1547596799999,418694.604562,897,627708.4,203448.822097,0
1547596800000,0.32391,0.3309,0.3228,0.32986,412162.6,1547639999999,134322.727313,309,222922.4,72467.561572,0
1547640000000,0.33,0.33319,0.32352,0.32761,1087345.1,1547683199999,355277.476428,617,425979.0,139384.778125,0
1547683200000,0.32778,0.32788,0.32045,0.32541,748251.0,1547726399999,243342.502924,573,128184.8,41633.844866,0
1547726400000,0.32485,0.33,0.32269000000000003,0.32719000000000004,671555.8,1547769599999,218929.245429,497,199454.7,65118.647384,0
1547769600000,0.3268,0.32727,0.32324,0.32421,468690.5,1547812799999,152332.600179,445,259265.5,84244.905853,0
1547812800000,0.32355,0.32483,0.31811,0.32175,660540.6,1547855999999,212662.329968,448,358413.5,115447.685148,0
1547856000000,0.322,0.33454,0.32123,0.32897,1010764.1,1547899199999,331499.149556,843,844567.0,277447.25123600004,0
1547899200000,0.33039,0.33097,0.32722,0.32828,517058.3,1547942399999,170222.730916,630,342019.0,112654.95996300002,0
1547942400000,0.32782,0.32998,0.31834,0.32068,742428.2,1547985599999,240417.739211,615,494530.3,160412.03993499998,0
1547985600000,0.31928,0.326,0.30973,0.31811,637464.1,1548028799999,201251.521191,519,371904.6,117227.546844,0
1548028800000,0.31711,0.32277,0.31211,0.32099,149502.8,1548071999999,47347.239628,275,70935.5,22556.179559,0
1548072000000,0.32135,0.32135,0.31373,0.31737,709472.3,1548115199999,225187.989304,577,484268.3,153850.690832,0
1548115200000,0.31789,0.31928,0.3,0.31283,1405706.4,1548158399999,437545.16177600005,961,773934.5,238683.521582,0
1548158400000,0.31224,0.3205,0.31224,0.31834,1311955.7,1548201599999,417239.751863,1029,1143748.5,363655.701853,0
1548201600000,0.31801,0.31975,0.31446,0.31901,344160.8,1548244799999,109165.944566,337,182340.7,57876.582405,0
1548244800000,0.31733,0.31928,0.31236,0.31426,673996.3,1548287999999,212538.500616,685,326315.7,102616.934968,0
1548288000000,0.3141,0.31682,0.31259000000000003,0.31591,188707.1,1548331199999,59186.37299500001,214,78919.9,24755.690619,0
1548331200000,0.31601,0.31734,0.31358,0.3152,384913.6,1548374399999,121500.627608,582,306593.4,96755.46651,0
1548374400000,0.3162,0.31705,0.31,0.3121,441679.4,1548417599999,139022.360884,500,408326.4,128572.334101,0
1548417600000,0.31183,0.31426,0.31113,0.31379,223858.7,1548460799999,70075.337958,373,65818.9,20580.305477,0
1548460800000,0.31379,0.31876,0.31271,0.31464000000000003,560473.3,1548503999999,176564.37960699995,567,171204.0,54108.26233300001,0
1548504000000,0.31383,0.31466,0.311,0.31186,376280.8,1548547199999,117492.918167,459,179958.4,56192.24398200001,0
1548547200000,0.31156,0.3124,0.30451,0.30586,745928.9,1548590399999,230352.959045,558,447461.4,138084.59218399998,0
1548590400000,0.30487,0.30708,0.30127,0.30477,798705.2,1548633599999,243239.511208,773,380476.7,115662.116903,0
1548633600000,0.30477,0.30556,0.28482,0.28685,2005465.0,1548676799999,589943.159578,1348,572178.4,168921.032967,0
1548676800000,0.28746,0.29879,0.28007,0.29174,1454296.8,1548719999999,416746.561906,980,737528.6,211594.729023,0
1548720000000,0.29256,0.29323,0.28073000000000004,0.28384000000000004,1324601.7,1548763199999,379590.126395,578,620145.9,177493.456106,0
1548763200000,0.28438,0.29122,0.28401,0.28613,1143247.0,1548806399999,328785.087132,626,605324.6,174234.535129,0
1548806400000,0.28574,0.28999,0.28358,0.28952,1033288.7,1548849599999,297006.445253,543,698454.0,200874.232342,0
1548849600000,0.29045,0.32594,0.29045,0.319,3108806.4,1548892799999,972333.517791,2266,2152009.2,672203.146892,0
1548892800000,0.319,0.33265,0.30231,0.30457,2466103.3,1548935999999,789655.3923180002,1695,1443705.0,463649.207909,0
1548936000000,0.30368,0.31207,0.30275,0.30696,2204551.6,1548979199999,677185.983779,1267,1877527.9,577083.9613569999,0
1548979200000,0.30696,0.30878,0.29307,0.30402,1700180.8,1549022399999,508318.93581000005,1055,729998.3,217497.157042,0
1549022400000,0.3063,0.30735,0.30169,0.30372,909236.3,1549065599999,277733.967722,443,752255.5,229826.682866,0
1549065600000,0.30372,0.30598000000000003,0.30208,0.30558,264383.2,1549108799999,80471.457253,201,160829.3,48962.370391,0
1549108800000,0.30581,0.30992,0.30144,0.30667,1121275.0,1549151999999,342169.72955700004,623,772975.6,236134.490477,0
1549152000000,0.3073,0.30847,0.30087,0.30232,650405.9,1549195199999,198177.345425,483,281526.7,85903.19093200001,0
1549195200000,0.30287,0.30305,0.29379,0.29843000000000003,468038.5,1549238399999,139548.794948,453,192669.5,57398.575851,0
1549238400000,0.29806,0.30166,0.29653,0.29698,359301.8,1549281599999,107377.13934,340,144456.1,43169.898949,0
1549281600000,0.2965,0.29826,0.2938,0.29525,311852.6,1549324799999,92333.90129,376,130180.6,38435.445612,0
1549324800000,0.29493,0.29548,0.29235,0.29405,256711.9,1549367999999,75488.04552999999,343,72673.7,21386.825415,0
1549368000000,0.29434,0.29883000000000004,0.29301,0.29576,369595.7,1549411199999,109044.422812,379,245422.8,72508.521901,0
1549411200000,0.29734,0.29734,0.28549,0.28645,1110458.6,1549454399999,322006.904553,925,603742.7,175306.098202,0
1549454400000,0.28648,0.2912,0.28426,0.28605,425020.2,1549497599999,122284.127629,456,276965.1,79726.905025,0
1549497600000,0.28605,0.29098,0.28569,0.28912,204035.2,1549540799999,58953.760372,259,160584.5,46432.249191,0
1549540800000,0.28912,0.2902,0.28794000000000003,0.28795,321048.0,1549583999999,92797.911037,297,229551.6,66383.929338,0
1549584000000,0.28783000000000003,0.29554,0.28613,0.29423,981863.8,1549627199999,284593.495962,832,578121.2,167463.69105,0
1549627200000,0.29415,0.31719,0.29415,0.30931,1470415.9,1549670399999,450888.536994,1315,803520.0,245880.670212,0
1549670400000,0.30898000000000003,0.31256,0.30519,0.31032,500846.0,1549713599999,154812.31959600002,533,230699.8,71489.280614,0
1549713600000,0.30985,0.31237,0.30416,0.30913,231758.9,1549756799999,71456.889941,277,97334.5,29989.308191000004,0
1549756800000,0.30875,0.30875,0.29674,0.29931,991193.3,1549799999999,297811.802121,738,527505.4,157989.960386,0
1549800000000,0.3,0.30755,0.28978000000000004,0.3074,907327.2,1549843199999,273807.125919,782,663051.8,200347.123183,0
1549843200000,0.30704000000000004,0.30704000000000004,0.29873,0.30006,270192.7,1549886399999,81309.121191,232,96942.2,29151.67795,0
1549886400000,0.29863,0.30403,0.29862,0.29916,181034.0,1549929599999,54319.131972,270,50296.1,15099.912024,0
1549929600000,0.29841,0.29871,0.29203,0.29753,367265.0,1549972799999,108753.282839,641,123590.0,36607.535201,0
1549972800000,0.29685,0.30407,0.29646,0.30157,413775.4,1550015999999,124086.699702,640,220690.0,66256.877275,0
1550016000000,0.30099000000000004,0.30973,0.29829,0.29926,543959.9,1550059199999,165600.622306,754,139092.3,42396.327938,0
1550059200000,0.29858,0.30187,0.29835,0.30073,187405.6,1550102399999,56197.260025,327,115333.4,34595.963151,0
1550102400000,0.30042,0.30171,0.29601,0.29756,162487.2,1550145599999,48636.10954100001,337,54090.4,16223.875627,0
1550145600000,0.29756,0.3029,0.29693,0.29799000000000003,217216.5,1550188799999,65159.864749,329,63923.1,19132.281651,0
1550188800000,0.29786,0.30072,0.29759,0.29906,144458.7,1550231999999,43317.222754,246,56344.5,16898.355897999998,0
1550232000000,0.29989,0.30357,0.295,0.2989,445404.7,1550275199999,132583.22771900002,466,313523.5,93367.026465,0
1550275200000,0.29832,0.3,0.29717,0.29872,115645.1,1550318399999,34528.090895999994,211,28746.1,8579.068556,0
1550318400000,0.2989,0.30086,0.29738000000000003,0.29761,472810.4,1550361599999,141260.843545,346,63736.0,19078.72708,0
1550361600000,0.29726,0.30328,0.297,0.29864,348911.3,1550404799999,104036.820653,310,25536.9,7632.984668999998,0
1550404800000,0.29864,0.30105,0.29401,0.29954000000000003,309527.4,1550447999999,91995.246394,480,80631.2,23983.165668,0
