Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1546300800000,0.03974,0.040080000000000005,0.03768,0.03851,699.113,1546343999999,26.90216075,262,66.763,2.57123794,0
1546344000000,0.03851,0.0387,0.03701,0.03785,848.6360000000002,1546387199999,32.11349638,480,479.80800000000005,18.23313438,0
1546387200000,0.03763,0.03801,0.03606,0.0361,3935.685,1546430399999,144.01245951,357,408.764,15.10281971,0
1546430400000,0.03603,0.0365,0.03451,0.03514,1508.329,1546473599999,53.26199867,360,268.535,9.55419487,0
1546473600000,0.03518,0.0357,0.0345,0.035660000000000004,864.055,1546516799999,30.41240365,149,619.342,21.82225898,0
1546516800000,0.035660000000000004,0.035660000000000004,0.03427,0.03441,1158.713,1546559999999,40.349112,303,359.826,12.59259876,0
1546560000000,0.03449,0.03497,0.033089999999999994,0.03381,1203.072,1546603199999,40.39352142,181,161.338,5.45197579,0
1546603200000,0.033760000000000005,0.03441,0.03317,0.03318,290.041,1546646399999,9.77909265,56,54.369,1.85347298,0
1546646400000,0.03316,0.03316,0.032,0.03225,2027.525,1546689599999,65.65250301,175,512.511,16.65042537,0
1546689600000,0.03223,0.03292,0.032,0.03261,1351.5770000000002,1546732799999,43.70469362,109,427.98800000000006,13.97147441,0
1546732800000,0.03245,0.0339,0.03245,0.03247,1194.829,1546775999999,39.28484495,143,662.049,21.77894683,0
1546776000000,0.03287,0.03453,0.03266,0.03364,1663.418,1546819199999,55.38847438,541,868.607,28.970886600000004,0
1546819200000,0.03313,0.03493,0.03313,0.03434,817.939,1546862399999,27.87105237,182,442.068,14.95501894,0
1546862400000,0.03465,0.03589,0.034460000000000005,0.03576,2409.695,1546905599999,84.48439228,365,1859.493,65.16785156,0
1546905600000,0.03557,0.0363,0.03509,0.03534,3269.493,1546948799999,116.39282007,575,688.9989999999998,24.80732505,0
1546948800000,0.03518,0.03568,0.03474,0.03507,1230.547,1546991999999,43.28168162,303,555.781,19.59226989,0
1546992000000,0.03484,0.0351,0.03432,0.035039999999999995,935.088,1547035199999,32.43547809,152,396.577,13.72330333,0
1547035200000,0.035039999999999995,0.03525,0.03444,0.03485,962.544,1547078399999,33.54527194,450,406.004,14.17005787,0
1547078400000,0.03485,0.03701,0.03429,0.035789999999999995,2357.8160000000007,1547121599999,83.25902887,379,938.477,33.28639117,0
1547121600000,0.03528,0.0365,0.034710000000000005,0.03583,2352.93,1547164799999,84.01678828,457,1479.429,53.22308753,0
1547164800000,0.03627,0.0372,0.03489,0.0364,1303.078,1547207999999,46.97199439999999,321,635.388,23.03009634,0
1547208000000,0.03635,0.03711,0.03576,0.035789999999999995,956.33,1547251199999,34.78203563,271,299.723,10.95348689,0
1547251200000,0.03597,0.03631,0.03531,0.0356,521.976,1547294399999,18.67078192,122,163.877,5.84327941,0
1547294400000,0.03544,0.0388,0.03522,0.03777,2681.95,1547337599999,99.19254578,655,1028.106,38.02642617,0
1547337600000,0.03747,0.03887,0.03619,0.03647,1831.589,1547380799999,68.28939033,562,958.988,35.79334306,0
1547380800000,0.03642,0.03728,0.03597,0.03631,1818.479,1547423999999,66.54811368,432,977.627,35.83167809,0
1547424000000,0.036410000000000005,0.03705,0.035789999999999995,0.03614,2321.187,1547467199999,84.4738153,367,997.515,36.501180100000006,0
1547467200000,0.03588,0.03613,0.03388,0.03461,1870.669,1547510399999,65.37573619,355,732.321,25.7496453,0
1547510400000,0.03452,0.036160000000000005,0.03411,0.03465,2177.238,1547553599999,76.53006321,308,713.347,25.28516339,0
1547553600000,0.034260000000000006,0.0361,0.03343,0.035789999999999995,2579.643,1547596799999,89.11845746,618,906.608,31.66109632,0
1547596800000,0.035789999999999995,0.03631,0.03495,0.03549,1471.345,1547639999999,52.77721589,272,826.07,29.67905424,0
1547640000000,0.03527,0.0358,0.03463,0.0358,1635.749,1547683199999,57.66149428,327,1078.768,38.13212519,0
1547683200000,0.035660000000000004,0.03663,0.03532,0.0365,2084.407,1547726399999,75.30882779999997,219,595.58,21.58104969,0
1547726400000,0.03649,0.03826,0.03583,0.0378,4568.4670000000015,1547769599999,170.26612566,738,1327.3339999999996,49.45362724,0
1547769600000,0.03759,0.03767,0.0363,0.0375,2666.29,1547812799999,98.14861405,231,1507.42,55.44852216,0
1547812800000,0.03715,0.038610000000000005,0.03681,0.038610000000000005,3355.284,1547855999999,127.21198446,403,2107.533,80.05314467,0
1547856000000,0.0382,0.03899,0.03692,0.03745,1969.888,1547899199999,75.13893935,262,733.577,28.25593258,0
1547899200000,0.03721,0.03918,0.03681,0.03829,2216.831,1547942399999,83.76375835,402,925.639,35.27688798,0
1547942400000,0.03829,0.03999,0.0379,0.03806,1431.5510000000004,1547985599999,55.29006584,274,628.751,24.50512242,0
1547985600000,0.03839,0.04375,0.03763,0.03998,4831.913,1548028799999,198.32280815,1000,2618.681,107.95622571,0
1548028800000,0.04021,0.04334,0.04021,0.04105,4040.621,1548071999999,167.60056766,439,2524.123,104.92619553,0
1548072000000,0.04045,0.04194,0.03912,0.03987,3590.859000000001,1548115199999,145.08079805,508,1796.085,72.83693671,0
1548115200000,0.04004,0.04044,0.03884,0.03936,3186.139,1548158399999,126.83378894,469,1386.497,55.36635338,0
1548158400000,0.03946,0.04015,0.0386,0.03922,1881.322,1548201599999,73.88601438,365,527.494,20.90441367,0
1548201600000,0.03922,0.03939,0.03846,0.03876,755.1010000000001,1548244799999,29.37621975,143,381.966,14.9323063,0
1548244800000,0.03888,0.04036,0.03808,0.03824,3394.632,1548287999999,131.76372462,350,835.6210000000002,32.88856458,0
1548288000000,0.03824,0.04,0.0382,0.03869,2677.012,1548331199999,103.39865545,328,1491.598,57.83682058,0
1548331200000,0.03868,0.03964,0.03846,0.03903,2279.863,1548374399999,89.10134883,209,881.602,34.69262987,0
1548374400000,0.03918,0.03974,0.03846,0.03883,1239.24,1548417599999,48.18155521,141,195.463,7.67081169,0
1548417600000,0.03846,0.03986,0.03809,0.03945,2038.22,1548460799999,79.42215065,258,1239.167,48.62341972,0
1548460800000,0.03909,0.04037,0.0375,0.03904,3321.987,1548503999999,130.28427162,486,1472.501,57.98912177,0
1548504000000,0.03894,0.03912,0.03845,0.03871,663.67,1548547199999,25.67639615,148,356.837,13.79907305,0
1548547200000,0.03875,0.03902,0.03763,0.03764,1750.3370000000002,1548590399999,67.19363998,190,265.851,10.19559885,0
1548590400000,0.03782,0.0388,0.0376,0.037860000000000005,1401.933,1548633599999,53.3975298,274,843.1419999999998,32.1664222,0
1548633600000,0.03821,0.0391,0.03792,0.039,1083.025,1548676799999,41.80491438,211,542.211,20.92676309,0
