Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1593993600000,6.525,6.7970000000000015,6.525,6.747000000000001,2574.895,1594036799999,17204.357708,152,890.91,5981.120032,0
1594036800000,6.751,7.0939999999999985,6.697,7.058,10194.541,1594079999999,70376.893141,516,3089.08,21344.724656,0
1594080000000,7.058,8.9,6.845,6.995,19327.803,1594123199999,136976.12717,1745,9025.8,65085.84449700001,0
1594123200000,6.996,7.028,6.8,6.84,5806.667,1594166399999,39756.491938,434,2788.8140000000008,19102.655297,0
1594166400000,6.84,6.962999999999999,6.5,6.88,21626.449,1594209599999,147931.809234,975,8775.206,60094.150455,0
1594209600000,6.88,6.98,6.837999999999999,6.931,7310.085,1594252799999,50429.20798,441,2695.336,18619.799719,0
1594252800000,6.931,7.499,6.823,7.3889999999999985,18913.03,1594295999999,135400.088483,986,8935.101,63934.569941,0
1594296000000,7.3889999999999985,7.734,7.084,7.4620000000000015,33230.01,1594339199999,246834.95642,1823,13479.343,100645.492062,0
1594339200000,7.4620000000000015,7.89,7.25,7.385,36933.841,1594382399999,279500.15257800004,1593,13513.382,102132.704554,0
1594382400000,7.411,7.505,7.165,7.355,11408.899,1594425599999,83762.075213,849,5653.528,41556.52706,0
1594425600000,7.35,8.8,7.237,7.307,38647.419,1594468799999,290707.715904,1970,19064.101,144728.76708599998,0
1594468800000,7.289,7.4,7.211,7.242000000000001,10006.105,1594511999999,72846.277068,692,5653.274,41253.64188,0
1594512000000,7.242000000000001,7.492000000000001,7.231,7.353,6872.649,1594555199999,50396.034959,729,3696.926,27097.854941,0
1594555200000,7.371,7.45,7.112,7.213999999999999,8838.968,1594598399999,64125.840906,855,4258.916,31023.103825,0
1594598400000,7.23,7.62,7.093,7.568,14616.114,1594641599999,107369.254871,1258,6450.696999999999,47488.808664,0
1594641600000,7.582999999999998,7.886,7.388,7.505,28767.311,1594684799999,219174.050144,2004,12206.711,92936.379171,0
1594684800000,7.481,7.564,6.91,7.184,11850.514,1594727999999,85697.315105,919,4244.960999999998,30602.717195,0
1594728000000,7.189,7.258999999999999,6.957000000000002,7.189,8924.356,1594771199999,63647.73091699999,719,3431.032,24516.94224,0
1594771200000,7.189,7.734,7.159,7.34,16559.639,1594814399999,124338.422463,1038,10138.487,76093.261259,0
1594814400000,7.341,7.5070000000000014,7.14,7.4620000000000015,20256.181,1594857599999,146957.241577,1095,13918.266,100851.727974,0
1594857600000,7.477,7.48,7.0,7.144,11818.618,1594900799999,85754.319026,703,2388.922,17464.653165,0
